Date,Count
2013-09-24,4
2013-09-25,1
2013-09-26,2
2013-09-28,4
2013-09-29,3
2013-10-01,1
2013-10-02,13
2013-10-03,12
2013-10-04,3
2013-10-05,2
2013-10-11,2
2013-10-12,2
2013-10-13,2
2013-10-14,3
2013-10-18,1
2013-10-19,7
2013-10-20,6
2013-10-21,1
2013-10-27,109
2013-10-28,25
2013-10-29,11
2013-10-30,2
2013-11-01,3
2013-11-02,6
2013-11-03,14
2013-11-04,3
2013-11-05,2
2013-11-06,6
2013-11-07,8
2013-11-08,5
2013-11-09,4
2013-11-10,1
2013-11-11,3
2013-11-13,1
2013-11-17,1
2013-11-18,1
2013-11-19,65
2013-11-20,8
2013-11-22,2
2013-11-23,1
2013-11-25,2
2013-11-26,2
2013-11-27,1
2013-11-28,2
2013-12-01,1
2013-12-03,8
2013-12-04,3
2013-12-05,2
2013-12-06,1
2013-12-07,5
2013-12-10,3
2013-12-12,3
2013-12-13,4
2013-12-14,2
2013-12-15,2
2013-12-17,3
2013-12-18,1
2013-12-23,2
2013-12-26,1
2014-01-03,1
2014-01-04,5
2014-01-05,3
2014-01-06,2
2014-01-08,185
2014-01-09,26
2014-01-11,2
2014-01-13,2
2014-01-14,14
2014-01-15,8
2014-01-16,38
2014-01-20,6
2014-01-21,2
2014-01-22,8
2014-01-23,6
2014-01-24,2
2014-01-27,2
2014-01-28,4
2014-01-30,12
2014-02-02,2
2014-02-03,6
2014-02-04,6
2014-02-05,5
2014-02-06,3
