Date,Count
2013-09-24,1
2013-09-25,12
2013-09-26,6
2013-09-27,1
2013-09-28,6
2013-09-29,18
2013-09-30,12
2013-10-01,2
2013-10-02,3
2013-10-03,6
2013-10-04,4
2013-10-05,5
2013-10-06,4
2013-10-07,8
2013-10-08,2
2013-10-09,7
2013-10-10,6
2013-10-11,12
2013-10-12,3
2013-10-13,5
2013-10-14,5
2013-10-19,18
2013-10-20,6
2013-10-21,5
2013-10-22,4
2013-10-23,7
2013-10-24,2
2013-10-25,9
2013-10-26,5
2013-10-27,4
2013-10-28,7
2013-10-29,4
2013-10-30,12
2013-10-31,5
2013-11-01,6
2013-11-02,8
2013-11-03,10
2013-11-04,6
2013-11-06,6
2013-11-07,8
2013-11-08,8
2013-11-09,2
2013-11-10,4
2013-11-11,2
2013-11-12,73
2013-11-13,19
2013-11-14,8
2013-11-15,3
2013-11-16,17
2013-11-17,7
2013-11-18,10
2013-11-19,7
2013-11-20,6
2013-11-22,1
2013-11-23,4
2013-11-24,2
2013-11-25,3
2013-11-26,1
2013-11-27,4
2013-11-28,7
2013-11-29,1
2013-11-30,9
2013-12-01,6
2013-12-02,4
2013-12-03,1
2013-12-04,5
2013-12-05,8
2013-12-06,95
2013-12-07,2
2013-12-08,1
2013-12-09,6
2013-12-10,8
2013-12-11,5
2013-12-12,5
2013-12-13,3
2013-12-14,1
2013-12-15,3
2013-12-16,2
2013-12-17,1
2013-12-18,6
2013-12-19,2
2013-12-22,2
2013-12-23,9
2013-12-24,4
2013-12-25,3
2013-12-26,3
2013-12-27,1
2014-01-03,1
2014-01-04,5
2014-01-05,1
2014-01-06,2
2014-01-07,5
2014-01-08,8
2014-01-09,8
2014-01-10,14
2014-01-11,8
2014-01-12,12
2014-01-13,180
2014-01-14,20
2014-01-15,12
2014-01-16,10
2014-01-20,12
2014-01-21,16
2014-01-22,16
2014-01-23,10
2014-01-24,16
2014-01-25,10
2014-01-27,22
2014-01-28,16
2014-01-29,10
2014-01-31,8
2014-02-01,30
2014-02-02,8
2014-02-03,16
2014-02-04,18
2014-02-05,21
2014-02-06,27
2014-02-07,30
2014-02-08,36
2014-02-10,33
2014-02-11,6
2014-02-14,4
2014-02-15,14
2014-02-16,10
2014-02-17,2
2014-02-20,2
2014-02-21,8
2014-02-22,12
2014-02-23,14
2014-02-24,22
2014-03-04,8
