Date,Count
2013-09-26,1
2013-09-27,2
2013-09-29,1
2013-10-02,1
2013-10-04,2
2013-10-05,2
2013-10-06,3
2013-10-07,8
2013-10-08,3
2013-10-09,2
2013-10-10,41
2013-10-11,4
2013-10-12,1
2013-10-13,6
2013-10-14,8
2013-10-18,6
2013-10-19,10
2013-10-20,7
2013-10-21,9
2013-10-22,8
2013-10-23,12
2013-10-24,3
2013-10-25,6
2013-10-26,4
2013-10-27,6
2013-10-29,4
2013-10-30,33
2013-10-31,6
2013-11-01,74
2013-11-02,1
2013-11-03,4
2013-11-04,3
2013-11-07,1
2013-11-08,1
2013-11-09,2
2013-11-10,4
2013-11-11,2
2013-11-13,2
2013-11-14,4
2013-11-15,1
2013-11-16,4
2013-11-17,1
2013-11-18,1
2013-11-22,2
2013-11-23,1
2013-11-24,1
2013-11-26,2
2013-11-28,4
2013-11-29,2
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-04,2
2013-12-06,2
2013-12-07,1
2013-12-08,1
2013-12-10,4
2013-12-11,6
2013-12-12,4
2013-12-13,3
2013-12-14,15
2013-12-15,1
2013-12-16,1
2013-12-17,2
2013-12-18,7
2013-12-22,2
2013-12-23,5
2013-12-24,3
2013-12-26,4
2013-12-27,4
2014-01-03,1
2014-01-04,1
2014-01-06,2
2014-01-08,5
2014-01-09,6
2014-01-11,4
2014-01-14,6
2014-01-15,2
2014-01-20,2
2014-01-21,2
2014-01-22,2
2014-01-23,8
2014-01-24,2
2014-01-25,2
2014-01-27,2
2014-01-28,4
2014-01-29,4
2014-01-30,2
2014-01-31,4
2014-02-02,2
2014-02-03,8
2014-02-04,6
2014-02-06,3
2014-02-07,24
2014-02-08,3
2014-02-12,1
2014-02-13,4
2014-02-14,3
2014-02-15,5
2014-02-16,3
2014-02-19,1
2014-02-20,7
2014-02-21,5
2014-02-22,5
2014-02-23,1
