Date,Count
2013-09-24,4
2013-09-25,2
2013-09-26,14
2013-09-27,2
2013-09-28,7
2013-09-29,10
2013-09-30,7
2013-10-01,1
2013-10-02,4
2013-10-03,1
2013-10-04,3
2013-10-05,3
2013-10-06,4
2013-10-07,3
2013-10-08,14
2013-10-09,5
2013-10-10,8
2013-10-11,8
2013-10-12,15
2013-10-13,14
2013-10-14,9
2013-10-19,48
2013-10-20,15
2013-10-21,11
2013-10-22,6
2013-10-23,1
2013-10-24,2
2013-10-25,6
2013-10-26,2
2013-10-27,10
2013-10-28,3
2013-10-29,2
2013-10-30,2
2013-10-31,4
2013-11-01,1
2013-11-02,1
2013-11-03,2
2013-11-06,13
2013-11-07,6
2013-11-08,4
2013-11-09,6
2013-11-10,10
2013-11-11,14
2013-11-12,10
2013-11-13,5
2013-11-14,9
2013-11-15,2
2013-11-16,13
2013-11-18,1
2013-11-19,4
2013-11-20,4
2013-11-22,1
2013-11-23,4
2013-11-24,2
2013-11-25,1
2013-11-27,2
2013-11-28,2
2013-11-29,2
2013-11-30,1
2013-12-02,1
2013-12-03,4
2013-12-04,5
2013-12-05,7
2013-12-06,8
2013-12-07,21
2013-12-08,1
2013-12-09,9
2013-12-10,66
2013-12-11,18
2013-12-12,38
2013-12-13,5
2013-12-14,3
2013-12-16,5
2013-12-17,4
2013-12-18,5
2013-12-19,8
2013-12-23,5
2013-12-24,2
2013-12-25,4
2013-12-26,9
2013-12-27,2
2014-01-03,2
2014-01-04,1
2014-01-05,3
2014-01-06,3
2014-01-07,5
2014-01-08,4
2014-01-09,10
2014-01-10,8
2014-01-11,12
2014-01-12,8
2014-01-14,2
2014-01-15,10
2014-01-16,8
2014-01-20,4
2014-01-21,14
2014-01-22,8
2014-01-23,6
2014-01-24,10
2014-01-25,2
2014-01-27,4
2014-01-28,6
2014-01-30,8
2014-01-31,10
2014-02-01,16
2014-02-02,8
2014-02-03,17
2014-02-04,42
2014-02-05,57
2014-02-06,39
2014-02-07,33
2014-02-08,6
2014-02-10,12
2014-02-11,3
