Date,Count
2013-09-24,1
2013-09-25,1
2013-09-26,10
2013-09-27,2
2013-09-28,6
2013-09-29,1
2013-09-30,1
2013-10-01,2
2013-10-02,2
2013-10-03,1
2013-10-04,2
2013-10-05,2
2013-10-06,7
2013-10-07,1
2013-10-08,2
2013-10-10,8
2013-10-11,4
2013-10-14,2
2013-10-19,2
2013-10-20,3
2013-10-21,2
2013-10-22,1
2013-10-23,2
2013-10-30,1
2013-10-31,1
2013-11-03,12
2013-11-04,5
2013-11-05,2
2013-11-06,3
2013-11-07,1
2013-11-08,8
2013-11-09,2
2013-11-10,2
2013-11-11,3
2013-11-13,1
2013-11-15,21
2013-11-16,6
2013-11-17,1
2013-11-18,1
2013-11-19,2
2013-11-22,4
2013-11-24,2
2013-11-25,2
2013-11-26,1
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-03,2
2013-12-06,1
2013-12-08,1
2013-12-10,1
2013-12-11,1
2013-12-13,2
2013-12-14,1
2013-12-15,1
2013-12-16,1
2013-12-23,1
2013-12-24,5
2014-01-03,1
2014-01-04,1
2014-01-07,1
2014-01-08,3
2014-01-09,6
2014-01-10,10
2014-01-11,2
2014-01-13,2
2014-01-14,4
2014-01-15,8
2014-01-16,4
2014-01-20,4
2014-01-21,6
2014-01-22,2
2014-01-23,8
2014-01-24,4
2014-01-27,2
2014-01-29,4
2014-01-30,2
2014-01-31,4
2014-02-02,4
2014-02-03,2
2014-02-04,9
2014-02-05,3
2014-02-06,12
2014-02-07,3
2014-02-08,3
2014-02-10,9
2014-02-14,8
2014-02-15,12
2014-02-16,8
2014-02-20,16
2014-02-21,4
2014-02-23,12
2014-02-24,4
