Date,Count
2013-09-24,5
2013-09-25,18
2013-09-26,2
2013-09-27,7
2013-09-28,4
2013-09-29,7
2013-09-30,4
2013-10-02,8
2013-10-04,27
2013-10-05,19
2013-10-06,11
2013-10-07,18
2013-10-08,10
2013-10-09,1
2013-10-10,1
2013-10-11,4
2013-10-12,6
2013-10-13,6
2013-10-14,16
2013-10-18,11
2013-10-19,6
2013-10-20,5
2013-10-21,9
2013-10-22,12
2013-10-23,8
2013-10-24,6
2013-10-25,18
2013-10-26,8
2013-10-27,4
2013-10-28,4
2013-10-29,32
2013-10-30,18
2013-10-31,70
2013-11-01,3
2013-11-02,39
2013-11-03,32
2013-11-04,14
2013-11-06,10
2013-11-07,8
2013-11-08,9
2013-11-09,8
2013-11-10,8
2013-11-11,12
2013-11-12,13
2013-11-13,14
2013-11-14,4
2013-11-15,2
2013-11-16,78
2013-11-17,187
2013-11-18,52
2013-11-19,110
2013-11-20,114
2013-11-22,6
2013-11-23,51
2013-11-24,25
2013-11-25,43
2013-11-26,27
2013-11-27,7
2013-11-28,9
2013-11-29,42
2013-11-30,10
2013-12-01,11
2013-12-02,7
2013-12-03,7
2013-12-04,9
2013-12-05,12
2013-12-06,9
2013-12-07,3
2013-12-08,6
2013-12-09,8
2013-12-10,86
2013-12-11,5
2013-12-12,7
2013-12-13,7
2013-12-14,17
2013-12-15,12
2013-12-16,24
2013-12-17,4
2013-12-18,8
2013-12-19,6
2013-12-23,27
2013-12-24,30
2013-12-25,74
2013-12-26,38
2013-12-27,10
2014-01-03,12
2014-01-04,2
2014-01-05,11
2014-01-06,21
2014-01-07,39
2014-01-08,34
2014-01-09,86
2014-01-10,86
2014-01-11,116
2014-01-12,88
2014-01-13,136
2014-01-14,2
2014-01-15,8
2014-01-16,12
2014-01-20,12
2014-01-21,14
2014-01-22,14
2014-01-23,8
2014-01-24,34
2014-01-27,10
2014-01-28,10
2014-01-29,6
2014-01-30,30
2014-01-31,14
2014-02-01,16
2014-02-02,14
2014-02-03,268
2014-02-04,66
2014-02-05,18
2014-02-06,156
2014-02-07,219
2014-02-08,9
2014-02-10,126
2014-02-11,15
2014-02-12,8
2014-02-13,136
2014-02-14,4
2014-02-15,12
2014-02-16,8
2014-02-17,14
2014-02-19,28
2014-02-20,72
2014-02-21,110
2014-02-22,26
2014-02-23,36
2014-02-24,12
2014-03-03,6
2014-03-04,8
