Date,Count
2013-09-24,7
2013-09-25,6
2013-09-26,5
2013-09-27,4
2013-09-28,7
2013-09-29,3
2013-09-30,9
2013-10-01,9
2013-10-02,3
2013-10-04,3
2013-10-05,2
2013-10-06,3
2013-10-07,4
2013-10-08,7
2013-10-10,3
2013-10-11,7
2013-10-12,1
2013-10-13,2
2013-10-18,9
2013-10-19,7
2013-10-20,1
2013-10-21,1
2013-10-23,7
2013-10-24,2
2013-10-25,4
2013-10-26,3
2013-10-27,2
2013-10-28,3
2013-10-29,2
2013-10-30,7
2013-10-31,5
2013-11-01,6
2013-11-02,4
2013-11-04,1
2013-11-05,2
2013-11-06,7
2013-11-07,6
2013-11-08,5
2013-11-09,7
2013-11-10,3
2013-11-11,5
2013-11-13,2
2013-11-14,4
2013-11-15,19
2013-11-17,5
2013-11-19,3
2013-11-22,1
2013-11-24,3
2013-11-25,1
2013-11-26,4
2013-11-28,5
2013-11-29,3
2013-11-30,2
2013-12-01,2
2013-12-02,1
2013-12-03,1
2013-12-04,2
2013-12-05,1
2013-12-08,4
2013-12-09,1
2013-12-10,6
2013-12-11,3
2013-12-13,8
2013-12-14,1
2013-12-15,4
2013-12-17,7
2013-12-19,1
2013-12-23,1
2014-01-03,4
2014-01-05,7
2014-01-06,6
2014-01-07,29
2014-01-08,30
2014-01-09,20
2014-01-10,12
2014-01-11,10
2014-01-12,2
2014-01-13,6
2014-01-14,8
2014-01-15,6
2014-01-16,6
2014-01-20,2
2014-01-21,16
2014-01-22,34
2014-01-23,14
2014-01-24,4
2014-01-28,2
2014-01-29,4
2014-01-30,10
2014-01-31,4
2014-02-01,8
2014-02-02,14
2014-02-03,21
2014-02-04,36
2014-02-05,33
2014-02-07,24
2014-02-08,15
2014-02-10,3
2014-02-11,6
2014-02-12,6
2014-02-13,24
2014-02-14,10
2014-02-15,12
2014-02-16,6
2014-02-20,4
2014-02-21,4
2014-02-22,8
2014-02-23,4
2014-02-24,10
2014-03-03,6
