KeyWord,Datetime,Count
Roma,2013-09-24,9
Roma,2013-09-25,82
Roma,2013-09-26,75
Roma,2013-09-27,236
Roma,2013-09-28,78
Roma,2013-09-29,176
Roma,2013-09-30,142
Roma,2013-10-01,44
Roma,2013-10-02,71
Roma,2013-10-03,22
Roma,2013-10-04,71
Roma,2013-10-05,235
Roma,2013-10-06,64
Roma,2013-10-07,88
Roma,2013-10-08,67
Roma,2013-10-09,95
Roma,2013-10-10,26
Roma,2013-10-11,46
Roma,2013-10-12,54
Roma,2013-10-13,24
Roma,2013-10-14,28
Roma,2013-10-15,1
Roma,2013-10-18,315
Roma,2013-10-19,182
Roma,2013-10-20,108
Roma,2013-10-21,137
Roma,2013-10-22,148
Roma,2013-10-23,201
Roma,2013-10-24,38
Roma,2013-10-25,93
Roma,2013-10-26,112
Roma,2013-10-27,138
Roma,2013-10-28,94
Roma,2013-10-29,58
Roma,2013-10-30,63
Roma,2013-10-31,161
Roma,2013-11-01,82
Roma,2013-11-02,32
Roma,2013-11-03,59
Roma,2013-11-04,90
Roma,2013-11-05,14
Roma,2013-11-06,25
Roma,2013-11-07,44
Roma,2013-11-08,25
Roma,2013-11-09,21
Roma,2013-11-10,52
Roma,2013-11-11,73
Roma,2013-11-12,97
Roma,2013-11-13,86
Roma,2013-11-14,114
Roma,2013-11-15,21
Roma,2013-11-16,46
Roma,2013-11-17,28
Roma,2013-11-18,48
Roma,2013-11-19,63
Roma,2013-11-20,52
Roma,2013-11-22,13
Roma,2013-11-23,31
Roma,2013-11-24,43
Roma,2013-11-25,61
Roma,2013-11-26,37
Roma,2013-11-27,26
Roma,2013-11-28,108
Roma,2013-11-29,28
Roma,2013-11-30,26
Roma,2013-12-01,62
Roma,2013-12-02,23
Roma,2013-12-03,16
Roma,2013-12-04,38
Roma,2013-12-05,33
Roma,2013-12-06,22
Roma,2013-12-07,36
Roma,2013-12-08,81
Roma,2013-12-09,62
Roma,2013-12-10,48
Roma,2013-12-11,81
Roma,2013-12-12,52
Roma,2013-12-13,50
Roma,2013-12-14,43
Roma,2013-12-15,31
Roma,2013-12-16,303
Roma,2013-12-17,338
Roma,2013-12-18,57
Roma,2013-12-19,31
Roma,2013-12-20,3
Roma,2013-12-22,2
Roma,2013-12-23,21
Roma,2013-12-24,43
Roma,2013-12-25,20
Roma,2013-12-26,25
Roma,2013-12-27,15
Roma,2014-01-03,25
Roma,2014-01-04,36
Roma,2014-01-05,128
Roma,2014-01-06,42
Roma,2014-01-07,105
Roma,2014-01-08,87
