KeyWord,Datetime,Count
Salerno,2013-09-25,2
Salerno,2013-09-26,1
Salerno,2013-09-28,1
Salerno,2013-09-29,1
Salerno,2013-10-01,4
Salerno,2013-10-02,1
Salerno,2013-10-04,2
Salerno,2013-10-05,3
Salerno,2013-10-06,3
Salerno,2013-10-18,1
Salerno,2013-10-20,2
Salerno,2013-10-21,1
Salerno,2013-10-23,1
Salerno,2013-10-24,2
Salerno,2013-10-26,1
Salerno,2013-10-28,1
Salerno,2013-10-31,4
Salerno,2013-11-01,1
Salerno,2013-11-02,1
Salerno,2013-11-03,2
Salerno,2013-11-04,3
Salerno,2013-11-06,2
Salerno,2013-11-07,1
Salerno,2013-11-11,3
Salerno,2013-11-14,1
Salerno,2013-11-15,4
Salerno,2013-11-16,3
Salerno,2013-11-18,7
Salerno,2013-11-19,5
Salerno,2013-11-23,1
Salerno,2013-11-27,1
Salerno,2013-11-30,1
Salerno,2013-12-01,1
Salerno,2013-12-02,3
Salerno,2013-12-03,1
Salerno,2013-12-04,1
Salerno,2013-12-06,4
Salerno,2013-12-07,1
Salerno,2013-12-09,1
Salerno,2013-12-10,2
Salerno,2013-12-11,1
Salerno,2013-12-12,1
Salerno,2013-12-13,2
Salerno,2013-12-16,1
Salerno,2013-12-18,3
Salerno,2013-12-19,4
Salerno,2013-12-25,1
Salerno,2013-12-26,3
Salerno,2014-01-04,4
Salerno,2014-01-05,2
