Date,Count
2013-09-24,1
2013-09-25,2
2013-09-27,1
2013-10-02,3
2013-10-04,1
2013-10-09,13
2013-10-11,1
2013-10-12,1
2013-10-13,1
2013-10-14,12
2013-10-19,9
2013-10-20,2
2013-10-21,2
2013-10-22,5
2013-10-23,7
2013-10-24,2
2013-10-25,4
2013-10-26,1
2013-10-27,3
2013-10-28,1
2013-10-30,3
2013-10-31,1
2013-11-01,2
2013-11-03,3
2013-11-06,1
2013-11-07,3
2013-11-08,7
2013-11-09,1
2013-11-12,3
2013-11-13,4
2013-11-14,1
2013-11-16,4
2013-11-18,3
2013-11-19,34
2013-11-20,2
2013-11-23,2
2013-11-25,4
2013-11-26,7
2013-11-28,2
2013-11-29,6
2013-12-04,1
2013-12-05,3
2013-12-09,2
2013-12-11,1
2013-12-14,2
2013-12-15,3
2013-12-16,1
2013-12-18,1
2013-12-24,2
2013-12-27,4
2014-01-03,1
2014-01-07,6
2014-01-08,2
2014-01-13,2
2014-01-16,6
2014-01-20,8
2014-01-22,16
2014-01-23,2
2014-01-24,8
2014-01-28,4
2014-01-29,4
2014-01-31,24
2014-02-05,3
2014-02-07,3
2014-02-12,6
2014-02-13,2
2014-02-20,1
2014-02-22,1
2014-02-24,5
