Date,Count
2013-09-24,2
2013-09-25,2
2013-09-26,5
2013-09-27,1
2013-09-28,2
2013-09-29,3
2013-09-30,6
2013-10-01,2
2013-10-02,6
2013-10-03,2
2013-10-04,1
2013-10-05,3
2013-10-06,2
2013-10-07,8
2013-10-08,15
2013-10-09,7
2013-10-10,3
2013-10-11,3
2013-10-12,1
2013-10-18,4
2013-10-19,2
2013-10-20,6
2013-10-21,8
2013-10-22,4
2013-10-23,4
2013-10-24,5
2013-10-25,3
2013-10-26,9
2013-10-27,3
2013-10-29,6
2013-10-30,1
2013-10-31,4
2013-11-01,2
2013-11-02,4
2013-11-03,1
2013-11-04,2
2013-11-05,3
2013-11-06,1
2013-11-07,13
2013-11-08,3
2013-11-09,2
2013-11-10,2
2013-11-11,19
2013-11-12,3
2013-11-13,8
2013-11-14,4
2013-11-15,5
2013-11-16,12
2013-11-17,2
2013-11-18,3
2013-11-19,1
2013-11-20,6
2013-11-23,3
2013-11-24,1
2013-11-26,3
2013-11-27,2
2013-11-28,7
2013-11-29,11
2013-11-30,7
2013-12-01,3
2013-12-02,5
2013-12-03,4
2013-12-04,3
2013-12-05,11
2013-12-06,6
2013-12-08,1
2013-12-09,2
2013-12-10,4
2013-12-11,4
2013-12-12,6
2013-12-13,7
2013-12-14,3
2013-12-15,6
2013-12-16,1
2013-12-17,1
2013-12-18,6
2013-12-19,4
2013-12-23,3
2013-12-24,1
2013-12-25,1
2013-12-26,1
2013-12-27,1
2014-01-03,1
2014-01-07,3
2014-01-08,11
2014-01-09,16
2014-01-10,2
2014-01-11,2
2014-01-12,2
2014-01-13,14
2014-01-14,2
2014-01-15,10
2014-01-16,6
2014-01-21,26
2014-01-22,8
2014-01-23,40
2014-01-24,4
2014-01-25,2
2014-01-27,8
2014-01-28,8
2014-01-30,2260
2014-01-31,308
2014-02-01,32
2014-02-02,14
2014-02-03,13
2014-02-04,21
2014-02-05,9
2014-02-06,42
2014-02-07,9
2014-02-08,30
2014-02-10,9
2014-02-11,3
