KeyWord,Datetime,Count
Saskatoon,2013-09-24,9
Saskatoon,2013-09-25,12
Saskatoon,2013-09-26,4
Saskatoon,2013-09-27,21
Saskatoon,2013-09-28,29
Saskatoon,2013-09-29,3
Saskatoon,2013-09-30,7
Saskatoon,2013-10-01,2
Saskatoon,2013-10-02,29
Saskatoon,2013-10-03,1
Saskatoon,2013-10-04,14
Saskatoon,2013-10-05,7
Saskatoon,2013-10-06,20
Saskatoon,2013-10-07,15
Saskatoon,2013-10-08,7
Saskatoon,2013-10-09,2
Saskatoon,2013-10-10,21
Saskatoon,2013-10-11,2
Saskatoon,2013-10-12,5
Saskatoon,2013-10-13,10
Saskatoon,2013-10-14,8
Saskatoon,2013-10-18,5
Saskatoon,2013-10-19,8
Saskatoon,2013-10-20,7
Saskatoon,2013-10-21,2
Saskatoon,2013-10-22,10
Saskatoon,2013-10-23,6
Saskatoon,2013-10-24,6
Saskatoon,2013-10-25,13
Saskatoon,2013-10-26,16
Saskatoon,2013-10-27,6
Saskatoon,2013-10-28,5
Saskatoon,2013-10-29,11
Saskatoon,2013-10-30,4
Saskatoon,2013-10-31,17
Saskatoon,2013-11-01,11
Saskatoon,2013-11-02,7
Saskatoon,2013-11-03,9
Saskatoon,2013-11-04,11
Saskatoon,2013-11-05,1
Saskatoon,2013-11-06,10
Saskatoon,2013-11-07,10
Saskatoon,2013-11-08,5
Saskatoon,2013-11-09,6
Saskatoon,2013-11-10,2
Saskatoon,2013-11-11,3
Saskatoon,2013-11-12,10
Saskatoon,2013-11-13,12
Saskatoon,2013-11-14,16
Saskatoon,2013-11-15,3
Saskatoon,2013-11-16,5
Saskatoon,2013-11-17,11
Saskatoon,2013-11-18,5
Saskatoon,2013-11-19,17
Saskatoon,2013-11-20,12
Saskatoon,2013-11-22,4
Saskatoon,2013-11-23,4
Saskatoon,2013-11-24,4
Saskatoon,2013-11-25,6
Saskatoon,2013-11-26,3
Saskatoon,2013-11-27,3
Saskatoon,2013-11-29,2
Saskatoon,2013-11-30,9
Saskatoon,2013-12-01,5
Saskatoon,2013-12-02,14
Saskatoon,2013-12-03,2
Saskatoon,2013-12-04,8
Saskatoon,2013-12-05,10
Saskatoon,2013-12-06,11
Saskatoon,2013-12-07,4
Saskatoon,2013-12-08,8
Saskatoon,2013-12-09,2
Saskatoon,2013-12-10,6
Saskatoon,2013-12-11,7
Saskatoon,2013-12-12,5
Saskatoon,2013-12-13,10
Saskatoon,2013-12-14,13
Saskatoon,2013-12-15,9
Saskatoon,2013-12-16,6
Saskatoon,2013-12-17,6
Saskatoon,2013-12-18,7
Saskatoon,2013-12-19,2
Saskatoon,2013-12-20,1
Saskatoon,2013-12-23,4
Saskatoon,2013-12-24,3
Saskatoon,2013-12-25,2
Saskatoon,2013-12-26,7
Saskatoon,2014-01-03,4
Saskatoon,2014-01-04,5
Saskatoon,2014-01-05,6
Saskatoon,2014-01-06,12
Saskatoon,2014-01-07,4
Saskatoon,2014-01-08,3
