Date,Count
2013-09-24,6
2013-09-25,9
2013-09-26,19
2013-09-27,15
2013-09-28,13
2013-09-29,5
2013-09-30,14
2013-10-01,10
2013-10-02,12
2013-10-03,11
2013-10-04,11
2013-10-05,22
2013-10-06,15
2013-10-07,30
2013-10-08,24
2013-10-09,28
2013-10-10,59
2013-10-11,15
2013-10-12,13
2013-10-13,12
2013-10-14,21
2013-10-18,9
2013-10-19,11
2013-10-20,5
2013-10-21,16
2013-10-22,20
2013-10-23,12
2013-10-24,4
2013-10-25,7
2013-10-26,9
2013-10-27,10
2013-10-28,48
2013-10-29,24
2013-10-30,27
2013-10-31,30
2013-11-01,10
2013-11-02,13
2013-11-03,23
2013-11-04,38
2013-11-05,6
2013-11-06,13
2013-11-07,13
2013-11-08,19
2013-11-09,25
2013-11-10,5
2013-11-11,9
2013-11-12,8
2013-11-13,23
2013-11-14,18
2013-11-15,24
2013-11-16,17
2013-11-17,49
2013-11-18,20
2013-11-19,21
2013-11-20,72
2013-11-22,4
2013-11-23,12
2013-11-24,10
2013-11-25,15
2013-11-26,11
2013-11-27,9
2013-11-28,23
2013-11-29,49
2013-11-30,16
2013-12-01,18
2013-12-02,17
2013-12-03,16
2013-12-04,43
2013-12-05,31
2013-12-06,16
2013-12-07,6
2013-12-08,11
2013-12-09,27
2013-12-10,8
2013-12-11,12
2013-12-12,9
2013-12-13,13
2013-12-14,11
2013-12-15,8
2013-12-16,9
2013-12-17,11
2013-12-18,10
2013-12-19,22
2013-12-22,1
2013-12-23,11
2013-12-24,8
2013-12-25,10
2013-12-26,6
2013-12-27,4
2014-01-03,21
2014-01-04,5
2014-01-05,14
2014-01-06,13
2014-01-07,16
2014-01-08,17
2014-01-09,54
2014-01-10,28
2014-01-11,16
2014-01-12,26
2014-01-13,146
2014-01-14,34
2014-01-15,44
2014-01-16,32
2014-01-20,20
2014-01-21,32
2014-01-22,22
2014-01-23,56
2014-01-24,34
2014-01-25,4
2014-01-27,14
2014-01-28,32
2014-01-29,20
2014-01-30,12
2014-01-31,34
2014-02-01,14
2014-02-02,30
2014-02-03,36
2014-02-04,27
2014-02-05,84
2014-02-06,45
2014-02-07,72
2014-02-08,24
2014-02-10,18
2014-02-12,16
2014-02-13,18
2014-02-14,12
2014-02-15,26
2014-02-16,26
2014-02-17,8
2014-02-19,6
2014-02-20,20
2014-02-21,44
2014-02-22,16
2014-02-23,18
2014-02-24,18
2014-03-03,24
2014-03-04,46
