Date,Count
2013-09-24,3
2013-09-25,13
2013-09-26,8
2013-09-27,6
2013-09-28,10
2013-09-29,7
2013-09-30,1
2013-10-01,5
2013-10-02,3
2013-10-03,4
2013-10-04,156
2013-10-05,44
2013-10-06,42
2013-10-07,37
2013-10-08,24
2013-10-09,10
2013-10-10,20
2013-10-11,11
2013-10-12,23
2013-10-13,2
2013-10-14,4
2013-10-18,120
2013-10-19,5
2013-10-20,3
2013-10-21,5
2013-10-22,11
2013-10-23,44
2013-10-24,3
2013-10-25,129
2013-10-26,76
2013-10-27,72
2013-10-28,31
2013-10-29,35
2013-10-30,16
2013-10-31,21
2013-11-01,21
2013-11-02,24
2013-11-03,11
2013-11-04,82
2013-11-05,4
2013-11-06,13
2013-11-07,13
2013-11-08,16
2013-11-09,33
2013-11-10,23
2013-11-11,329
2013-11-12,339
2013-11-13,51
2013-11-14,157
2013-11-15,55
2013-11-16,29
2013-11-17,113
2013-11-18,40
2013-11-19,32
2013-11-20,68
2013-11-22,51
2013-11-23,43
2013-11-24,33
2013-11-25,18
2013-11-26,6
2013-11-27,13
2013-11-28,15
2013-11-29,34
2013-11-30,25
2013-12-01,9
2013-12-02,8
2013-12-03,7
2013-12-04,7
2013-12-05,10
2013-12-06,96
2013-12-07,174
2013-12-08,55
2013-12-09,28
2013-12-10,120
2013-12-11,208
2013-12-12,21
2013-12-13,27
2013-12-14,69
2013-12-15,9
2013-12-16,12
2013-12-17,449
2013-12-18,78
2013-12-19,45
2013-12-20,2
2013-12-23,3
2013-12-24,8
2013-12-25,11
2013-12-26,4
2013-12-27,9
2014-01-03,11
2014-01-04,6
2014-01-05,3
2014-01-06,5
2014-01-07,308
2014-01-08,113
2014-01-09,30
2014-01-10,8
2014-01-11,2
2014-01-12,16
2014-01-13,76
2014-01-14,32
2014-01-15,18
2014-01-16,20
2014-01-20,20
2014-01-21,18
2014-01-22,24
2014-01-23,2
2014-01-24,16
2014-01-27,22
2014-01-28,32
2014-01-29,66
2014-01-30,34
2014-01-31,62
2014-02-01,58
2014-02-02,34
2014-02-03,152
2014-02-04,144
2014-02-05,96
2014-02-06,462
2014-02-07,165
2014-02-08,36
2014-02-10,24
2014-02-11,12
