Date,Count
2013-09-24,1
2013-09-25,1
2013-10-05,5
2013-10-06,1
2013-10-07,3
2013-10-12,2
2013-10-13,3
2013-10-14,4
2013-10-18,1
2013-10-19,1
2013-10-23,7
2013-10-24,1
2013-10-25,10
2013-10-26,4
2013-10-27,1
2013-10-29,7
2013-10-30,4
2013-11-03,1
2013-11-05,2
2013-11-07,2
2013-11-08,1
2013-11-11,7
2013-11-12,11
2013-11-13,3
2013-11-16,4
2013-11-17,2
2013-11-18,3
2013-11-19,1
2013-11-22,1
2013-11-24,1
2013-11-25,3
2013-11-26,4
2013-11-27,1
2013-12-02,3
2013-12-03,1
2013-12-04,1
2013-12-06,8
2013-12-10,2
2013-12-12,1
2013-12-13,2
2013-12-16,6
2013-12-18,2
2013-12-19,4
2013-12-23,1
2013-12-25,1
2013-12-26,1
2014-01-06,3
2014-01-08,5
2014-01-09,4
2014-01-10,4
2014-01-12,2
2014-01-14,4
2014-01-15,2
2014-01-16,8
2014-01-20,2
2014-01-21,2
2014-01-22,24
2014-01-24,2
2014-01-27,2
2014-01-28,10
2014-01-30,4
2014-01-31,4
2014-02-01,2
2014-02-03,4
2014-02-04,3
2014-02-05,19
2014-02-06,2
2014-02-07,1
2014-02-08,2
