Date,Count
2013-09-24,13
2013-09-25,25
2013-09-26,39
2013-09-27,15
2013-09-28,26
2013-09-29,33
2013-09-30,45
2013-10-01,20
2013-10-02,29
2013-10-03,6
2013-10-04,17
2013-10-05,56
2013-10-06,115
2013-10-07,61
2013-10-08,41
2013-10-09,16
2013-10-10,43
2013-10-11,22
2013-10-12,16
2013-10-13,28
2013-10-14,14
2013-10-18,17
2013-10-19,22
2013-10-20,20
2013-10-21,17
2013-10-22,16
2013-10-23,22
2013-10-24,5
2013-10-25,21
2013-10-26,8
2013-10-27,8
2013-10-28,20
2013-10-29,15
2013-10-30,18
2013-10-31,12
2013-11-01,14
2013-11-02,13
2013-11-03,12
2013-11-04,25
2013-11-05,2
2013-11-06,11
2013-11-07,11
2013-11-08,12
2013-11-09,3
2013-11-10,15
2013-11-11,30
2013-11-12,49
2013-11-13,33
2013-11-14,24
2013-11-15,7
2013-11-16,10
2013-11-17,38
2013-11-18,49
2013-11-19,65
2013-11-20,96
2013-11-22,8
2013-11-23,17
2013-11-24,12
2013-11-25,19
2013-11-26,11
2013-11-27,3
2013-11-28,13
2013-11-29,9
2013-11-30,11
2013-12-01,21
2013-12-02,9
2013-12-03,10
2013-12-04,28
2013-12-05,7
2013-12-06,12
2013-12-07,6
2013-12-08,8
2013-12-09,25
2013-12-10,20
2013-12-11,13
2013-12-12,12
2013-12-13,13
2013-12-14,30
2013-12-15,10
2013-12-16,6
2013-12-17,7
2013-12-18,37
2013-12-19,5
2013-12-20,1
2013-12-22,3
2013-12-23,16
2013-12-24,7
2013-12-25,52
2013-12-26,29
2013-12-27,15
2014-01-03,48
2014-01-04,28
2014-01-05,25
2014-01-06,11
2014-01-07,24
2014-01-08,33
2014-01-09,46
2014-01-10,50
2014-01-11,114
2014-01-12,122
2014-01-13,88
2014-01-14,48
2014-01-15,38
2014-01-16,22
2014-01-20,58
2014-01-21,46
2014-01-22,44
2014-01-23,24
2014-01-24,12
2014-01-25,2
2014-01-27,62
2014-01-28,122
2014-01-29,26
2014-01-30,16
2014-01-31,22
2014-02-01,52
2014-02-02,44
2014-02-03,64
2014-02-04,102
2014-02-05,7
2014-02-06,11
2014-02-07,18
2014-02-08,16
2014-02-10,13
2014-02-11,19
