KeyWord,Datetime,Count
Switzerland,2013-09-24,102
Switzerland,2013-09-25,228
Switzerland,2013-09-26,176
Switzerland,2013-09-27,53
Switzerland,2013-09-28,93
Switzerland,2013-09-29,206
Switzerland,2013-09-30,152
Switzerland,2013-10-01,142
Switzerland,2013-10-02,337
Switzerland,2013-10-03,51
Switzerland,2013-10-04,221
Switzerland,2013-10-05,110
Switzerland,2013-10-06,87
Switzerland,2013-10-07,127
Switzerland,2013-10-08,158
Switzerland,2013-10-09,269
Switzerland,2013-10-10,241
Switzerland,2013-10-11,144
Switzerland,2013-10-12,125
Switzerland,2013-10-13,54
Switzerland,2013-10-14,93
Switzerland,2013-10-15,5
Switzerland,2013-10-18,42
Switzerland,2013-10-19,145
Switzerland,2013-10-20,81
Switzerland,2013-10-21,265
Switzerland,2013-10-22,237
Switzerland,2013-10-23,130
Switzerland,2013-10-24,100
Switzerland,2013-10-25,215
Switzerland,2013-10-26,86
Switzerland,2013-10-27,75
Switzerland,2013-10-28,77
Switzerland,2013-10-29,107
Switzerland,2013-10-30,219
Switzerland,2013-10-31,238
Switzerland,2013-11-01,132
Switzerland,2013-11-02,241
Switzerland,2013-11-03,148
Switzerland,2013-11-04,79
Switzerland,2013-11-05,31
Switzerland,2013-11-06,90
Switzerland,2013-11-07,412
Switzerland,2013-11-08,250
Switzerland,2013-11-09,566
Switzerland,2013-11-10,102
Switzerland,2013-11-11,118
Switzerland,2013-11-12,140
Switzerland,2013-11-13,290
Switzerland,2013-11-14,278
Switzerland,2013-11-15,85
Switzerland,2013-11-16,130
Switzerland,2013-11-17,42
Switzerland,2013-11-18,223
Switzerland,2013-11-19,406
Switzerland,2013-11-20,172
Switzerland,2013-11-22,27
Switzerland,2013-11-23,154
Switzerland,2013-11-24,449
Switzerland,2013-11-25,210
Switzerland,2013-11-26,163
Switzerland,2013-11-27,143
Switzerland,2013-11-28,58
Switzerland,2013-11-29,359
Switzerland,2013-11-30,83
Switzerland,2013-12-01,139
Switzerland,2013-12-02,140
Switzerland,2013-12-03,94
Switzerland,2013-12-04,149
Switzerland,2013-12-05,46
Switzerland,2013-12-06,319
Switzerland,2013-12-07,164
Switzerland,2013-12-08,91
Switzerland,2013-12-09,221
Switzerland,2013-12-10,195
Switzerland,2013-12-11,118
Switzerland,2013-12-12,98
Switzerland,2013-12-13,71
Switzerland,2013-12-14,150
Switzerland,2013-12-15,218
Switzerland,2013-12-16,418
Switzerland,2013-12-17,239
Switzerland,2013-12-18,344
Switzerland,2013-12-19,274
Switzerland,2013-12-20,66
Switzerland,2013-12-22,3
Switzerland,2013-12-23,102
Switzerland,2013-12-24,66
Switzerland,2013-12-25,96
Switzerland,2013-12-26,302
Switzerland,2013-12-27,108
Switzerland,2014-01-03,74
Switzerland,2014-01-04,132
Switzerland,2014-01-05,79
Switzerland,2014-01-06,787
Switzerland,2014-01-07,254
Switzerland,2014-01-08,76
