KeyWord,Datetime,Count
Syria,2013-09-24,186
Syria,2013-09-25,279
Syria,2013-09-26,341
Syria,2013-09-27,279
Syria,2013-09-28,480
Syria,2013-09-29,320
Syria,2013-09-30,833
Syria,2013-10-01,106
Syria,2013-10-02,374
Syria,2013-10-03,95
Syria,2013-10-04,137
Syria,2013-10-05,171
Syria,2013-10-06,225
Syria,2013-10-07,204
Syria,2013-10-08,263
Syria,2013-10-09,163
Syria,2013-10-10,283
Syria,2013-10-11,282
Syria,2013-10-12,214
Syria,2013-10-13,147
Syria,2013-10-14,126
Syria,2013-10-15,11
Syria,2013-10-18,98
Syria,2013-10-19,161
Syria,2013-10-20,147
Syria,2013-10-21,142
Syria,2013-10-22,208
Syria,2013-10-23,146
Syria,2013-10-24,39
Syria,2013-10-25,166
Syria,2013-10-26,142
Syria,2013-10-27,152
Syria,2013-10-28,147
Syria,2013-10-29,221
Syria,2013-10-30,134
Syria,2013-10-31,161
Syria,2013-11-01,259
Syria,2013-11-02,167
Syria,2013-11-03,143
Syria,2013-11-04,152
Syria,2013-11-05,31
Syria,2013-11-06,154
Syria,2013-11-07,135
Syria,2013-11-08,177
Syria,2013-11-09,143
Syria,2013-11-10,126
Syria,2013-11-11,157
Syria,2013-11-12,111
Syria,2013-11-13,280
Syria,2013-11-14,200
Syria,2013-11-15,58
Syria,2013-11-16,180
Syria,2013-11-17,82
Syria,2013-11-18,99
Syria,2013-11-19,260
Syria,2013-11-20,242
Syria,2013-11-22,51
Syria,2013-11-23,156
Syria,2013-11-24,159
Syria,2013-11-25,126
Syria,2013-11-26,357
Syria,2013-11-27,137
Syria,2013-11-28,396
Syria,2013-11-29,310
Syria,2013-11-30,174
Syria,2013-12-01,349
Syria,2013-12-02,402
Syria,2013-12-03,205
Syria,2013-12-04,155
Syria,2013-12-05,236
Syria,2013-12-06,182
Syria,2013-12-07,127
Syria,2013-12-08,106
Syria,2013-12-09,304
Syria,2013-12-10,604
Syria,2013-12-11,709
Syria,2013-12-12,624
Syria,2013-12-13,443
Syria,2013-12-14,411
Syria,2013-12-15,608
Syria,2013-12-16,713
Syria,2013-12-17,446
Syria,2013-12-18,387
Syria,2013-12-19,307
Syria,2013-12-20,2
Syria,2013-12-22,27
Syria,2013-12-23,512
Syria,2013-12-24,236
Syria,2013-12-25,244
Syria,2013-12-26,349
Syria,2013-12-27,255
Syria,2014-01-03,219
Syria,2014-01-04,310
Syria,2014-01-05,338
Syria,2014-01-06,474
Syria,2014-01-07,483
Syria,2014-01-08,516
