Date,Count
2013-09-24,1
2013-09-25,2
2013-09-29,2
2013-10-01,1
2013-10-02,2
2013-10-04,2
2013-10-05,3
2013-10-06,1
2013-10-07,2
2013-10-08,1
2013-10-09,2
2013-10-10,1
2013-10-11,2
2013-10-12,2
2013-10-13,1
2013-10-14,6
2013-10-18,1
2013-10-20,2
2013-10-21,3
2013-10-22,1
2013-10-24,1
2013-10-26,4
2013-10-27,1
2013-10-28,3
2013-10-29,3
2013-11-02,1
2013-11-05,1
2013-11-06,3
2013-11-07,4
2013-11-13,10
2013-11-14,4
2013-11-15,40
2013-11-16,3
2013-11-17,3
2013-11-18,1
2013-11-20,2
2013-11-25,2
2013-11-28,2
2013-11-29,4
2013-12-06,3
2013-12-07,1
2013-12-09,1
2013-12-11,1
2013-12-12,1
2013-12-14,9
2013-12-15,13
2013-12-16,2
2013-12-17,2
2013-12-18,1
2013-12-19,3
2013-12-23,1
2013-12-26,3
2014-01-05,2
2014-01-08,1
2014-01-09,4
2014-01-10,2
2014-01-13,2
2014-01-16,2
2014-01-21,4
2014-01-22,2
2014-01-24,12
2014-01-27,2
2014-01-29,4
2014-02-03,2
2014-02-05,3
2014-02-10,3
2014-02-11,3
