KeyWord,Datetime,Count
Townsville,2013-09-26,3
Townsville,2013-09-27,2
Townsville,2013-09-28,5
Townsville,2013-09-29,6
Townsville,2013-09-30,4
Townsville,2013-10-02,4
Townsville,2013-10-03,1
Townsville,2013-10-04,8
Townsville,2013-10-05,13
Townsville,2013-10-06,7
Townsville,2013-10-07,4
Townsville,2013-10-08,2
Townsville,2013-10-09,9
Townsville,2013-10-10,8
Townsville,2013-10-11,14
Townsville,2013-10-12,2
Townsville,2013-10-13,6
Townsville,2013-10-14,1
Townsville,2013-10-18,4
Townsville,2013-10-19,4
Townsville,2013-10-20,4
Townsville,2013-10-21,7
Townsville,2013-10-22,10
Townsville,2013-10-23,7
Townsville,2013-10-25,2
Townsville,2013-10-26,4
Townsville,2013-10-27,2
Townsville,2013-10-28,4
Townsville,2013-10-29,4
Townsville,2013-10-30,6
Townsville,2013-10-31,9
Townsville,2013-11-01,9
Townsville,2013-11-02,1
Townsville,2013-11-04,9
Townsville,2013-11-06,4
Townsville,2013-11-07,7
Townsville,2013-11-08,2
Townsville,2013-11-09,29
Townsville,2013-11-10,6
Townsville,2013-11-11,1
Townsville,2013-11-12,3
Townsville,2013-11-13,17
Townsville,2013-11-14,3
Townsville,2013-11-15,3
Townsville,2013-11-16,3
Townsville,2013-11-17,3
Townsville,2013-11-18,3
Townsville,2013-11-19,11
Townsville,2013-11-20,12
Townsville,2013-11-23,2
Townsville,2013-11-24,3
Townsville,2013-11-25,5
Townsville,2013-11-26,6
Townsville,2013-11-27,8
Townsville,2013-11-29,10
Townsville,2013-12-01,1
Townsville,2013-12-02,7
Townsville,2013-12-03,5
Townsville,2013-12-04,3
Townsville,2013-12-05,2
Townsville,2013-12-06,9
Townsville,2013-12-07,3
Townsville,2013-12-08,5
Townsville,2013-12-09,3
Townsville,2013-12-10,5
Townsville,2013-12-11,9
Townsville,2013-12-12,7
Townsville,2013-12-13,8
Townsville,2013-12-14,4
Townsville,2013-12-15,2
Townsville,2013-12-16,8
Townsville,2013-12-17,12
Townsville,2013-12-18,4
Townsville,2013-12-19,26
Townsville,2013-12-20,1
Townsville,2013-12-24,2
Townsville,2013-12-26,2
Townsville,2014-01-04,1
Townsville,2014-01-06,2
Townsville,2014-01-07,5
Townsville,2014-01-08,5
