Date,Count
2013-09-26,1
2013-09-27,1
2013-09-28,157
2013-09-29,32
2013-09-30,115
2013-10-01,3
2013-10-02,4
2013-10-04,1
2013-10-05,11
2013-10-06,1
2013-10-07,3
2013-10-08,12
2013-10-09,1
2013-10-10,13
2013-10-11,2
2013-10-12,1
2013-10-13,1
2013-10-14,1
2013-10-21,1
2013-10-24,1
2013-10-30,1
2013-11-01,1
2013-11-02,1
2013-11-03,1
2013-11-08,1
2013-11-12,7
2013-11-13,1
2013-11-14,1
2013-11-16,1
2013-11-17,2
2013-11-26,1
2013-11-29,1
2013-11-30,1
2013-12-03,2
2013-12-05,90
2013-12-06,27
2013-12-07,3
2013-12-08,1
2013-12-09,3
2013-12-10,4
2013-12-14,4
2013-12-15,1
2013-12-17,1
2013-12-26,1
2014-01-09,2
2014-01-10,2
2014-01-13,2
2014-01-14,2
2014-01-20,4
2014-01-23,2
2014-01-28,4
2014-02-03,3
2014-02-05,3
2014-02-07,3
2014-02-08,6
2014-02-13,4
