KeyWord,Datetime,Count
Tupelo,2013-09-24,2
Tupelo,2013-09-25,4
Tupelo,2013-09-26,7
Tupelo,2013-09-27,1
Tupelo,2013-09-28,1
Tupelo,2013-09-29,7
Tupelo,2013-09-30,3
Tupelo,2013-10-01,3
Tupelo,2013-10-02,2
Tupelo,2013-10-05,2
Tupelo,2013-10-06,4
Tupelo,2013-10-07,1
Tupelo,2013-10-08,3
Tupelo,2013-10-10,4
Tupelo,2013-10-11,7
Tupelo,2013-10-12,7
Tupelo,2013-10-13,29
Tupelo,2013-10-14,24
Tupelo,2013-10-15,2
Tupelo,2013-10-18,2
Tupelo,2013-10-19,9
Tupelo,2013-10-21,9
Tupelo,2013-10-22,5
Tupelo,2013-10-23,2
Tupelo,2013-10-25,26
Tupelo,2013-10-26,10
Tupelo,2013-10-27,6
Tupelo,2013-10-29,2
Tupelo,2013-10-30,5
Tupelo,2013-11-01,2
Tupelo,2013-11-02,5
Tupelo,2013-11-04,3
Tupelo,2013-11-05,2
Tupelo,2013-11-06,6
Tupelo,2013-11-07,2
Tupelo,2013-11-08,4
Tupelo,2013-11-09,12
Tupelo,2013-11-10,5
Tupelo,2013-11-11,1
Tupelo,2013-11-12,6
Tupelo,2013-11-13,3
Tupelo,2013-11-14,8
Tupelo,2013-11-15,5
Tupelo,2013-11-16,5
Tupelo,2013-11-19,2
Tupelo,2013-11-20,10
Tupelo,2013-11-22,1
Tupelo,2013-11-23,5
Tupelo,2013-11-24,7
Tupelo,2013-11-25,4
Tupelo,2013-11-26,6
Tupelo,2013-11-28,3
Tupelo,2013-11-29,3
Tupelo,2013-11-30,7
Tupelo,2013-12-01,5
Tupelo,2013-12-02,11
Tupelo,2013-12-03,4
Tupelo,2013-12-04,5
Tupelo,2013-12-05,3
Tupelo,2013-12-06,7
Tupelo,2013-12-07,396
Tupelo,2013-12-08,14
Tupelo,2013-12-09,6
Tupelo,2013-12-10,6
Tupelo,2013-12-11,10
Tupelo,2013-12-12,9
Tupelo,2013-12-13,7
Tupelo,2013-12-14,5
Tupelo,2013-12-15,7
Tupelo,2013-12-16,1
Tupelo,2013-12-17,3
Tupelo,2013-12-18,1
Tupelo,2013-12-19,7
Tupelo,2013-12-23,3
Tupelo,2013-12-24,58
Tupelo,2013-12-25,33
Tupelo,2013-12-26,5
Tupelo,2014-01-03,2
Tupelo,2014-01-04,1
Tupelo,2014-01-05,4
Tupelo,2014-01-07,2
Tupelo,2014-01-08,2
