Date,Count
2013-09-24,2
2013-09-25,4
2013-09-26,39
2013-09-27,6
2013-09-28,13
2013-09-29,12
2013-09-30,8
2013-10-01,2
2013-10-02,106
2013-10-03,10
2013-10-04,9
2013-10-05,7
2013-10-06,18
2013-10-07,9
2013-10-08,3
2013-10-09,7
2013-10-10,5
2013-10-11,5
2013-10-12,7
2013-10-13,5
2013-10-14,3
2013-10-18,8
2013-10-19,6
2013-10-20,7
2013-10-21,9
2013-10-22,5
2013-10-23,21
2013-10-24,1
2013-10-25,3
2013-10-26,6
2013-10-27,5
2013-10-28,7
2013-10-29,9
2013-10-30,55
2013-10-31,33
2013-11-01,20
2013-11-02,7
2013-11-03,5
2013-11-04,357
2013-11-05,150
2013-11-06,43
2013-11-07,17
2013-11-08,14
2013-11-09,22
2013-11-10,2
2013-11-11,7
2013-11-12,10
2013-11-13,12
2013-11-14,3
2013-11-15,3
2013-11-16,6
2013-11-17,8
2013-11-18,4
2013-11-19,7
2013-11-20,12
2013-11-22,1
2013-11-23,3
2013-11-24,1
2013-11-25,6
2013-11-26,7
2013-11-27,27
2013-11-28,6
2013-11-29,36
2013-11-30,8
2013-12-01,23
2013-12-02,2
2013-12-03,6
2013-12-04,4
2013-12-05,2
2013-12-06,5
2013-12-07,4
2013-12-08,3
2013-12-09,2
2013-12-10,1
2013-12-11,4
2013-12-12,7
2013-12-13,7
2013-12-14,13
2013-12-15,10
2013-12-16,1
2013-12-17,3
2013-12-18,8
2013-12-19,26
2013-12-23,4
2013-12-24,3
2013-12-25,2
2013-12-26,1
2014-01-03,33
2014-01-04,7
2014-01-05,13
2014-01-06,3
2014-01-07,5
2014-01-08,5
2014-01-09,8
2014-01-10,2
2014-01-11,8
2014-01-12,12
2014-01-13,4
2014-01-14,2
2014-01-15,28
2014-01-16,2
2014-01-20,2
2014-01-21,4
2014-01-22,6
2014-01-23,22
2014-01-24,108
2014-01-25,2
2014-01-27,20
2014-01-28,8
2014-01-29,2
2014-01-30,38
2014-01-31,672
2014-02-01,16
2014-02-02,16
2014-02-03,19
2014-02-04,27
2014-02-06,15
2014-02-07,15
2014-02-08,6
2014-02-11,15
2014-02-12,13
2014-02-13,15
2014-02-14,7
2014-02-15,9
2014-02-16,6
2014-02-17,1
2014-02-20,21
2014-02-21,13
2014-02-22,4
2014-02-23,27
2014-02-24,10
