Date,Count
2013-09-26,2
2013-09-27,2
2013-09-28,2
2013-09-29,22
2013-09-30,8
2013-10-02,3
2013-10-05,1
2013-10-06,1
2013-10-07,1
2013-10-08,1
2013-10-10,1
2013-10-14,1
2013-10-19,1
2013-10-21,3
2013-10-22,7
2013-10-23,9
2013-10-26,3
2013-10-27,3
2013-10-29,1
2013-10-30,1
2013-10-31,1
2013-11-02,1
2013-11-04,2
2013-11-06,1
2013-11-08,1
2013-11-09,1
2013-11-10,1
2013-11-11,1
2013-11-12,2
2013-11-13,2
2013-11-14,1
2013-11-16,3
2013-11-18,1
2013-11-19,3
2013-11-20,8
2013-11-26,1
2013-11-28,1
2013-11-29,1
2013-11-30,3
2013-12-01,12
2013-12-02,83
2013-12-03,136
2013-12-04,14
2013-12-05,12
2013-12-06,5
2013-12-08,6
2013-12-09,4
2013-12-10,1
2013-12-11,4
2013-12-12,3
2013-12-14,5
2013-12-15,4
2013-12-16,1
2013-12-17,2
2013-12-18,2
2013-12-19,2
2013-12-23,4
2013-12-24,1
2013-12-25,1
2013-12-26,3
2013-12-27,1
2014-01-05,3
2014-01-06,2
2014-01-07,1
2014-01-08,4
2014-01-09,6
2014-01-10,2
2014-01-11,4
2014-01-13,2
2014-01-15,6
2014-01-16,4
2014-01-22,160
2014-01-23,46
2014-01-24,4
2014-01-27,2
2014-01-30,2
2014-01-31,6
2014-02-01,2
2014-02-03,200
2014-02-04,162
2014-02-05,24
2014-02-06,15
2014-02-07,27
2014-02-08,3
2014-02-12,5
2014-02-13,1
2014-02-14,2
2014-02-15,2
2014-02-17,1
2014-02-20,1
2014-02-22,1
2014-02-23,1
