Date,Count
2013-09-24,14
2013-09-25,16
2013-09-26,43
2013-09-27,37
2013-09-28,32
2013-09-29,22
2013-09-30,54
2013-10-01,19
2013-10-02,30
2013-10-03,26
2013-10-04,41
2013-10-05,24
2013-10-06,31
2013-10-07,33
2013-10-08,40
2013-10-09,38
2013-10-10,29
2013-10-11,49
2013-10-12,66
2013-10-13,13
2013-10-14,27
2013-10-18,27
2013-10-19,35
2013-10-20,49
2013-10-21,40
2013-10-22,45
2013-10-23,55
2013-10-24,11
2013-10-25,72
2013-10-26,45
2013-10-27,50
2013-10-28,32
2013-10-29,27
2013-10-30,42
2013-10-31,26
2013-11-01,23
2013-11-02,23
2013-11-03,39
2013-11-04,34
2013-11-05,5
2013-11-06,38
2013-11-07,57
2013-11-08,65
2013-11-09,41
2013-11-10,29
2013-11-11,56
2013-11-12,26
2013-11-13,154
2013-11-14,483
2013-11-15,72
2013-11-16,131
2013-11-17,28
2013-11-18,56
2013-11-19,84
2013-11-20,100
2013-11-22,67
2013-11-23,80
2013-11-24,74
2013-11-25,50
2013-11-26,43
2013-11-27,82
2013-11-28,57
2013-11-29,52
2013-11-30,49
2013-12-01,25
2013-12-02,31
2013-12-03,43
2013-12-04,30
2013-12-05,32
2013-12-06,37
2013-12-07,37
2013-12-08,35
2013-12-09,49
2013-12-10,35
2013-12-11,128
2013-12-12,52
2013-12-13,39
2013-12-14,44
2013-12-15,19
2013-12-16,40
2013-12-17,36
2013-12-18,41
2013-12-19,28
2013-12-20,2
2013-12-23,21
2013-12-24,17
2013-12-25,14
2013-12-26,22
2013-12-27,82
2014-01-03,14
2014-01-04,33
2014-01-05,16
2014-01-06,40
2014-01-07,39
2014-01-08,59
2014-01-09,74
2014-01-10,100
2014-01-11,42
2014-01-12,80
2014-01-13,44
2014-01-14,50
2014-01-15,36
2014-01-16,70
2014-01-20,116
2014-01-21,104
2014-01-22,56
2014-01-23,84
2014-01-24,60
2014-01-25,4
2014-01-27,38
2014-01-28,154
2014-01-29,60
2014-01-30,78
2014-01-31,80
2014-02-01,82
2014-02-02,94
2014-02-03,65
2014-02-04,63
2014-02-05,114
2014-02-06,84
2014-02-07,141
2014-02-08,57
2014-02-10,108
2014-02-11,54
