KeyWord,Datetime,Count
Waco,2013-09-24,3
Waco,2013-09-25,12
Waco,2013-09-26,6
Waco,2013-09-27,5
Waco,2013-09-28,17
Waco,2013-09-29,8
Waco,2013-09-30,6
Waco,2013-10-01,4
Waco,2013-10-02,7
Waco,2013-10-03,1
Waco,2013-10-04,12
Waco,2013-10-05,21
Waco,2013-10-06,18
Waco,2013-10-07,10
Waco,2013-10-08,7
Waco,2013-10-09,4
Waco,2013-10-10,6
Waco,2013-10-11,9
Waco,2013-10-12,11
Waco,2013-10-13,17
Waco,2013-10-14,9
Waco,2013-10-18,3
Waco,2013-10-19,22
Waco,2013-10-20,7
Waco,2013-10-21,8
Waco,2013-10-22,8
Waco,2013-10-23,3
Waco,2013-10-24,1
Waco,2013-10-25,10
Waco,2013-10-26,16
Waco,2013-10-27,6
Waco,2013-10-28,5
Waco,2013-10-29,8
Waco,2013-10-30,12
Waco,2013-10-31,21
Waco,2013-11-01,6
Waco,2013-11-02,10
Waco,2013-11-03,4
Waco,2013-11-04,6
Waco,2013-11-05,5
Waco,2013-11-06,18
Waco,2013-11-07,60
Waco,2013-11-08,83
Waco,2013-11-09,12
Waco,2013-11-10,2
Waco,2013-11-11,7
Waco,2013-11-12,5
Waco,2013-11-13,2
Waco,2013-11-14,12
Waco,2013-11-15,10
Waco,2013-11-16,11
Waco,2013-11-17,7
Waco,2013-11-18,10
Waco,2013-11-19,20
Waco,2013-11-20,12
Waco,2013-11-22,5
Waco,2013-11-23,15
Waco,2013-11-24,13
Waco,2013-11-25,3
Waco,2013-11-26,9
Waco,2013-11-27,3
Waco,2013-11-28,3
Waco,2013-11-29,4
Waco,2013-11-30,18
Waco,2013-12-01,15
Waco,2013-12-02,2
Waco,2013-12-03,2
Waco,2013-12-04,5
Waco,2013-12-05,3
Waco,2013-12-06,37
Waco,2013-12-07,17
Waco,2013-12-08,22
Waco,2013-12-09,30
Waco,2013-12-10,6
Waco,2013-12-11,6
Waco,2013-12-12,5
Waco,2013-12-13,8
Waco,2013-12-14,26
Waco,2013-12-15,2
Waco,2013-12-16,6
Waco,2013-12-17,4
Waco,2013-12-18,7
Waco,2013-12-19,8
Waco,2013-12-23,4
Waco,2013-12-24,7
Waco,2013-12-25,7
Waco,2013-12-26,14
Waco,2013-12-27,1
Waco,2014-01-03,2
Waco,2014-01-04,6
Waco,2014-01-05,2
Waco,2014-01-06,9
Waco,2014-01-07,11
Waco,2014-01-08,3
