Date,Count
2013-09-24,25
2013-09-25,30
2013-09-26,28
2013-09-27,10
2013-09-28,47
2013-09-29,40
2013-09-30,44
2013-10-01,84
2013-10-02,71
2013-10-03,16
2013-10-04,40
2013-10-05,61
2013-10-06,39
2013-10-07,86
2013-10-08,140
2013-10-09,37
2013-10-10,64
2013-10-11,52
2013-10-12,44
2013-10-13,45
2013-10-14,86
2013-10-15,1
2013-10-18,25
2013-10-19,46
2013-10-20,40
2013-10-21,40
2013-10-22,31
2013-10-23,32
2013-10-24,29
2013-10-25,40
2013-10-26,112
2013-10-27,37
2013-10-28,26
2013-10-29,42
2013-10-30,56
2013-10-31,35
2013-11-01,60
2013-11-02,47
2013-11-03,32
2013-11-04,54
2013-11-05,8
2013-11-06,31
2013-11-07,47
2013-11-08,58
2013-11-09,29
2013-11-10,40
2013-11-11,77
2013-11-12,120
2013-11-13,47
2013-11-14,51
2013-11-15,23
2013-11-16,79
2013-11-17,26
2013-11-18,58
2013-11-19,123
2013-11-20,96
2013-11-22,12
2013-11-23,126
2013-11-24,97
2013-11-25,24
2013-11-26,29
2013-11-27,17
2013-11-28,37
2013-11-29,33
2013-11-30,44
2013-12-01,140
2013-12-02,67
2013-12-03,23
2013-12-04,40
2013-12-05,159
2013-12-06,50
2013-12-07,41
2013-12-08,48
2013-12-09,47
2013-12-10,66
2013-12-11,54
2013-12-12,29
2013-12-13,81
2013-12-14,46
2013-12-15,74
2013-12-16,46
2013-12-17,49
2013-12-18,44
2013-12-19,59
2013-12-20,3
2013-12-22,2
2013-12-23,34
2013-12-24,37
2013-12-25,45
2013-12-26,35
2013-12-27,43
2014-01-03,17
2014-01-04,30
2014-01-05,20
2014-01-06,192
2014-01-07,70
2014-01-08,58
2014-01-09,78
2014-01-10,108
2014-01-11,100
2014-01-12,118
2014-01-13,76
2014-01-14,100
2014-01-15,136
2014-01-16,72
2014-01-20,136
2014-01-21,116
2014-01-22,64
2014-01-23,68
2014-01-24,72
2014-01-25,16
2014-01-27,76
2014-01-28,58
2014-01-29,60
2014-01-30,98
2014-01-31,104
2014-02-01,82
2014-02-02,82
2014-02-03,80
2014-02-04,138
2014-02-05,150
2014-02-06,192
2014-02-07,771
2014-02-08,168
2014-02-10,57
2014-02-11,108
2014-02-12,62
2014-02-13,106
2014-02-14,110
2014-02-15,198
2014-02-16,188
2014-02-17,26
2014-02-19,28
2014-02-20,62
2014-02-21,78
2014-02-22,78
2014-02-23,60
2014-02-24,40
2014-03-03,48
2014-03-04,62
