KeyWord,Datetime,Count
Acapulco,2013-09-24,3
Acapulco,2013-09-25,4
Acapulco,2013-09-26,3
Acapulco,2013-09-27,11
Acapulco,2013-09-28,11
Acapulco,2013-09-29,4
Acapulco,2013-09-30,6
Acapulco,2013-10-01,1
Acapulco,2013-10-02,1
Acapulco,2013-10-04,1
Acapulco,2013-10-05,12
Acapulco,2013-10-06,2
Acapulco,2013-10-07,1
Acapulco,2013-10-08,6
Acapulco,2013-10-09,11
Acapulco,2013-10-10,2
Acapulco,2013-10-11,2
Acapulco,2013-10-12,1
Acapulco,2013-10-13,2
Acapulco,2013-10-14,7
Acapulco,2013-10-15,1
Acapulco,2013-10-18,4
Acapulco,2013-10-19,1
Acapulco,2013-10-20,3
Acapulco,2013-10-21,11
Acapulco,2013-10-22,14
Acapulco,2013-10-23,3
Acapulco,2013-10-26,2
Acapulco,2013-10-27,3
Acapulco,2013-10-28,2
Acapulco,2013-10-29,3
Acapulco,2013-10-30,1
Acapulco,2013-11-01,1
Acapulco,2013-11-02,1
Acapulco,2013-11-03,4
Acapulco,2013-11-05,4
Acapulco,2013-11-06,1
Acapulco,2013-11-07,2
Acapulco,2013-11-09,2
Acapulco,2013-11-10,1
Acapulco,2013-11-11,1
Acapulco,2013-11-12,9
Acapulco,2013-11-13,1
Acapulco,2013-11-14,3
Acapulco,2013-11-16,3
Acapulco,2013-11-17,4
Acapulco,2013-11-18,3
Acapulco,2013-11-19,5
Acapulco,2013-11-20,10
Acapulco,2013-11-25,2
Acapulco,2013-11-26,3
Acapulco,2013-11-28,12
Acapulco,2013-11-29,11
Acapulco,2013-11-30,4
Acapulco,2013-12-01,2
Acapulco,2013-12-02,5
Acapulco,2013-12-03,2
Acapulco,2013-12-05,2
Acapulco,2013-12-07,4
Acapulco,2013-12-09,2
