KeyWord,Datetime,Count
Akron,2013-09-24,9
Akron,2013-09-25,7
Akron,2013-09-26,8
Akron,2013-09-27,24
Akron,2013-09-28,46
Akron,2013-09-29,32
Akron,2013-09-30,12
Akron,2013-10-01,4
Akron,2013-10-02,14
Akron,2013-10-03,2
Akron,2013-10-04,21
Akron,2013-10-05,31
Akron,2013-10-06,13
Akron,2013-10-07,11
Akron,2013-10-08,10
Akron,2013-10-09,10
Akron,2013-10-10,17
Akron,2013-10-11,18
Akron,2013-10-12,13
Akron,2013-10-13,14
Akron,2013-10-14,20
Akron,2013-10-18,9
Akron,2013-10-19,32
Akron,2013-10-20,15
Akron,2013-10-21,22
Akron,2013-10-22,24
Akron,2013-10-23,9
Akron,2013-10-24,8
Akron,2013-10-25,12
Akron,2013-10-26,16
Akron,2013-10-27,10
Akron,2013-10-28,19
Akron,2013-10-29,218
Akron,2013-10-30,53
Akron,2013-10-31,28
Akron,2013-11-01,18
Akron,2013-11-02,17
Akron,2013-11-03,12
Akron,2013-11-04,9
Akron,2013-11-05,1
Akron,2013-11-06,24
Akron,2013-11-07,21
Akron,2013-11-08,16
Akron,2013-11-09,37
Akron,2013-11-10,7
Akron,2013-11-11,12
Akron,2013-11-12,167
Akron,2013-11-13,44
Akron,2013-11-14,43
Akron,2013-11-15,38
Akron,2013-11-16,25
Akron,2013-11-17,18
Akron,2013-11-18,26
Akron,2013-11-19,67
Akron,2013-11-20,36
Akron,2013-11-22,3
Akron,2013-11-23,10
Akron,2013-11-24,16
Akron,2013-11-25,11
Akron,2013-11-26,25
Akron,2013-11-27,10
Akron,2013-11-28,31
Akron,2013-11-29,47
Akron,2013-11-30,27
Akron,2013-12-01,29
Akron,2013-12-02,46
Akron,2013-12-03,30
Akron,2013-12-04,51
Akron,2013-12-05,55
Akron,2013-12-06,47
Akron,2013-12-07,57
Akron,2013-12-08,35
