KeyWord,Datetime,Count
Baghdad,2013-09-24,1
Baghdad,2013-09-25,3
Baghdad,2013-09-26,16
Baghdad,2013-09-27,3
Baghdad,2013-09-28,2
Baghdad,2013-09-29,5
Baghdad,2013-09-30,54
Baghdad,2013-10-01,1
Baghdad,2013-10-02,10
Baghdad,2013-10-03,5
Baghdad,2013-10-04,19
Baghdad,2013-10-05,8
Baghdad,2013-10-06,8
Baghdad,2013-10-07,24
Baghdad,2013-10-08,19
Baghdad,2013-10-09,10
Baghdad,2013-10-10,14
Baghdad,2013-10-11,5
Baghdad,2013-10-12,1
Baghdad,2013-10-13,13
Baghdad,2013-10-14,9
Baghdad,2013-10-18,2
Baghdad,2013-10-19,8
Baghdad,2013-10-20,9
Baghdad,2013-10-21,9
Baghdad,2013-10-22,6
Baghdad,2013-10-23,5
Baghdad,2013-10-24,1
Baghdad,2013-10-25,10
Baghdad,2013-10-26,10
Baghdad,2013-10-27,21
Baghdad,2013-10-28,10
Baghdad,2013-10-29,13
Baghdad,2013-10-30,40
Baghdad,2013-10-31,9
Baghdad,2013-11-01,28
Baghdad,2013-11-02,6
Baghdad,2013-11-03,5
Baghdad,2013-11-04,4
Baghdad,2013-11-05,1
Baghdad,2013-11-06,3
Baghdad,2013-11-07,8
Baghdad,2013-11-08,3
Baghdad,2013-11-09,3
Baghdad,2013-11-10,12
Baghdad,2013-11-11,24
Baghdad,2013-11-12,20
Baghdad,2013-11-13,10
Baghdad,2013-11-14,6
Baghdad,2013-11-15,3
Baghdad,2013-11-16,18
Baghdad,2013-11-17,4
Baghdad,2013-11-18,9
Baghdad,2013-11-19,39
Baghdad,2013-11-20,62
Baghdad,2013-11-22,7
Baghdad,2013-11-23,20
Baghdad,2013-11-24,26
Baghdad,2013-11-25,21
Baghdad,2013-11-26,56
Baghdad,2013-11-27,13
Baghdad,2013-11-28,16
Baghdad,2013-11-29,25
Baghdad,2013-11-30,21
Baghdad,2013-12-01,7
Baghdad,2013-12-02,13
Baghdad,2013-12-03,8
Baghdad,2013-12-04,13
Baghdad,2013-12-05,33
Baghdad,2013-12-06,16
Baghdad,2013-12-07,116
Baghdad,2013-12-08,83
Baghdad,2013-12-09,4
