KeyWord,Datetime,Count
Belfast,2013-09-24,58
Belfast,2013-09-25,126
Belfast,2013-09-26,174
Belfast,2013-09-27,145
Belfast,2013-09-28,163
Belfast,2013-09-29,171
Belfast,2013-09-30,114
Belfast,2013-10-01,55
Belfast,2013-10-02,162
Belfast,2013-10-03,56
Belfast,2013-10-04,119
Belfast,2013-10-05,150
Belfast,2013-10-06,73
Belfast,2013-10-07,113
Belfast,2013-10-08,147
Belfast,2013-10-09,154
Belfast,2013-10-10,192
Belfast,2013-10-11,144
Belfast,2013-10-12,141
Belfast,2013-10-13,115
Belfast,2013-10-14,210
Belfast,2013-10-15,1
Belfast,2013-10-18,125
Belfast,2013-10-19,119
Belfast,2013-10-20,140
Belfast,2013-10-21,318
Belfast,2013-10-22,220
Belfast,2013-10-23,116
Belfast,2013-10-24,122
Belfast,2013-10-25,161
Belfast,2013-10-26,110
Belfast,2013-10-27,88
Belfast,2013-10-28,168
Belfast,2013-10-29,219
Belfast,2013-10-30,156
Belfast,2013-10-31,178
Belfast,2013-11-01,122
Belfast,2013-11-02,97
Belfast,2013-11-03,51
Belfast,2013-11-04,121
Belfast,2013-11-05,32
Belfast,2013-11-06,125
Belfast,2013-11-07,133
Belfast,2013-11-08,152
Belfast,2013-11-09,186
Belfast,2013-11-10,191
Belfast,2013-11-11,159
Belfast,2013-11-12,182
Belfast,2013-11-13,190
Belfast,2013-11-14,188
Belfast,2013-11-15,98
Belfast,2013-11-16,139
Belfast,2013-11-17,66
Belfast,2013-11-18,157
Belfast,2013-11-19,411
Belfast,2013-11-20,282
Belfast,2013-11-22,59
Belfast,2013-11-23,105
Belfast,2013-11-24,86
Belfast,2013-11-25,339
Belfast,2013-11-26,176
Belfast,2013-11-27,106
Belfast,2013-11-28,117
Belfast,2013-11-29,187
Belfast,2013-11-30,206
Belfast,2013-12-01,87
Belfast,2013-12-02,397
Belfast,2013-12-03,205
Belfast,2013-12-04,161
Belfast,2013-12-05,208
Belfast,2013-12-06,131
Belfast,2013-12-07,128
Belfast,2013-12-08,88
Belfast,2013-12-09,5
