KeyWord,Datetime,Count
Bryce,2013-09-24,23
Bryce,2013-09-25,67
Bryce,2013-09-26,73
Bryce,2013-09-27,41
Bryce,2013-09-28,68
Bryce,2013-09-29,70
Bryce,2013-09-30,66
Bryce,2013-10-01,35
Bryce,2013-10-02,57
Bryce,2013-10-03,22
Bryce,2013-10-04,33
Bryce,2013-10-05,65
Bryce,2013-10-06,81
Bryce,2013-10-07,66
Bryce,2013-10-08,95
Bryce,2013-10-09,39
Bryce,2013-10-10,102
Bryce,2013-10-11,72
Bryce,2013-10-12,58
Bryce,2013-10-13,55
Bryce,2013-10-14,48
Bryce,2013-10-15,2
Bryce,2013-10-18,42
Bryce,2013-10-19,94
Bryce,2013-10-20,41
Bryce,2013-10-21,53
Bryce,2013-10-22,48
Bryce,2013-10-23,52
Bryce,2013-10-24,7
Bryce,2013-10-25,45
Bryce,2013-10-26,43
Bryce,2013-10-27,78
Bryce,2013-10-28,44
Bryce,2013-10-29,34
Bryce,2013-10-30,36
Bryce,2013-10-31,63
Bryce,2013-11-01,43
Bryce,2013-11-02,38
Bryce,2013-11-03,34
Bryce,2013-11-04,31
Bryce,2013-11-05,13
Bryce,2013-11-06,57
Bryce,2013-11-07,99
Bryce,2013-11-08,252
Bryce,2013-11-09,50
Bryce,2013-11-10,48
Bryce,2013-11-11,31
Bryce,2013-11-12,46
Bryce,2013-11-13,72
Bryce,2013-11-14,88
Bryce,2013-11-15,29
Bryce,2013-11-16,60
Bryce,2013-11-17,46
Bryce,2013-11-18,54
Bryce,2013-11-19,48
Bryce,2013-11-20,96
Bryce,2013-11-22,43
Bryce,2013-11-23,110
Bryce,2013-11-24,80
Bryce,2013-11-25,56
Bryce,2013-11-26,56
Bryce,2013-11-27,21
Bryce,2013-11-28,58
Bryce,2013-11-29,279
Bryce,2013-11-30,156
Bryce,2013-12-01,144
Bryce,2013-12-02,94
Bryce,2013-12-03,29
Bryce,2013-12-04,67
Bryce,2013-12-05,55
Bryce,2013-12-06,78
Bryce,2013-12-07,32
Bryce,2013-12-08,137
Bryce,2013-12-09,20
