KeyWord,Datetime,Count
Derry,2013-09-24,32
Derry,2013-09-25,24
Derry,2013-09-26,20
Derry,2013-09-27,16
Derry,2013-09-28,30
Derry,2013-09-29,16
Derry,2013-09-30,43
Derry,2013-10-01,3
Derry,2013-10-02,15
Derry,2013-10-03,9
Derry,2013-10-04,15
Derry,2013-10-05,31
Derry,2013-10-06,18
Derry,2013-10-07,36
Derry,2013-10-08,23
Derry,2013-10-09,19
Derry,2013-10-10,32
Derry,2013-10-11,67
Derry,2013-10-12,25
Derry,2013-10-13,28
Derry,2013-10-14,33
Derry,2013-10-18,17
Derry,2013-10-19,21
Derry,2013-10-20,24
Derry,2013-10-21,16
Derry,2013-10-22,34
Derry,2013-10-23,25
Derry,2013-10-24,1
Derry,2013-10-25,26
Derry,2013-10-26,49
Derry,2013-10-27,38
Derry,2013-10-28,22
Derry,2013-10-29,22
Derry,2013-10-30,58
Derry,2013-10-31,32
Derry,2013-11-01,35
Derry,2013-11-02,16
Derry,2013-11-03,18
Derry,2013-11-04,23
Derry,2013-11-05,8
Derry,2013-11-06,165
Derry,2013-11-07,48
Derry,2013-11-08,21
Derry,2013-11-09,5
Derry,2013-11-10,15
Derry,2013-11-11,10
Derry,2013-11-12,82
Derry,2013-11-13,179
Derry,2013-11-14,120
Derry,2013-11-15,18
Derry,2013-11-16,18
Derry,2013-11-17,8
Derry,2013-11-18,20
Derry,2013-11-19,60
Derry,2013-11-20,88
Derry,2013-11-22,8
Derry,2013-11-23,22
Derry,2013-11-24,8
Derry,2013-11-25,22
Derry,2013-11-26,32
Derry,2013-11-27,14
Derry,2013-11-28,46
Derry,2013-11-29,32
Derry,2013-11-30,38
Derry,2013-12-01,23
Derry,2013-12-02,29
Derry,2013-12-03,39
Derry,2013-12-04,22
Derry,2013-12-05,23
Derry,2013-12-06,69
Derry,2013-12-07,33
Derry,2013-12-08,24
Derry,2013-12-09,1
