KeyWord,Datetime,Count
Erie,2013-09-24,12
Erie,2013-09-25,30
Erie,2013-09-26,19
Erie,2013-09-27,26
Erie,2013-09-28,30
Erie,2013-09-29,38
Erie,2013-09-30,24
Erie,2013-10-01,11
Erie,2013-10-02,14
Erie,2013-10-03,8
Erie,2013-10-04,17
Erie,2013-10-05,23
Erie,2013-10-06,22
Erie,2013-10-07,16
Erie,2013-10-08,22
Erie,2013-10-09,11
Erie,2013-10-10,21
Erie,2013-10-11,26
Erie,2013-10-12,41
Erie,2013-10-13,19
Erie,2013-10-14,18
Erie,2013-10-15,3
Erie,2013-10-18,45
Erie,2013-10-19,22
Erie,2013-10-20,16
Erie,2013-10-21,16
Erie,2013-10-22,18
Erie,2013-10-23,12
Erie,2013-10-24,9
Erie,2013-10-25,18
Erie,2013-10-26,23
Erie,2013-10-27,18
Erie,2013-10-28,19
Erie,2013-10-29,20
Erie,2013-10-30,19
Erie,2013-10-31,21
Erie,2013-11-01,24
Erie,2013-11-02,11
Erie,2013-11-03,13
Erie,2013-11-04,15
Erie,2013-11-05,4
Erie,2013-11-06,23
Erie,2013-11-07,21
Erie,2013-11-08,25
Erie,2013-11-09,12
Erie,2013-11-10,15
Erie,2013-11-11,18
Erie,2013-11-12,28
Erie,2013-11-13,15
Erie,2013-11-14,12
Erie,2013-11-15,30
Erie,2013-11-16,13
Erie,2013-11-17,21
Erie,2013-11-18,29
Erie,2013-11-19,22
Erie,2013-11-20,22
Erie,2013-11-22,4
Erie,2013-11-23,32
Erie,2013-11-24,14
Erie,2013-11-25,19
Erie,2013-11-26,29
Erie,2013-11-27,15
Erie,2013-11-28,10
Erie,2013-11-29,8
Erie,2013-11-30,10
Erie,2013-12-01,5
Erie,2013-12-02,8
Erie,2013-12-03,16
Erie,2013-12-04,10
Erie,2013-12-05,24
Erie,2013-12-06,12
Erie,2013-12-07,9
Erie,2013-12-08,10
Erie,2013-12-09,2
