KeyWord,Datetime,Count
Flores,2013-09-24,3
Flores,2013-09-25,12
Flores,2013-09-26,15
Flores,2013-09-27,14
Flores,2013-09-28,15
Flores,2013-09-29,18
Flores,2013-09-30,18
Flores,2013-10-01,8
Flores,2013-10-02,10
Flores,2013-10-03,1
Flores,2013-10-04,30
Flores,2013-10-05,33
Flores,2013-10-06,11
Flores,2013-10-07,21
Flores,2013-10-08,18
Flores,2013-10-09,6
Flores,2013-10-10,19
Flores,2013-10-11,54
Flores,2013-10-12,48
Flores,2013-10-13,13
Flores,2013-10-14,7
Flores,2013-10-18,5
Flores,2013-10-19,16
Flores,2013-10-20,12
Flores,2013-10-21,14
Flores,2013-10-22,101
Flores,2013-10-23,13
Flores,2013-10-25,30
Flores,2013-10-26,52
Flores,2013-10-27,37
Flores,2013-10-28,28
Flores,2013-10-29,33
Flores,2013-10-30,11
Flores,2013-10-31,16
Flores,2013-11-01,20
Flores,2013-11-02,16
Flores,2013-11-03,12
Flores,2013-11-04,12
Flores,2013-11-05,4
Flores,2013-11-06,10
Flores,2013-11-07,26
Flores,2013-11-08,18
Flores,2013-11-09,13
Flores,2013-11-10,20
Flores,2013-11-11,11
Flores,2013-11-12,29
Flores,2013-11-13,23
Flores,2013-11-14,13
Flores,2013-11-15,7
Flores,2013-11-16,8
Flores,2013-11-17,8
Flores,2013-11-18,59
Flores,2013-11-19,29
Flores,2013-11-20,38
Flores,2013-11-22,6
Flores,2013-11-23,13
Flores,2013-11-24,85
Flores,2013-11-25,15
Flores,2013-11-26,12
Flores,2013-11-27,3
Flores,2013-11-28,67
Flores,2013-11-29,18
Flores,2013-11-30,20
Flores,2013-12-01,5
Flores,2013-12-02,12
Flores,2013-12-03,9
Flores,2013-12-04,57
Flores,2013-12-05,18
Flores,2013-12-06,30
Flores,2013-12-07,14
Flores,2013-12-08,16
Flores,2013-12-09,6
