KeyWord,Datetime,Count
Manila,2013-09-24,19
Manila,2013-09-25,312
Manila,2013-09-26,212
Manila,2013-09-27,182
Manila,2013-09-28,145
Manila,2013-09-29,98
Manila,2013-09-30,85
Manila,2013-10-01,39
Manila,2013-10-02,89
Manila,2013-10-03,52
Manila,2013-10-04,39
Manila,2013-10-05,101
Manila,2013-10-06,135
Manila,2013-10-07,142
Manila,2013-10-08,802
Manila,2013-10-09,130
Manila,2013-10-10,251
Manila,2013-10-11,208
Manila,2013-10-12,118
Manila,2013-10-13,343
Manila,2013-10-14,219
Manila,2013-10-15,2
Manila,2013-10-18,74
Manila,2013-10-19,60
Manila,2013-10-20,98
Manila,2013-10-21,182
Manila,2013-10-22,204
Manila,2013-10-23,317
Manila,2013-10-24,144
Manila,2013-10-25,635
Manila,2013-10-26,808
Manila,2013-10-27,615
Manila,2013-10-28,617
Manila,2013-10-29,378
Manila,2013-10-30,249
Manila,2013-10-31,177
Manila,2013-11-01,311
Manila,2013-11-02,528
Manila,2013-11-03,682
Manila,2013-11-04,483
Manila,2013-11-05,13
Manila,2013-11-06,400
Manila,2013-11-07,379
Manila,2013-11-08,453
Manila,2013-11-09,189
Manila,2013-11-10,132
Manila,2013-11-11,152
Manila,2013-11-12,329
Manila,2013-11-13,354
Manila,2013-11-14,104
Manila,2013-11-15,83
Manila,2013-11-16,77
Manila,2013-11-17,102
Manila,2013-11-18,158
Manila,2013-11-19,154
Manila,2013-11-20,188
Manila,2013-11-22,16
Manila,2013-11-23,310
Manila,2013-11-24,161
Manila,2013-11-25,185
Manila,2013-11-26,80
Manila,2013-11-27,45
Manila,2013-11-28,66
Manila,2013-11-29,161
Manila,2013-11-30,55
Manila,2013-12-01,41
Manila,2013-12-02,106
Manila,2013-12-03,88
Manila,2013-12-04,80
Manila,2013-12-05,55
Manila,2013-12-06,65
Manila,2013-12-07,109
Manila,2013-12-08,46
Manila,2013-12-09,21
