KeyWord,Datetime,Count
Nan,2013-09-24,8
Nan,2013-09-25,28
Nan,2013-09-26,31
Nan,2013-09-27,37
Nan,2013-09-28,46
Nan,2013-09-29,39
Nan,2013-09-30,20
Nan,2013-10-01,12
Nan,2013-10-02,19
Nan,2013-10-03,8
Nan,2013-10-04,22
Nan,2013-10-05,24
Nan,2013-10-06,33
Nan,2013-10-07,54
Nan,2013-10-08,26
Nan,2013-10-09,18
Nan,2013-10-10,22
Nan,2013-10-11,32
Nan,2013-10-12,35
Nan,2013-10-13,45
Nan,2013-10-14,38
Nan,2013-10-15,2
Nan,2013-10-18,23
Nan,2013-10-19,29
Nan,2013-10-20,45
Nan,2013-10-21,33
Nan,2013-10-22,54
Nan,2013-10-23,252
Nan,2013-10-24,10
Nan,2013-10-25,36
Nan,2013-10-26,38
Nan,2013-10-27,29
Nan,2013-10-28,27
Nan,2013-10-29,28
Nan,2013-10-30,45
Nan,2013-10-31,29
Nan,2013-11-01,13
Nan,2013-11-02,12344
Nan,2013-11-03,5774
Nan,2013-11-04,1746
Nan,2013-11-05,238
Nan,2013-11-06,580
Nan,2013-11-07,622
Nan,2013-11-08,580
Nan,2013-11-09,521
Nan,2013-11-10,249
Nan,2013-11-11,188
Nan,2013-11-12,207
Nan,2013-11-13,276
Nan,2013-11-14,207
Nan,2013-11-15,120
Nan,2013-11-16,197
Nan,2013-11-17,161
Nan,2013-11-18,188
Nan,2013-11-19,181
Nan,2013-11-20,622
Nan,2013-11-22,47
Nan,2013-11-23,144
Nan,2013-11-24,98
Nan,2013-11-25,103
Nan,2013-11-26,84
Nan,2013-11-27,49
Nan,2013-11-28,64
Nan,2013-11-29,74
Nan,2013-11-30,77
Nan,2013-12-01,61
Nan,2013-12-02,66
Nan,2013-12-03,45
Nan,2013-12-04,61
Nan,2013-12-05,69
Nan,2013-12-06,66
Nan,2013-12-07,83
Nan,2013-12-08,69
Nan,2013-12-09,30
