KeyWord,Datetime,Count
Newquay,2013-09-24,5
Newquay,2013-09-25,6
Newquay,2013-09-26,9
Newquay,2013-09-27,3
Newquay,2013-09-28,8
Newquay,2013-09-29,2
Newquay,2013-09-30,3
Newquay,2013-10-01,7
Newquay,2013-10-02,1
Newquay,2013-10-04,6
Newquay,2013-10-05,3
Newquay,2013-10-06,9
Newquay,2013-10-07,4
Newquay,2013-10-08,11
Newquay,2013-10-09,4
Newquay,2013-10-10,3
Newquay,2013-10-11,5
Newquay,2013-10-12,5
Newquay,2013-10-13,5
Newquay,2013-10-14,12
Newquay,2013-10-18,2
Newquay,2013-10-19,5
Newquay,2013-10-20,6
Newquay,2013-10-21,14
Newquay,2013-10-22,7
Newquay,2013-10-23,6
Newquay,2013-10-25,3
Newquay,2013-10-26,4
Newquay,2013-10-27,13
Newquay,2013-10-28,7
Newquay,2013-10-29,7
Newquay,2013-10-30,8
Newquay,2013-10-31,7
Newquay,2013-11-01,3
Newquay,2013-11-02,5
Newquay,2013-11-03,13
Newquay,2013-11-04,8
Newquay,2013-11-07,2
Newquay,2013-11-08,6
Newquay,2013-11-09,4
Newquay,2013-11-10,3
Newquay,2013-11-11,1
Newquay,2013-11-12,3
Newquay,2013-11-13,7
Newquay,2013-11-14,5
Newquay,2013-11-15,4
Newquay,2013-11-16,4
Newquay,2013-11-17,3
Newquay,2013-11-18,5
Newquay,2013-11-19,7
Newquay,2013-11-20,2
Newquay,2013-11-22,6
Newquay,2013-11-23,6
Newquay,2013-11-24,7
Newquay,2013-11-25,6
Newquay,2013-11-26,8
Newquay,2013-11-27,16
Newquay,2013-11-28,3
Newquay,2013-11-29,7
Newquay,2013-11-30,2
Newquay,2013-12-01,5
Newquay,2013-12-02,5
Newquay,2013-12-03,4
Newquay,2013-12-04,2
Newquay,2013-12-05,2
Newquay,2013-12-06,1
Newquay,2013-12-07,3
Newquay,2013-12-08,7
