KeyWord,Datetime,Count
Quebec,2013-09-24,9
Quebec,2013-09-25,17
Quebec,2013-09-26,26
Quebec,2013-09-27,18
Quebec,2013-09-28,36
Quebec,2013-09-29,23
Quebec,2013-09-30,27
Quebec,2013-10-01,32
Quebec,2013-10-02,21
Quebec,2013-10-03,7
Quebec,2013-10-04,16
Quebec,2013-10-05,29
Quebec,2013-10-06,17
Quebec,2013-10-07,46
Quebec,2013-10-08,35
Quebec,2013-10-09,42
Quebec,2013-10-10,29
Quebec,2013-10-11,30
Quebec,2013-10-12,34
Quebec,2013-10-13,29
Quebec,2013-10-14,44
Quebec,2013-10-18,42
Quebec,2013-10-19,38
Quebec,2013-10-20,24
Quebec,2013-10-21,57
Quebec,2013-10-22,51
Quebec,2013-10-23,59
Quebec,2013-10-24,11
Quebec,2013-10-25,47
Quebec,2013-10-26,41
Quebec,2013-10-27,22
Quebec,2013-10-28,30
Quebec,2013-10-29,42
Quebec,2013-10-30,24
Quebec,2013-10-31,26
Quebec,2013-11-01,12
Quebec,2013-11-02,32
Quebec,2013-11-03,25
Quebec,2013-11-04,21
Quebec,2013-11-05,7
Quebec,2013-11-06,17
Quebec,2013-11-07,21
Quebec,2013-11-08,18
Quebec,2013-11-09,15
Quebec,2013-11-10,13
Quebec,2013-11-11,17
Quebec,2013-11-12,43
Quebec,2013-11-13,38
Quebec,2013-11-14,210
Quebec,2013-11-15,42
Quebec,2013-11-16,46
Quebec,2013-11-17,257
Quebec,2013-11-18,181
Quebec,2013-11-19,473
Quebec,2013-11-20,376
Quebec,2013-11-22,14
Quebec,2013-11-23,42
Quebec,2013-11-24,46
Quebec,2013-11-25,30
Quebec,2013-11-26,33
Quebec,2013-11-27,54
Quebec,2013-11-28,28
Quebec,2013-11-29,48
Quebec,2013-11-30,34
Quebec,2013-12-01,29
Quebec,2013-12-02,19
Quebec,2013-12-03,29
Quebec,2013-12-04,44
Quebec,2013-12-05,30
Quebec,2013-12-06,18
Quebec,2013-12-07,24
Quebec,2013-12-08,24
Quebec,2013-12-09,13
