KeyWord,Datetime,Count
Reunion,2013-09-24,1
Reunion,2013-09-25,5
Reunion,2013-09-26,4
Reunion,2013-09-27,4
Reunion,2013-09-28,2
Reunion,2013-09-29,3
Reunion,2013-09-30,2
Reunion,2013-10-01,4
Reunion,2013-10-02,4
Reunion,2013-10-04,7
Reunion,2013-10-05,1
Reunion,2013-10-06,2
Reunion,2013-10-07,1
Reunion,2013-10-08,2
Reunion,2013-10-09,1
Reunion,2013-10-10,11
Reunion,2013-10-11,12
Reunion,2013-10-12,18
Reunion,2013-10-13,3
Reunion,2013-10-14,7
Reunion,2013-10-19,2
Reunion,2013-10-20,4
Reunion,2013-10-21,1
Reunion,2013-10-22,3
Reunion,2013-10-23,3
Reunion,2013-10-24,2
Reunion,2013-10-25,5
Reunion,2013-10-26,3
Reunion,2013-10-27,3
Reunion,2013-10-28,5
Reunion,2013-10-30,7
Reunion,2013-10-31,1
Reunion,2013-11-01,3
Reunion,2013-11-02,3
Reunion,2013-11-03,2
Reunion,2013-11-05,4
Reunion,2013-11-07,9
Reunion,2013-11-08,1
Reunion,2013-11-09,2
Reunion,2013-11-10,6
Reunion,2013-11-11,1
Reunion,2013-11-12,1
Reunion,2013-11-13,5
Reunion,2013-11-14,6
Reunion,2013-11-15,1
Reunion,2013-11-16,2
Reunion,2013-11-17,3
Reunion,2013-11-18,4
Reunion,2013-11-19,4
Reunion,2013-11-20,2
Reunion,2013-11-23,1
Reunion,2013-11-24,2
Reunion,2013-11-25,2
Reunion,2013-11-26,4
Reunion,2013-11-27,1
Reunion,2013-11-28,3
Reunion,2013-11-29,1
Reunion,2013-12-01,2
Reunion,2013-12-02,14
Reunion,2013-12-04,3
Reunion,2013-12-05,1
Reunion,2013-12-06,1
Reunion,2013-12-07,2
Reunion,2013-12-08,1
Reunion,2013-12-09,1
