KeyWord,Datetime,Count
Santander,2013-09-24,2
Santander,2013-09-25,2
Santander,2013-09-26,5
Santander,2013-09-27,1
Santander,2013-09-28,2
Santander,2013-09-29,3
Santander,2013-09-30,6
Santander,2013-10-01,2
Santander,2013-10-02,6
Santander,2013-10-03,2
Santander,2013-10-04,1
Santander,2013-10-05,3
Santander,2013-10-06,2
Santander,2013-10-07,8
Santander,2013-10-08,15
Santander,2013-10-09,7
Santander,2013-10-10,3
Santander,2013-10-11,3
Santander,2013-10-12,1
Santander,2013-10-18,4
Santander,2013-10-19,2
Santander,2013-10-20,6
Santander,2013-10-21,8
Santander,2013-10-22,4
Santander,2013-10-23,4
Santander,2013-10-24,5
Santander,2013-10-25,3
Santander,2013-10-26,9
Santander,2013-10-27,3
Santander,2013-10-29,6
Santander,2013-10-30,1
Santander,2013-10-31,4
Santander,2013-11-01,2
Santander,2013-11-02,4
Santander,2013-11-03,1
Santander,2013-11-04,2
Santander,2013-11-05,3
Santander,2013-11-06,1
Santander,2013-11-07,13
Santander,2013-11-08,3
Santander,2013-11-09,2
Santander,2013-11-10,2
Santander,2013-11-11,19
Santander,2013-11-12,3
Santander,2013-11-13,8
Santander,2013-11-14,4
Santander,2013-11-15,5
Santander,2013-11-16,12
Santander,2013-11-17,2
Santander,2013-11-18,3
Santander,2013-11-19,1
Santander,2013-11-20,6
Santander,2013-11-23,3
Santander,2013-11-24,1
Santander,2013-11-26,3
Santander,2013-11-27,2
Santander,2013-11-28,7
Santander,2013-11-29,11
Santander,2013-11-30,7
Santander,2013-12-01,3
Santander,2013-12-02,5
Santander,2013-12-03,4
Santander,2013-12-04,3
Santander,2013-12-05,11
Santander,2013-12-06,6
Santander,2013-12-08,1
