KeyWord,Datetime,Count
Sofia,2013-09-24,39
Sofia,2013-09-25,56
Sofia,2013-09-26,48
Sofia,2013-09-27,44
Sofia,2013-09-28,45
Sofia,2013-09-29,129
Sofia,2013-09-30,122
Sofia,2013-10-01,167
Sofia,2013-10-02,110
Sofia,2013-10-03,53
Sofia,2013-10-04,44
Sofia,2013-10-05,46
Sofia,2013-10-06,68
Sofia,2013-10-07,53
Sofia,2013-10-08,83
Sofia,2013-10-09,221
Sofia,2013-10-10,332
Sofia,2013-10-11,241
Sofia,2013-10-12,66
Sofia,2013-10-13,62
Sofia,2013-10-14,50
Sofia,2013-10-15,2
Sofia,2013-10-18,97
Sofia,2013-10-19,73
Sofia,2013-10-20,86
Sofia,2013-10-21,49
Sofia,2013-10-22,49
Sofia,2013-10-23,41
Sofia,2013-10-24,21
Sofia,2013-10-25,92
Sofia,2013-10-26,72
Sofia,2013-10-27,110
Sofia,2013-10-28,79
Sofia,2013-10-29,115
Sofia,2013-10-30,74
Sofia,2013-10-31,74
Sofia,2013-11-01,74
Sofia,2013-11-02,42
Sofia,2013-11-03,56
Sofia,2013-11-04,278
Sofia,2013-11-05,22
Sofia,2013-11-06,105
Sofia,2013-11-07,80
Sofia,2013-11-08,129
Sofia,2013-11-09,81
Sofia,2013-11-10,72
Sofia,2013-11-11,69
Sofia,2013-11-12,82
Sofia,2013-11-13,96
Sofia,2013-11-14,57
Sofia,2013-11-15,45
Sofia,2013-11-16,67
Sofia,2013-11-17,66
Sofia,2013-11-18,60
Sofia,2013-11-19,100
Sofia,2013-11-20,110
Sofia,2013-11-22,13
Sofia,2013-11-23,39
Sofia,2013-11-24,49
Sofia,2013-11-25,86
Sofia,2013-11-26,69
Sofia,2013-11-27,34
Sofia,2013-11-28,41
Sofia,2013-11-29,64
Sofia,2013-11-30,60
Sofia,2013-12-01,35
Sofia,2013-12-02,57
Sofia,2013-12-03,29
Sofia,2013-12-04,41
Sofia,2013-12-05,35
Sofia,2013-12-06,100
Sofia,2013-12-07,82
Sofia,2013-12-08,74
Sofia,2013-12-09,15
