KeyWord,Datetime,Count
Valdosta,2013-09-24,5
Valdosta,2013-09-25,7
Valdosta,2013-09-26,5
Valdosta,2013-09-27,25
Valdosta,2013-09-28,12
Valdosta,2013-09-29,6
Valdosta,2013-09-30,15
Valdosta,2013-10-01,6
Valdosta,2013-10-02,2
Valdosta,2013-10-04,1
Valdosta,2013-10-05,11
Valdosta,2013-10-06,3
Valdosta,2013-10-07,18
Valdosta,2013-10-08,4
Valdosta,2013-10-09,2
Valdosta,2013-10-10,8
Valdosta,2013-10-11,14
Valdosta,2013-10-12,43
Valdosta,2013-10-13,5
Valdosta,2013-10-14,9
Valdosta,2013-10-15,2
Valdosta,2013-10-18,8
Valdosta,2013-10-19,3
Valdosta,2013-10-20,3
Valdosta,2013-10-21,2
Valdosta,2013-10-22,12
Valdosta,2013-10-23,2
Valdosta,2013-10-25,6
Valdosta,2013-10-26,2
Valdosta,2013-10-28,5
Valdosta,2013-10-29,5
Valdosta,2013-10-30,8
Valdosta,2013-10-31,6
Valdosta,2013-11-01,4
Valdosta,2013-11-02,3
Valdosta,2013-11-03,1
Valdosta,2013-11-04,3
Valdosta,2013-11-05,5
Valdosta,2013-11-06,2
Valdosta,2013-11-07,9
Valdosta,2013-11-08,5
Valdosta,2013-11-09,17
Valdosta,2013-11-10,5
Valdosta,2013-11-11,4
Valdosta,2013-11-12,41
Valdosta,2013-11-13,17
Valdosta,2013-11-14,8
Valdosta,2013-11-15,4
Valdosta,2013-11-16,8
Valdosta,2013-11-17,2
Valdosta,2013-11-19,33
Valdosta,2013-11-20,22
Valdosta,2013-11-23,2
Valdosta,2013-11-24,2
Valdosta,2013-11-25,5
Valdosta,2013-11-26,3
Valdosta,2013-11-27,2
Valdosta,2013-11-28,1
Valdosta,2013-12-02,2
Valdosta,2013-12-03,3
Valdosta,2013-12-04,1
Valdosta,2013-12-05,3
Valdosta,2013-12-06,5
Valdosta,2013-12-07,2
Valdosta,2013-12-08,2
Valdosta,2013-12-09,1
