KeyWord,Datetime,Count
Winston-Salem,2013-09-24,2
Winston-Salem,2013-09-25,1
Winston-Salem,2013-09-26,3
Winston-Salem,2013-09-29,2
Winston-Salem,2013-09-30,1
Winston-Salem,2013-10-01,1
Winston-Salem,2013-10-02,4
Winston-Salem,2013-10-03,3
Winston-Salem,2013-10-04,1
Winston-Salem,2013-10-05,2
Winston-Salem,2013-10-06,1
Winston-Salem,2013-10-07,4
Winston-Salem,2013-10-08,4
Winston-Salem,2013-10-10,6
Winston-Salem,2013-10-11,7
Winston-Salem,2013-10-12,2
Winston-Salem,2013-10-13,1
Winston-Salem,2013-10-14,1
Winston-Salem,2013-10-18,12
Winston-Salem,2013-10-19,3
Winston-Salem,2013-10-20,7
Winston-Salem,2013-10-21,1
Winston-Salem,2013-10-22,6
Winston-Salem,2013-10-23,4
Winston-Salem,2013-10-24,1
Winston-Salem,2013-10-25,1
Winston-Salem,2013-10-27,4
Winston-Salem,2013-10-28,7
Winston-Salem,2013-10-29,3
Winston-Salem,2013-10-31,4
Winston-Salem,2013-11-03,2
Winston-Salem,2013-11-04,2
Winston-Salem,2013-11-06,5
Winston-Salem,2013-11-07,2
Winston-Salem,2013-11-08,2
Winston-Salem,2013-11-09,4
Winston-Salem,2013-11-10,1
Winston-Salem,2013-11-11,1
Winston-Salem,2013-11-12,3
Winston-Salem,2013-11-13,6
Winston-Salem,2013-11-14,5
Winston-Salem,2013-11-15,12
Winston-Salem,2013-11-16,10
Winston-Salem,2013-11-17,3
Winston-Salem,2013-11-18,3
Winston-Salem,2013-11-19,4
Winston-Salem,2013-11-20,16
Winston-Salem,2013-11-22,4
Winston-Salem,2013-11-23,2
Winston-Salem,2013-11-25,1
Winston-Salem,2013-11-26,4
Winston-Salem,2013-11-27,2
Winston-Salem,2013-11-29,3
Winston-Salem,2013-11-30,2
Winston-Salem,2013-12-01,4
Winston-Salem,2013-12-02,1
Winston-Salem,2013-12-03,3
Winston-Salem,2013-12-04,1
Winston-Salem,2013-12-05,4
Winston-Salem,2013-12-06,4
Winston-Salem,2013-12-07,6
