KeyWord,Datetime,Count
road,2013-09-24,31
road,2013-09-25,108
road,2013-09-26,111
road,2013-09-27,115
road,2013-09-28,145
road,2013-09-29,246
road,2013-09-30,126
road,2013-10-01,73
road,2013-10-02,81
road,2013-10-03,35
road,2013-10-04,167
road,2013-10-05,137
road,2013-10-06,94
road,2013-10-07,88
road,2013-10-08,74
road,2013-10-09,76
road,2013-10-10,92
road,2013-10-11,117
road,2013-10-12,93
road,2013-10-13,75
road,2013-10-14,99
road,2013-10-15,2
road,2013-10-18,84
road,2013-10-19,75
road,2013-10-20,202
road,2013-10-21,131
road,2013-10-22,110
road,2013-10-23,134
road,2013-10-24,22
road,2013-10-25,111
road,2013-10-26,104
road,2013-10-27,52
road,2013-10-28,282
road,2013-10-29,281
road,2013-10-30,83
road,2013-10-31,77
road,2013-11-01,53
road,2013-11-02,76
road,2013-11-03,186
road,2013-11-04,141
road,2013-11-05,29
road,2013-11-06,452
road,2013-11-07,167
road,2013-11-08,121
road,2013-11-09,153
road,2013-11-10,111
road,2013-11-11,115
road,2013-11-12,116
road,2013-11-13,112
road,2013-11-14,74
road,2013-11-15,47
road,2013-11-16,196
road,2013-11-17,102
road,2013-11-18,133
road,2013-11-19,231
road,2013-11-20,384
road,2013-11-22,58
road,2013-11-23,82
road,2013-11-24,199
road,2013-11-25,100
road,2013-11-26,84
road,2013-11-27,75
road,2013-11-28,212
road,2013-11-29,173
road,2013-11-30,109
road,2013-12-01,129
road,2013-12-02,212
road,2013-12-03,90
road,2013-12-04,170
road,2013-12-05,237
road,2013-12-06,164
road,2013-12-07,147
road,2013-12-08,74
road,2013-12-09,26
