KeyWord,Datetime,Count
travel,2013-09-24,17
travel,2013-09-25,77
travel,2013-09-26,38
travel,2013-09-27,32
travel,2013-09-28,45
travel,2013-09-29,79
travel,2013-09-30,102
travel,2013-10-01,20
travel,2013-10-02,49
travel,2013-10-03,20
travel,2013-10-04,31
travel,2013-10-05,69
travel,2013-10-06,36
travel,2013-10-07,41
travel,2013-10-08,40
travel,2013-10-09,65
travel,2013-10-10,60
travel,2013-10-11,93
travel,2013-10-12,161
travel,2013-10-13,51
travel,2013-10-14,73
travel,2013-10-15,1
travel,2013-10-18,26
travel,2013-10-19,26
travel,2013-10-20,146
travel,2013-10-21,140
travel,2013-10-22,60
travel,2013-10-23,43
travel,2013-10-24,7
travel,2013-10-25,36
travel,2013-10-26,60
travel,2013-10-27,29
travel,2013-10-28,38
travel,2013-10-29,45
travel,2013-10-30,33
travel,2013-10-31,33
travel,2013-11-01,36
travel,2013-11-02,31
travel,2013-11-03,20
travel,2013-11-04,30
travel,2013-11-05,9
travel,2013-11-06,31
travel,2013-11-07,27
travel,2013-11-08,53
travel,2013-11-09,27
travel,2013-11-10,34
travel,2013-11-11,37
travel,2013-11-12,37
travel,2013-11-13,47
travel,2013-11-14,41
travel,2013-11-15,71
travel,2013-11-16,94
travel,2013-11-17,23
travel,2013-11-18,161
travel,2013-11-19,544
travel,2013-11-20,98
travel,2013-11-22,8
travel,2013-11-23,163
travel,2013-11-24,38
travel,2013-11-25,66
travel,2013-11-26,42
travel,2013-11-27,76
travel,2013-11-28,30
travel,2013-11-29,28
travel,2013-11-30,27
travel,2013-12-01,23
travel,2013-12-02,20
travel,2013-12-03,49
travel,2013-12-04,30
travel,2013-12-05,64
travel,2013-12-06,89
travel,2013-12-07,83
travel,2013-12-08,88
travel,2013-12-09,28
