Date,Count,Unnamed: 0.1
2013-09-24,6,8.0
2013-09-25,4,7.0
2013-09-26,3,
2013-09-27,11,
2013-09-28,13,
2013-09-29,4,
2013-09-30,7,
2013-10-01,1,
2013-10-02,3,
2013-10-04,1,3.0
2013-10-05,12,2.0
2013-10-06,3,1.0
2013-10-07,1,0.0
2013-10-08,6,6.0
2013-10-09,11,5.0
2013-10-10,2,4.0
2013-10-11,2,
2013-10-12,2,
2013-10-13,2,
2013-10-14,7,
2013-10-15,1,
2013-10-18,4,
2013-10-19,1,
2013-10-20,3,
2013-10-21,11,
2013-10-22,14,
2013-10-23,4,
2013-10-25,1,
2013-10-26,2,
2013-10-27,4,
2013-10-28,2,
2013-10-29,3,
2013-10-30,2,
2013-11-01,1,
2013-11-02,1,
2013-11-03,4,
2013-11-05,4,
2013-11-06,1,
2013-11-07,3,
2013-11-09,2,
2013-11-10,1,
2013-11-11,1,
2013-11-12,9,
2013-11-13,2,
2013-11-14,3,
2013-11-16,3,
2013-11-17,5,
2013-11-19,2,
2013-11-20,5,
2013-11-23,1,
2013-11-24,1,
2013-11-25,2,
2013-11-26,3,
2013-11-28,12,
2013-11-29,12,
2013-11-30,4,
2013-12-01,4,
2013-12-02,5,
2013-12-03,2,
2013-12-05,2,
2013-12-07,4,
2013-12-09,4,
2013-12-10,2,
2013-12-12,10,
2013-12-13,6,
2013-12-14,9,
2013-12-15,3,
2013-12-16,3,
2013-12-17,5,
2013-12-18,4,
2013-12-19,5,
2013-12-23,2,
2013-12-24,3,
2013-12-25,4,
2013-12-26,8,
2013-12-27,2,
2014-01-03,2,
2014-01-04,6,
2014-01-05,22,
2014-01-06,8,
2014-01-07,5,
2014-01-08,5,
2014-01-09,4,
2014-01-10,5,
2014-01-11,2,
2014-01-12,3,
2014-01-13,1,
2014-01-14,3,
2014-01-15,3,
2014-01-16,7,
2014-01-21,5,
2014-01-22,1,
2014-01-23,10,
2014-01-24,6,
2014-01-25,5,
2014-01-28,2,
2014-01-30,5,
2014-01-31,3,
2014-02-01,2,
2014-02-02,3,
2014-02-03,7,
2014-02-04,4,
2014-02-05,3,
2014-02-06,9,
2014-02-07,8,
2014-02-08,3,
2014-02-10,2,
2014-02-11,1,
2014-02-12,2,
2014-02-13,4,
2014-02-15,2,
2014-02-16,12,
2014-02-20,2,
2014-02-21,13,
2014-02-22,19,
2014-02-23,15,
2014-02-24,42,
2014-02-25,54,
2014-02-26,8,
2014-02-27,8,
2014-03-01,80,
2014-03-02,76,
2014-03-03,4,
2014-03-04,6,
2014-03-05,4,
2014-03-07,10,
2014-03-10,4,
2014-03-12,4,
2014-03-13,4,
2014-03-14,10,
2014-03-15,2,
2014-03-16,4,
2014-03-17,8,
2014-03-21,2,
2014-03-22,8,
2014-03-23,2,
2014-03-24,2,
2014-03-25,2,
2014-03-26,2,
2014-03-27,1,
2014-03-28,2,
2014-03-29,2,
2014-03-31,4,
2014-04-01,2,
2014-04-02,1,
2014-04-03,3,
2014-04-04,4,
2014-04-05,2,
2014-04-06,2,
2014-04-09,1,
2014-04-10,3,
2014-04-11,6,
2014-04-14,3,
2014-04-16,21,
2014-04-17,16,
2014-04-18,104,
2014-04-19,8,
2014-04-23,15,
2014-04-24,14,
2014-04-25,32,
2014-04-26,82,
2014-04-27,66,
2014-04-28,14,
2014-04-29,16,
2014-04-30,9,
2014-05-01,22,
2014-05-02,14,
2014-05-03,15,
2014-05-04,21,
2014-05-05,53,
2014-05-06,19,
2014-05-07,15,
2014-05-08,18,
2014-05-09,33,
2014-05-13,2,
2014-05-22,6,
2014-05-23,4,
2014-05-24,16,
2014-05-25,10,
2014-05-26,2,
2014-05-27,17,
2014-05-28,6,
2014-05-29,12,
2014-05-30,2,
2014-05-31,4,
2014-06-01,10,
2014-06-02,17,
2014-06-03,6,
2014-06-04,4,
2014-06-05,4,
2014-06-06,14,
2014-06-07,1,
2014-06-08,9,
2014-06-09,21,
2014-06-10,30,
2014-06-11,21,
2014-06-12,33,
2014-06-13,17,
2014-06-14,16,
2014-06-15,10,
2014-06-16,6,
2014-09-15,34,
2014-09-16,8,
2014-09-17,28,
2014-09-18,10,
2014-09-19,12,
2014-09-20,1,
2014-09-23,5,
2014-09-24,3,
2014-09-25,22,
2014-09-26,98,
2014-09-27,53,
2014-09-28,10,
2014-09-29,86,
2014-09-30,34,
2014-10-01,40,
2014-10-07,8,
2014-10-08,24,
2014-10-09,14,
