Date,Count,Unnamed: 0.1
2013-09-25,15,8.0
2013-09-26,6,
2013-09-27,5,
2013-09-28,5,
2013-09-29,25,
2013-09-30,9,
2013-10-01,3,
2013-10-02,4,
2013-10-03,5,
2013-10-04,5,3.0
2013-10-05,14,2.0
2013-10-06,13,1.0
2013-10-07,23,0.0
2013-10-08,19,7.0
2013-10-09,15,6.0
2013-10-10,21,4.0
2013-10-11,15,5.0
2013-10-12,31,
2013-10-13,7,
2013-10-14,13,
2013-10-18,4,
2013-10-19,4,
2013-10-20,7,
2013-10-21,8,
2013-10-22,7,
2013-10-23,8,
2013-10-24,2,
2013-10-25,10,
2013-10-26,213,
2013-10-27,9,
2013-10-28,90,
2013-10-29,4,
2013-10-30,4,
2013-10-31,27,
2013-11-01,40,
2013-11-02,10,
2013-11-03,15,
2013-11-04,20,
2013-11-05,1,
2013-11-06,4,
2013-11-07,4,
2013-11-08,4,
2013-11-09,4,
2013-11-10,4,
2013-11-11,9,
2013-11-12,5,
2013-11-13,12,
2013-11-14,16,
2013-11-15,64,
2013-11-16,16,
2013-11-17,16,
2013-11-18,1,
2013-11-19,2,
2013-11-20,5,
2013-11-22,2,
2013-11-23,7,
2013-11-24,9,
2013-11-25,10,
2013-11-26,5,
2013-11-27,6,
2013-11-28,48,
2013-11-29,20,
2013-11-30,15,
2013-12-01,1,
2013-12-02,2,
2013-12-03,10,
2013-12-04,3,
2013-12-05,20,
2013-12-06,12,
2013-12-07,19,
2013-12-08,5,
2013-12-09,21,
2013-12-10,5,
2013-12-11,4,
2013-12-12,20,
2013-12-13,16,
2013-12-14,50,
2013-12-15,45,
2013-12-16,35,
2013-12-17,18,
2013-12-18,12,
2013-12-19,7,
2013-12-23,50,
2013-12-24,6,
2013-12-25,6,
2013-12-26,6,
2013-12-27,2,
2014-01-03,1,
2014-01-04,4,
2014-01-05,4,
2014-01-06,3,
2014-01-07,3,
2014-01-08,2,
2014-01-09,5,
2014-01-10,1,
2014-01-11,9,
2014-01-12,6,
2014-01-13,5,
2014-01-14,15,
2014-01-15,9,
2014-01-20,4,
2014-01-21,10,
2014-01-22,4,
2014-01-23,4,
2014-01-24,7,
2014-01-25,5,
2014-01-27,2,
2014-01-28,6,
2014-01-29,3,
2014-01-30,5,
2014-01-31,5,
2014-02-01,4,
2014-02-02,4,
2014-02-03,3,
2014-02-04,6,
2014-02-05,7,
2014-02-06,21,
2014-02-07,31,
2014-02-08,81,
2014-02-10,13,
2014-02-11,16,
2014-02-12,11,
2014-02-13,10,
2014-02-14,16,
2014-02-15,14,
2014-02-16,6,
2014-02-17,2,
2014-02-20,7,
2014-02-21,18,
2014-02-22,8,
2014-02-23,64,
2014-02-24,57,
2014-02-25,11,
2014-02-26,8,
2014-02-27,2,
2014-02-28,4,
2014-03-01,14,
2014-03-02,14,
2014-03-03,6,
2014-03-04,12,
2014-03-05,14,
2014-03-06,20,
2014-03-07,2,
2014-03-10,10,
2014-03-11,14,
2014-03-12,14,
2014-03-13,18,
2014-03-14,24,
2014-03-15,12,
2014-03-16,10,
2014-03-17,12,
2014-03-21,4,
2014-03-22,4,
2014-03-23,31,
2014-03-24,11,
2014-03-25,10,
2014-03-26,21,
2014-03-27,16,
2014-03-28,29,
2014-03-29,14,
2014-03-30,7,
2014-03-31,6,
2014-04-01,2,
2014-04-02,8,
2014-04-03,11,
2014-04-04,11,
2014-04-05,13,
2014-04-06,8,
2014-04-08,7,
2014-04-09,6,
2014-04-10,12,
2014-04-11,4,
2014-04-14,30,
2014-04-16,12,
2014-04-17,24,
2014-04-18,19,
2014-04-19,16,
2014-04-23,22,
2014-04-24,35,
2014-04-25,30,
2014-04-26,35,
2014-04-27,22,
2014-04-28,14,
2014-04-29,29,
2014-04-30,30,
2014-05-01,34,
2014-05-02,13,
2014-05-03,46,
2014-05-04,53,
2014-05-05,17,
2014-05-06,16,
2014-05-07,17,
2014-05-08,38,
2014-05-09,14,
2014-05-20,4,
2014-05-22,14,
2014-05-23,25,
2014-05-24,15,
2014-05-25,16,
2014-05-26,16,
2014-05-27,16,
2014-05-28,51,
2014-05-29,15,
2014-05-30,36,
2014-05-31,38,
2014-06-01,33,
2014-06-02,33,
2014-06-03,38,
2014-06-04,16,
2014-06-05,9,
2014-06-06,23,
2014-06-07,30,
2014-06-08,39,
2014-06-09,96,
2014-06-10,90,
2014-06-11,56,
2014-06-12,40,
2014-06-13,46,
2014-06-14,24,
2014-06-15,57,
2014-06-16,5,
2014-06-17,8,
2014-06-18,2,
2014-09-15,27,
2014-09-16,63,
2014-09-17,34,
2014-09-18,32,
2014-09-19,83,
2014-09-20,5,
2014-09-23,59,
2014-09-24,104,
2014-09-25,91,
2014-09-26,156,
2014-09-27,51,
2014-09-28,38,
2014-09-29,37,
2014-09-30,58,
2014-10-01,23,
2014-10-07,35,
2014-10-08,64,
2014-10-09,25,
