Date,Count,Unnamed: 0.1
2013-09-26,4,
2013-09-27,8,
2013-09-28,5,
2013-09-29,1,
2013-09-30,22,
2013-10-02,4,
2013-10-04,1,2.0
2013-10-06,1,1.0
2013-10-07,1,0.0
2013-10-09,1,4.0
2013-10-10,4,3.0
2013-10-11,1,
2013-10-12,13,
2013-10-13,340,
2013-10-14,23,
2013-10-18,1,
2013-10-19,1,
2013-10-20,3,
2013-10-21,2,
2013-10-22,1,
2013-10-23,1,
2013-10-25,2,
2013-10-26,4,
2013-10-27,7,
2013-10-28,4,
2013-10-29,1,
2013-10-31,2,
2013-11-01,1,
2013-11-02,1,
2013-11-03,2,
2013-11-04,2,
2013-11-05,2,
2013-11-07,2,
2013-11-08,2,
2013-11-12,1,
2013-11-13,6,
2013-11-14,1,
2013-11-15,3,
2013-11-16,8,
2013-11-17,3,
2013-11-19,2,
2013-11-20,3,
2013-11-23,2,
2013-11-26,1,
2013-11-27,3,
2013-11-29,2,
2013-11-30,2,
2013-12-01,6,
2013-12-02,2,
2013-12-03,3,
2013-12-05,1,
2013-12-06,2,
2013-12-07,2,
2013-12-09,1,
2013-12-10,1,
2013-12-11,3,
2013-12-12,3,
2013-12-13,3,
2013-12-14,1,
2013-12-15,1,
2013-12-17,2,
2013-12-18,1,
2013-12-20,1,
2013-12-24,3,
2013-12-26,2,
2014-01-03,4,
2014-01-05,3,
2014-01-06,1,
2014-01-07,11,
2014-01-08,3,
2014-01-09,1,
2014-01-11,1,
2014-01-12,16,
2014-01-13,4,
2014-01-14,7,
2014-01-15,3,
2014-01-16,2,
2014-01-20,4,
2014-01-21,7,
2014-01-22,7,
2014-01-23,3,
2014-01-24,3,
2014-01-27,8,
2014-01-28,1,
2014-01-29,2,
2014-01-30,3,
2014-01-31,2,
2014-02-01,3,
2014-02-02,3,
2014-02-03,4,
2014-02-04,1,
2014-02-05,2,
2014-02-06,8,
2014-02-07,10,
2014-02-08,6,
2014-02-10,1,
2014-02-11,6,
2014-02-12,3,
2014-02-13,1,
2014-02-14,1,
2014-02-16,7,
2014-02-17,2,
2014-02-21,6,
2014-02-22,5,
2014-02-23,10,
2014-02-24,8,
2014-02-25,2,
2014-02-26,4,
2014-02-28,2,
2014-03-01,10,
2014-03-02,10,
2014-03-03,12,
2014-03-04,12,
2014-03-05,12,
2014-03-06,8,
2014-03-07,6,
2014-03-09,6,
2014-03-10,12,
2014-03-11,6,
2014-03-12,16,
2014-03-13,14,
2014-03-14,14,
2014-03-15,8,
2014-03-16,4,
2014-03-17,4,
2014-03-18,3,
2014-03-21,1,
2014-03-22,2,
2014-03-23,4,
2014-03-25,3,
2014-03-26,4,
2014-03-27,5,
2014-03-28,8,
2014-03-29,3,
2014-03-30,5,
2014-03-31,9,
2014-04-02,6,
2014-04-03,3,
2014-04-04,3,
2014-04-05,1,
2014-04-06,2,
2014-04-08,4,
2014-04-09,8,
2014-04-10,44,
2014-04-11,4,
2014-04-14,2,
2014-04-16,8,
2014-04-17,8,
2014-04-18,4,
2014-04-23,6,
2014-04-24,10,
2014-04-25,4,
2014-04-26,16,
2014-04-27,12,
2014-04-28,10,
2014-04-29,6,
2014-04-30,6,
2014-05-01,4,
2014-05-02,8,
2014-05-03,4,
2014-05-04,5,
2014-05-05,2,
2014-05-06,6,
2014-05-07,9,
2014-05-08,9,
2014-05-09,2,
2014-05-18,4,
2014-05-22,5,
2014-05-23,4,
2014-05-24,4,
2014-05-25,5,
2014-05-27,3,
2014-05-28,6,
2014-05-30,4,
2014-05-31,1,
2014-06-01,4,
2014-06-02,3,
2014-06-03,5,
2014-06-04,2,
2014-06-05,1,
2014-06-06,8,
2014-06-07,7,
2014-06-08,10,
2014-06-09,10,
2014-06-10,9,
2014-06-11,21,
2014-06-12,6,
2014-06-13,8,
2014-06-14,5,
2014-06-15,4,
2014-09-15,2,
2014-09-16,7,
2014-09-17,10,
2014-09-18,5,
2014-09-19,14,
2014-09-20,2,
2014-09-23,4,
2014-09-24,10,
2014-09-25,5,
2014-09-26,7,
2014-09-27,6,
2014-09-28,6,
2014-09-29,4,
2014-09-30,5,
2014-10-07,5,
2014-10-08,34,
2014-10-09,30,
2014-10-10,593,
2014-10-11,3315,
2014-10-14,11,
2014-10-15,26,
2014-10-16,16,
2014-10-17,26,
2014-10-18,10,
2014-10-19,8,
2014-10-21,6,
2014-10-22,8,
2014-10-24,3,
2014-10-25,10,
2014-10-27,5,
2014-10-28,5,
2014-10-29,4,
