Date,Count,Unnamed: 0.1
2013-09-29,1,
2013-10-07,2,0.0
2013-10-08,1,1.0
2013-10-19,4,
2013-11-07,1,
2013-11-11,1,
2013-11-12,1,
2013-11-14,1,
2013-11-15,1,
2013-11-17,64,
2013-11-18,3,
2013-11-19,1,
2013-11-23,1,
2013-11-26,10,
2013-11-27,32,
2013-11-29,2,
2013-11-30,1,
2013-12-01,1,
2013-12-02,1,
2013-12-03,2,
2013-12-08,1,
2013-12-09,1,
2013-12-10,1,
2013-12-12,1,
2013-12-15,1,
2013-12-18,1,
2013-12-19,1,
2013-12-25,2,
2014-01-05,2,
2014-01-06,1,
2014-01-07,1,
2014-01-14,2,
2014-01-15,66,
2014-01-16,6,
2014-01-29,2,
2014-02-05,2,
2014-02-10,6,
2014-02-11,2,
2014-03-05,4,
2014-03-13,2,
2014-03-27,2,
2014-04-02,226,
2014-04-08,1,
2014-04-26,168,
2014-04-27,312,
2014-04-28,86,
2014-04-29,96,
2014-04-30,2,
2014-05-02,2,
2014-05-04,4,
2014-05-07,2,
2014-05-09,2,
2014-05-23,4,
2014-06-02,2,
2014-06-03,2,
2014-06-04,4,
2014-09-29,2,
2014-09-30,2,
2014-10-07,12,
2014-10-08,4,
2014-10-09,7,
2014-10-10,4,
2014-10-11,4,
2014-10-15,36,
2014-10-16,4,
2014-10-19,10,
2014-10-23,3,
