Date,Count,Unnamed: 0.1
2013-09-24,4,9.0
2013-09-25,11,8.0
2013-09-26,12,
2013-09-27,8,
2013-09-28,12,
2013-09-29,17,
2013-09-30,17,
2013-10-01,4,
2013-10-02,5,
2013-10-03,4,
2013-10-04,15,3.0
2013-10-05,21,2.0
2013-10-06,13,1.0
2013-10-07,8,0.0
2013-10-08,13,7.0
2013-10-09,11,6.0
2013-10-10,11,4.0
2013-10-11,8,5.0
2013-10-12,15,
2013-10-13,6,
2013-10-14,16,
2013-10-18,17,
2013-10-19,36,
2013-10-20,15,
2013-10-21,17,
2013-10-22,11,
2013-10-23,7,
2013-10-24,3,
2013-10-25,50,
2013-10-26,23,
2013-10-27,6,
2013-10-28,25,
2013-10-29,9,
2013-10-30,115,
2013-10-31,16,
2013-11-01,9,
2013-11-02,8,
2013-11-03,23,
2013-11-04,10,
2013-11-05,7,
2013-11-06,18,
2013-11-07,19,
2013-11-08,10,
2013-11-09,16,
2013-11-10,18,
2013-11-11,22,
2013-11-12,18,
2013-11-13,24,
2013-11-14,27,
2013-11-15,21,
2013-11-16,7,
2013-11-17,9,
2013-11-19,7,
2013-11-20,3,
2013-11-22,4,
2013-11-23,12,
2013-11-24,4,
2013-11-25,6,
2013-11-26,13,
2013-11-27,10,
2013-11-28,7,
2013-11-29,13,
2013-11-30,3,
2013-12-01,6,
2013-12-02,3,
2013-12-03,4,
2013-12-04,20,
2013-12-05,9,
2013-12-06,11,
2013-12-07,3,
2013-12-08,17,
2013-12-09,17,
2013-12-10,11,
2013-12-11,12,
2013-12-12,15,
2013-12-13,28,
2013-12-14,10,
2013-12-15,7,
2013-12-16,16,
2013-12-17,12,
2013-12-18,7,
2013-12-19,9,
2013-12-23,5,
2013-12-24,7,
2013-12-25,6,
2013-12-26,6,
2013-12-27,3,
2014-01-03,5,
2014-01-04,12,
2014-01-05,9,
2014-01-06,3,
2014-01-07,9,
2014-01-08,7,
2014-01-09,8,
2014-01-10,12,
2014-01-11,2,
2014-01-13,9,
2014-01-14,5,
2014-01-15,3,
2014-01-16,7,
2014-01-20,5,
2014-01-21,9,
2014-01-22,4,
2014-01-23,8,
2014-01-24,3,
2014-01-27,4,
2014-01-28,14,
2014-01-29,16,
2014-01-30,7,
2014-01-31,8,
2014-02-01,7,
2014-02-02,9,
2014-02-03,12,
2014-02-04,13,
2014-02-05,10,
2014-02-06,6,
2014-02-07,7,
2014-02-08,5,
2014-02-10,15,
2014-02-11,24,
2014-02-12,7,
2014-02-13,18,
2014-02-14,7,
2014-02-15,9,
2014-02-16,11,
2014-02-20,7,
2014-02-21,8,
2014-02-22,13,
2014-02-23,13,
2014-02-24,8,
2014-02-25,8,
2014-02-26,14,
2014-02-28,6,
2014-03-01,14,
2014-03-02,8,
2014-03-03,12,
2014-03-04,10,
2014-03-05,12,
2014-03-06,44,
2014-03-07,8,
2014-03-09,2,
2014-03-10,22,
2014-03-11,24,
2014-03-12,48,
2014-03-13,36,
2014-03-14,14,
2014-03-15,30,
2014-03-16,18,
2014-03-17,12,
2014-03-18,9,
2014-03-21,36,
2014-03-22,37,
2014-03-23,18,
2014-03-24,19,
2014-03-25,35,
2014-03-26,8,
2014-03-27,7,
2014-03-28,18,
2014-03-29,6,
2014-03-30,3,
2014-03-31,2,
2014-04-01,19,
2014-04-02,13,
2014-04-03,8,
2014-04-04,8,
2014-04-05,7,
2014-04-06,5,
2014-04-08,8,
2014-04-09,4,
2014-04-10,125,
2014-04-11,8,
2014-04-14,6,
2014-04-16,9,
2014-04-17,27,
2014-04-18,29,
2014-04-23,22,
2014-04-24,50,
2014-04-25,52,
2014-04-26,67,
2014-04-27,98,
2014-04-28,55,
2014-04-29,65,
2014-04-30,73,
2014-05-01,223,
2014-05-02,58,
2014-05-03,44,
2014-05-04,45,
2014-05-05,91,
2014-05-06,40,
2014-05-07,53,
2014-05-08,46,
2014-05-09,20,
2014-05-14,2,
2014-05-20,7,
2014-05-22,33,
2014-05-23,37,
2014-05-24,30,
2014-05-25,28,
2014-05-26,31,
2014-05-27,38,
2014-05-28,144,
2014-05-29,28,
2014-05-30,29,
2014-05-31,24,
2014-06-01,27,
2014-06-02,23,
2014-06-03,38,
2014-06-04,11,
2014-06-05,8,
2014-06-06,37,
2014-06-07,19,
2014-06-08,21,
2014-06-09,53,
2014-06-10,202,
2014-06-11,74,
2014-06-12,52,
2014-06-13,27,
2014-06-14,16,
2014-06-15,26,
2014-06-16,10,
2014-06-17,1,
2014-06-18,4,
2014-09-15,29,
2014-09-16,30,
2014-09-17,40,
2014-09-18,63,
2014-09-19,39,
2014-09-20,3,
2014-09-23,57,
2014-09-24,44,
2014-09-25,49,
2014-09-26,101,
2014-09-27,72,
2014-09-28,66,
2014-09-29,34,
2014-09-30,49,
2014-10-01,56,
2014-10-07,39,
2014-10-08,35,
2014-10-09,34,
