Date,Count
2013-09-24 00:00:00,43
2013-09-25 00:00:00,84
2013-09-26 00:00:00,82
2013-09-27 00:00:00,108
2013-09-28 00:00:00,140
2013-09-29 00:00:00,121
2013-09-30 00:00:00,128
2013-10-01 00:00:00,83
2013-10-02 00:00:00,154
2013-10-03 00:00:00,117
2013-10-04 00:00:00,80
2013-10-05 00:00:00,111
2013-10-06 00:00:00,144
2013-10-07 00:00:00,81
2013-10-08 00:00:00,152
2013-10-09 00:00:00,81
2013-10-10 00:00:00,277
2013-10-11 00:00:00,186
2013-10-12 00:00:00,259
2013-10-13 00:00:00,91
2013-10-14 00:00:00,98
2013-10-15 00:00:00,98
2013-10-16 00:00:00,99
2013-10-17 00:00:00,100
2013-10-18 00:00:00,101
2013-10-19 00:00:00,114
2013-10-20 00:00:00,179
2013-10-21 00:00:00,180
2013-10-22 00:00:00,181
2013-10-23 00:00:00,115
2013-10-24 00:00:00,30
2013-10-25 00:00:00,507
2013-10-26 00:00:00,126
2013-10-27 00:00:00,137
2013-10-28 00:00:00,216
2013-10-29 00:00:00,184
2013-10-30 00:00:00,141
2013-10-31 00:00:00,156
2013-11-01 00:00:00,142
2013-11-02 00:00:00,171
2013-11-03 00:00:00,200
2013-11-04 00:00:00,217
2013-11-05 00:00:00,65
2013-11-06 00:00:00,294
2013-11-07 00:00:00,293
2013-11-08 00:00:00,1737
2013-11-09 00:00:00,1541
2013-11-10 00:00:00,1593
2013-11-11 00:00:00,2083
2013-11-12 00:00:00,845
2013-11-13 00:00:00,627
2013-11-14 00:00:00,940
2013-11-15 00:00:00,321
2013-11-16 00:00:00,368
2013-11-17 00:00:00,192
2013-11-18 00:00:00,286
2013-11-19 00:00:00,453
2013-11-20 00:00:00,256
2013-11-21 00:00:00,146
2013-11-22 00:00:00,37
2013-11-23 00:00:00,300
2013-11-24 00:00:00,112
2013-11-25 00:00:00,128
2013-11-26 00:00:00,99
2013-11-27 00:00:00,47
2013-11-28 00:00:00,214
2013-11-29 00:00:00,173
2013-11-30 00:00:00,128
2013-12-01 00:00:00,134
2013-12-02 00:00:00,264
2013-12-03 00:00:00,131
2013-12-04 00:00:00,146
2013-12-05 00:00:00,165
2013-12-06 00:00:00,223
2013-12-07 00:00:00,205
2013-12-08 00:00:00,192
2013-12-09 00:00:00,178
2013-12-10 00:00:00,147
2013-12-11 00:00:00,138
2013-12-12 00:00:00,77
2013-12-13 00:00:00,93
2013-12-14 00:00:00,132
2013-12-15 00:00:00,186
2013-12-16 00:00:00,397
2013-12-17 00:00:00,118
2013-12-18 00:00:00,106
2013-12-19 00:00:00,187
2013-12-20 00:00:00,126
2013-12-21 00:00:00,65
2013-12-22 00:00:00,4
2013-12-23 00:00:00,330
2013-12-24 00:00:00,175
2013-12-25 00:00:00,72
2013-12-26 00:00:00,100
2013-12-27 00:00:00,97
2013-12-28 00:00:00,94
2013-12-29 00:00:00,91
2013-12-30 00:00:00,88
2013-12-31 00:00:00,85
2014-01-01 00:00:00,82
2014-01-02 00:00:00,79
2014-01-03 00:00:00,76
2014-01-04 00:00:00,118
2014-01-05 00:00:00,284
2014-01-06 00:00:00,191
2014-01-07 00:00:00,112
2014-01-08 00:00:00,282
2014-01-09 00:00:00,1860
2014-01-10 00:00:00,458
2014-01-11 00:00:00,662
2014-01-12 00:00:00,598
2014-01-13 00:00:00,306
2014-01-14 00:00:00,920
2014-01-15 00:00:00,696
2014-01-16 00:00:00,334
2014-01-17 00:00:00,362
2014-01-18 00:00:00,390
2014-01-19 00:00:00,418
2014-01-20 00:00:00,446
2014-01-21 00:00:00,394
2014-01-22 00:00:00,248
2014-01-23 00:00:00,232
2014-01-24 00:00:00,372
2014-01-25 00:00:00,84
2014-01-26 00:00:00,135
2014-01-27 00:00:00,186
2014-01-28 00:00:00,344
2014-01-29 00:00:00,288
2014-01-30 00:00:00,294
2014-01-31 00:00:00,444
2014-02-01 00:00:00,486
2014-02-02 00:00:00,194
2014-02-03 00:00:00,261
2014-02-04 00:00:00,318
2014-02-05 00:00:00,399
2014-02-06 00:00:00,1065
2014-02-07 00:00:00,804
2014-02-08 00:00:00,789
2014-02-09 00:00:00,708
2014-02-10 00:00:00,627
2014-02-11 00:00:00,240
2014-02-12 00:00:00,138
2014-02-13 00:00:00,215
2014-02-14 00:00:00,176
2014-02-15 00:00:00,328
2014-02-16 00:00:00,246
2014-02-17 00:00:00,63
2014-02-18 00:00:00,116
2014-02-19 00:00:00,170
2014-02-20 00:00:00,224
2014-02-21 00:00:00,272
2014-02-22 00:00:00,613
2014-02-23 00:00:00,1009
2014-02-24 00:00:00,896
