Date,Count,Unnamed: 0.1
2013-09-24,12,9.0
2013-09-25,20,8.0
2013-09-26,12,
2013-09-27,8,
2013-09-28,7,
2013-09-29,4,
2013-09-30,7,
2013-10-01,16,
2013-10-02,17,
2013-10-03,5,
2013-10-04,11,3.0
2013-10-05,14,2.0
2013-10-06,11,1.0
2013-10-07,5,0.0
2013-10-08,12,7.0
2013-10-09,3,6.0
2013-10-10,9,4.0
2013-10-11,14,5.0
2013-10-12,18,
2013-10-13,5,
2013-10-14,4,
2013-10-15,2,
2013-10-18,19,
2013-10-19,20,
2013-10-20,10,
2013-10-21,9,
2013-10-22,3,
2013-10-23,16,
2013-10-25,8,
2013-10-26,20,
2013-10-27,16,
2013-10-28,12,
2013-10-29,44,
2013-10-30,12,
2013-10-31,8,
2013-11-01,16,
2013-11-02,6,
2013-11-03,10,
2013-11-04,4,
2013-11-05,6,
2013-11-06,13,
2013-11-07,67,
2013-11-08,24,
2013-11-09,35,
2013-11-10,6,
2013-11-11,10,
2013-11-12,24,
2013-11-13,22,
2013-11-14,20,
2013-11-15,3,
2013-11-16,9,
2013-11-17,7,
2013-11-19,3,
2013-11-20,14,
2013-11-22,8,
2013-11-23,10,
2013-11-24,3,
2013-11-25,10,
2013-11-26,9,
2013-11-27,10,
2013-11-28,6,
2013-11-29,10,
2013-11-30,9,
2013-12-01,2,
2013-12-02,3,
2013-12-03,11,
2013-12-04,11,
2013-12-05,9,
2013-12-06,13,
2013-12-07,5,
2013-12-08,6,
2013-12-09,4,
2013-12-10,19,
2013-12-11,8,
2013-12-12,7,
2013-12-13,14,
2013-12-14,14,
2013-12-15,4,
2013-12-16,10,
2013-12-17,15,
2013-12-18,16,
2013-12-19,13,
2013-12-20,1,
2013-12-23,4,
2013-12-24,4,
2013-12-26,13,
2013-12-27,2,
2014-01-03,6,
2014-01-04,11,
2014-01-05,6,
2014-01-06,7,
2014-01-07,14,
2014-01-08,9,
2014-01-09,11,
2014-01-10,13,
2014-01-11,16,
2014-01-12,7,
2014-01-13,4,
2014-01-14,11,
2014-01-15,5,
2014-01-16,9,
2014-01-20,6,
2014-01-21,5,
2014-01-22,5,
2014-01-23,8,
2014-01-24,4,
2014-01-25,1,
2014-01-27,2,
2014-01-28,20,
2014-01-29,4,
2014-01-30,8,
2014-01-31,5,
2014-02-01,18,
2014-02-02,10,
2014-02-03,11,
2014-02-04,12,
2014-02-05,8,
2014-02-06,11,
2014-02-07,19,
2014-02-08,6,
2014-02-10,35,
2014-02-11,18,
2014-02-12,12,
2014-02-13,23,
2014-02-14,18,
2014-02-15,21,
2014-02-16,6,
2014-02-20,11,
2014-02-21,10,
2014-02-22,16,
2014-02-23,13,
2014-02-24,12,
2014-02-25,15,
2014-02-26,14,
2014-02-27,6,
2014-02-28,8,
2014-03-01,32,
2014-03-02,10,
2014-03-03,10,
2014-03-04,20,
2014-03-05,38,
2014-03-06,24,
2014-03-07,28,
2014-03-09,10,
2014-03-10,32,
2014-03-11,36,
2014-03-12,24,
2014-03-13,34,
2014-03-14,24,
2014-03-15,26,
2014-03-16,10,
2014-03-17,30,
2014-03-18,4,
2014-03-21,21,
2014-03-22,8,
2014-03-23,10,
2014-03-24,9,
2014-03-25,12,
2014-03-26,16,
2014-03-27,11,
2014-03-28,17,
2014-03-29,17,
2014-03-30,18,
2014-03-31,11,
2014-04-01,8,
2014-04-02,10,
2014-04-03,16,
2014-04-04,15,
2014-04-05,9,
2014-04-06,12,
2014-04-08,11,
2014-04-09,6,
2014-04-10,13,
2014-04-11,3,
2014-04-14,8,
2014-04-16,19,
2014-04-17,40,
2014-04-18,54,
2014-04-19,12,
2014-04-23,33,
2014-04-24,47,
2014-04-25,139,
2014-04-26,58,
2014-04-27,45,
2014-04-28,46,
2014-04-29,58,
2014-04-30,24,
2014-05-01,75,
2014-05-02,57,
2014-05-03,48,
2014-05-04,33,
2014-05-05,35,
2014-05-06,52,
2014-05-07,43,
2014-05-08,29,
2014-05-09,21,
2014-05-12,2,
2014-05-14,4,
2014-05-20,2,
2014-05-22,85,
2014-05-23,70,
2014-05-24,19,
2014-05-25,33,
2014-05-26,36,
2014-05-27,39,
2014-05-28,53,
2014-05-29,45,
2014-05-30,83,
2014-05-31,49,
2014-06-01,31,
2014-06-02,39,
2014-06-03,43,
2014-06-04,18,
2014-06-05,27,
2014-06-06,52,
2014-06-07,61,
2014-06-08,31,
2014-06-09,101,
2014-06-10,90,
2014-06-11,76,
2014-06-12,40,
2014-06-13,47,
2014-06-14,36,
2014-06-15,18,
2014-06-16,3,
2014-06-17,3,
2014-06-18,1,
2014-09-15,65,
2014-09-16,43,
2014-09-17,42,
2014-09-18,22,
2014-09-19,40,
2014-09-20,13,
2014-09-23,37,
2014-09-24,73,
2014-09-25,44,
2014-09-26,53,
2014-09-27,58,
2014-09-28,47,
2014-09-29,37,
2014-09-30,69,
2014-10-01,38,
2014-10-07,13,
2014-10-08,47,
2014-10-09,103,
2014-10-10,442,
2014-10-11,201,
2014-10-14,70,
2014-10-15,61,
2014-10-16,166,
2014-10-17,146,
2014-10-18,114,
2014-10-19,130,
2014-10-21,29,
2014-10-22,119,
2014-10-23,49,
2014-10-24,35,
2014-10-25,49,
2014-10-26,17,
2014-10-27,54,
2014-10-28,46,
2014-10-29,4,
