Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,220,9.0
2013-09-25 00:00:00,277,8.0
2013-09-26 00:00:00,450,
2013-09-27 00:00:00,273,
2013-09-28 00:00:00,678,
2013-09-29 00:00:00,648,
2013-09-30 00:00:00,444,
2013-10-01 00:00:00,269,
2013-10-02 00:00:00,423,
2013-10-03 00:00:00,365,
2013-10-04 00:00:00,307,3.0
2013-10-05 00:00:00,316,2.0
2013-10-06 00:00:00,227,1.0
2013-10-07 00:00:00,454,0.0
2013-10-08 00:00:00,1505,7.0
2013-10-09 00:00:00,559,6.0
2013-10-10 00:00:00,373,4.0
2013-10-11 00:00:00,347,5.0
2013-10-12 00:00:00,359,
2013-10-13 00:00:00,499,
2013-10-14 00:00:00,307,
2013-10-15 00:00:00,287,
2013-10-16 00:00:00,267,
2013-10-17 00:00:00,247,
2013-10-18 00:00:00,228,
2013-10-19 00:00:00,278,
2013-10-20 00:00:00,259,
2013-10-21 00:00:00,308,
2013-10-22 00:00:00,359,
2013-10-23 00:00:00,352,
2013-10-24 00:00:00,129,
2013-10-25 00:00:00,341,
2013-10-26 00:00:00,265,
2013-10-27 00:00:00,450,
2013-10-28 00:00:00,304,
2013-10-29 00:00:00,310,
2013-10-30 00:00:00,334,
2013-10-31 00:00:00,236,
2013-11-01 00:00:00,203,
2013-11-02 00:00:00,216,
2013-11-03 00:00:00,298,
2013-11-04 00:00:00,420,
2013-11-05 00:00:00,178,
2013-11-06 00:00:00,363,
2013-11-07 00:00:00,296,
2013-11-08 00:00:00,346,
2013-11-09 00:00:00,237,
2013-11-10 00:00:00,217,
2013-11-11 00:00:00,513,
2013-11-12 00:00:00,557,
2013-11-13 00:00:00,282,
2013-11-14 00:00:00,465,
2013-11-15 00:00:00,215,
2013-11-16 00:00:00,353,
2013-11-17 00:00:00,247,
2013-11-18 00:00:00,58,
2013-11-19 00:00:00,48,
2013-11-20 00:00:00,270,
2013-11-21 00:00:00,240,
2013-11-22 00:00:00,211,
2013-11-23 00:00:00,182,
2013-11-24 00:00:00,397,
2013-11-25 00:00:00,225,
2013-11-26 00:00:00,251,
2013-11-27 00:00:00,147,
2013-11-28 00:00:00,204,
2013-11-29 00:00:00,329,
2013-11-30 00:00:00,221,
2013-12-01 00:00:00,380,
2013-12-02 00:00:00,284,
2013-12-03 00:00:00,241,
2013-12-04 00:00:00,291,
2013-12-05 00:00:00,293,
2013-12-06 00:00:00,340,
2013-12-07 00:00:00,320,
2013-12-08 00:00:00,203,
2013-12-09 00:00:00,414,
2013-12-10 00:00:00,309,
2013-12-11 00:00:00,318,
2013-12-12 00:00:00,525,
2013-12-13 00:00:00,375,
2013-12-14 00:00:00,249,
2013-12-15 00:00:00,313,
2013-12-16 00:00:00,518,
2013-12-17 00:00:00,435,
2013-12-18 00:00:00,347,
2013-12-19 00:00:00,307,
2013-12-20 00:00:00,330,
2013-12-21 00:00:00,354,
2013-12-22 00:00:00,378,
2013-12-23 00:00:00,402,
2013-12-24 00:00:00,912,
2013-12-25 00:00:00,215,
2013-12-26 00:00:00,281,
2013-12-27 00:00:00,274,
2013-12-28 00:00:00,268,
2013-12-29 00:00:00,261,
2013-12-30 00:00:00,255,
2013-12-31 00:00:00,249,
2014-01-01 00:00:00,242,
2014-01-02 00:00:00,236,
2014-01-03 00:00:00,230,
2014-01-04 00:00:00,226,
2014-01-05 00:00:00,155,
2014-01-06 00:00:00,642,
2014-01-07 00:00:00,631,
2014-01-08 00:00:00,364,
2014-01-09 00:00:00,259,
2014-01-10 00:00:00,269,
2014-01-11 00:00:00,406,
2014-01-12 00:00:00,211,
2014-01-13 00:00:00,216,
2014-01-14 00:00:00,315,
2014-01-15 00:00:00,344,
2014-01-16 00:00:00,519,
2014-01-17 00:00:00,423,
2014-01-18 00:00:00,327,
2014-01-19 00:00:00,231,
2014-01-20 00:00:00,135,
2014-01-21 00:00:00,681,
2014-01-22 00:00:00,403,
2014-01-23 00:00:00,262,
2014-01-24 00:00:00,345,
2014-01-25 00:00:00,300,
2014-01-26 00:00:00,255,
2014-01-27 00:00:00,211,
2014-01-28 00:00:00,1998,
2014-01-29 00:00:00,6935,
2014-01-30 00:00:00,901,
2014-01-31 00:00:00,433,
2014-02-01 00:00:00,411,
2014-02-02 00:00:00,218,
2014-02-03 00:00:00,240,
2014-02-04 00:00:00,682,
2014-02-05 00:00:00,983,
2014-02-06 00:00:00,5695,
2014-02-07 00:00:00,1805,
2014-02-08 00:00:00,494,
