Date,Count
2013-09-24 00:00:00,876
2013-09-25 00:00:00,2084
2013-09-26 00:00:00,2820
2013-09-27 00:00:00,645
2013-09-28 00:00:00,1635
2013-09-29 00:00:00,1028
2013-09-30 00:00:00,1655
2013-10-01 00:00:00,434
2013-10-02 00:00:00,1142
2013-10-03 00:00:00,1021
2013-10-04 00:00:00,901
2013-10-05 00:00:00,1551
2013-10-06 00:00:00,1981
2013-10-07 00:00:00,3045
2013-10-08 00:00:00,1992
2013-10-09 00:00:00,1259
2013-10-10 00:00:00,2040
2013-10-11 00:00:00,1108
2013-10-12 00:00:00,1116
2013-10-13 00:00:00,986
2013-10-14 00:00:00,1020
2013-10-15 00:00:00,1087
2013-10-16 00:00:00,1155
2013-10-17 00:00:00,1223
2013-10-18 00:00:00,1291
2013-10-19 00:00:00,2530
2013-10-20 00:00:00,2010
2013-10-21 00:00:00,1703
2013-10-22 00:00:00,2497
2013-10-23 00:00:00,1995
2013-10-24 00:00:00,185
2013-10-25 00:00:00,712
2013-10-26 00:00:00,2125
2013-10-27 00:00:00,1561
2013-10-28 00:00:00,1207
2013-10-29 00:00:00,1355
2013-10-30 00:00:00,2133
2013-10-31 00:00:00,1858
2013-11-01 00:00:00,1298
2013-11-02 00:00:00,3195
2013-11-03 00:00:00,1442
2013-11-04 00:00:00,2048
2013-11-05 00:00:00,195
2013-11-06 00:00:00,905
2013-11-07 00:00:00,1269
2013-11-08 00:00:00,1293
2013-11-09 00:00:00,799
2013-11-10 00:00:00,442
2013-11-11 00:00:00,924
2013-11-12 00:00:00,1077
2013-11-13 00:00:00,2815
2013-11-14 00:00:00,1934
2013-11-15 00:00:00,1469
2013-11-16 00:00:00,1648
2013-11-17 00:00:00,1518
2013-11-18 00:00:00,1445
2013-11-19 00:00:00,4860
2013-11-20 00:00:00,4734
2013-11-21 00:00:00,3597
2013-11-22 00:00:00,2460
2013-11-23 00:00:00,1324
2013-11-24 00:00:00,1883
2013-11-25 00:00:00,3666
2013-11-26 00:00:00,4716
2013-11-27 00:00:00,5187
2013-11-28 00:00:00,3178
2013-11-29 00:00:00,3645
2013-11-30 00:00:00,3263
2013-12-01 00:00:00,3590
2013-12-02 00:00:00,5488
2013-12-03 00:00:00,2702
2013-12-04 00:00:00,4392
2013-12-05 00:00:00,3333
2013-12-06 00:00:00,2986
2013-12-07 00:00:00,1668
2013-12-08 00:00:00,2962
2013-12-09 00:00:00,3802
2013-12-10 00:00:00,1592
2013-12-11 00:00:00,1751
2013-12-12 00:00:00,1452
2013-12-13 00:00:00,1859
2013-12-14 00:00:00,1183
2013-12-15 00:00:00,1283
2013-12-16 00:00:00,1146
2013-12-17 00:00:00,1767
2013-12-18 00:00:00,1236
2013-12-19 00:00:00,1007
2013-12-20 00:00:00,1002
2013-12-21 00:00:00,998
2013-12-22 00:00:00,993
2013-12-23 00:00:00,989
2013-12-24 00:00:00,936
2013-12-25 00:00:00,689
2013-12-26 00:00:00,756
2013-12-27 00:00:00,818
2013-12-28 00:00:00,881
2013-12-29 00:00:00,944
2013-12-30 00:00:00,1007
2013-12-31 00:00:00,1070
2014-01-01 00:00:00,1133
2014-01-02 00:00:00,1196
2014-01-03 00:00:00,1259
2014-01-04 00:00:00,1826
2014-01-05 00:00:00,1833
2014-01-06 00:00:00,1299
2014-01-07 00:00:00,1183
2014-01-08 00:00:00,2508
2014-01-09 00:00:00,3012
2014-01-10 00:00:00,2314
2014-01-11 00:00:00,4044
2014-01-12 00:00:00,2816
2014-01-13 00:00:00,3314
2014-01-14 00:00:00,6432
2014-01-15 00:00:00,6762
2014-01-16 00:00:00,4692
2014-01-17 00:00:00,4124
2014-01-18 00:00:00,3556
2014-01-19 00:00:00,2988
2014-01-20 00:00:00,2420
2014-01-21 00:00:00,2564
2014-01-22 00:00:00,4016
2014-01-23 00:00:00,4666
2014-01-24 00:00:00,8478
2014-01-25 00:00:00,6873
2014-01-26 00:00:00,5268
2014-01-27 00:00:00,3664
2014-01-28 00:00:00,2274
2014-01-29 00:00:00,2338
2014-01-30 00:00:00,1522
2014-01-31 00:00:00,3332
2014-02-01 00:00:00,2348
2014-02-02 00:00:00,1618
2014-02-03 00:00:00,2486
2014-02-04 00:00:00,2343
2014-02-05 00:00:00,1797
2014-02-06 00:00:00,3600
2014-02-07 00:00:00,2997
2014-02-08 00:00:00,3024
2014-02-09 00:00:00,2977
2014-02-10 00:00:00,2931
2014-02-11 00:00:00,1368
2014-02-12 00:00:00,3399
2014-02-13 00:00:00,3696
2014-02-14 00:00:00,2967
2014-02-15 00:00:00,3888
2014-02-16 00:00:00,5169
2014-02-17 00:00:00,1005
2014-02-18 00:00:00,1147
2014-02-19 00:00:00,1289
2014-02-20 00:00:00,1431
2014-02-21 00:00:00,4518
2014-02-22 00:00:00,11541
2014-02-23 00:00:00,5373
2014-02-24 00:00:00,3132
2014-02-25 00:00:00,3332
2014-02-26 00:00:00,3532
2014-02-27 00:00:00,3732
2014-02-28 00:00:00,3932
2014-03-01 00:00:00,4132
2014-03-02 00:00:00,4332
2014-03-03 00:00:00,4533
2014-03-04 00:00:00,2556
