Date,Count
2013-09-24 00:00:00,21
2013-09-25 00:00:00,75
2013-09-26 00:00:00,43
2013-09-27 00:00:00,21
2013-09-28 00:00:00,28
2013-09-29 00:00:00,29
2013-09-30 00:00:00,69
2013-10-01 00:00:00,18
2013-10-02 00:00:00,28
2013-10-03 00:00:00,139
2013-10-04 00:00:00,251
2013-10-05 00:00:00,413
2013-10-06 00:00:00,212
2013-10-07 00:00:00,196
2013-10-08 00:00:00,212
2013-10-09 00:00:00,143
2013-10-10 00:00:00,184
2013-10-11 00:00:00,96
2013-10-12 00:00:00,57
2013-10-13 00:00:00,63
2013-10-14 00:00:00,162
2013-10-15 00:00:00,141
2013-10-16 00:00:00,120
2013-10-17 00:00:00,99
2013-10-18 00:00:00,79
2013-10-19 00:00:00,56
2013-10-20 00:00:00,34
2013-10-21 00:00:00,79
2013-10-22 00:00:00,46
2013-10-23 00:00:00,40
2013-10-24 00:00:00,30
2013-10-25 00:00:00,64
2013-10-26 00:00:00,41
2013-10-27 00:00:00,189
2013-10-28 00:00:00,28
2013-10-29 00:00:00,102
2013-10-30 00:00:00,34
2013-10-31 00:00:00,29
2013-11-01 00:00:00,26
2013-11-02 00:00:00,26
2013-11-03 00:00:00,47
2013-11-04 00:00:00,43
2013-11-05 00:00:00,26
2013-11-06 00:00:00,84
2013-11-07 00:00:00,32
2013-11-08 00:00:00,34
2013-11-09 00:00:00,34
2013-11-10 00:00:00,89
2013-11-11 00:00:00,202
2013-11-12 00:00:00,243
2013-11-13 00:00:00,66
2013-11-14 00:00:00,96
2013-11-15 00:00:00,63
2013-11-16 00:00:00,60
2013-11-17 00:00:00,28
2013-11-18 00:00:00,237
2013-11-19 00:00:00,294
2013-11-20 00:00:00,98
2013-11-21 00:00:00,75
2013-11-22 00:00:00,52
2013-11-23 00:00:00,29
2013-11-24 00:00:00,54
2013-11-25 00:00:00,55
2013-11-26 00:00:00,249
2013-11-27 00:00:00,44
2013-11-28 00:00:00,30
2013-11-29 00:00:00,105
2013-11-30 00:00:00,89
2013-12-01 00:00:00,40
2013-12-02 00:00:00,110
2013-12-03 00:00:00,385
2013-12-04 00:00:00,84
2013-12-05 00:00:00,50
2013-12-06 00:00:00,47
2013-12-07 00:00:00,62
2013-12-08 00:00:00,29
2013-12-09 00:00:00,2463
2013-12-10 00:00:00,659
2013-12-11 00:00:00,290
2013-12-12 00:00:00,572
2013-12-13 00:00:00,281
2013-12-14 00:00:00,114
2013-12-15 00:00:00,109
2013-12-16 00:00:00,96
2013-12-17 00:00:00,96
2013-12-18 00:00:00,143
2013-12-19 00:00:00,85
2013-12-20 00:00:00,103
2013-12-21 00:00:00,122
2013-12-22 00:00:00,140
2013-12-23 00:00:00,159
2013-12-24 00:00:00,95
2013-12-25 00:00:00,70
2013-12-26 00:00:00,855
2013-12-27 00:00:00,754
2013-12-28 00:00:00,653
2013-12-29 00:00:00,553
2013-12-30 00:00:00,452
2013-12-31 00:00:00,351
2014-01-01 00:00:00,251
2014-01-02 00:00:00,150
2014-01-03 00:00:00,50
2014-01-04 00:00:00,100
2014-01-05 00:00:00,107
2014-01-06 00:00:00,84
2014-01-07 00:00:00,49
2014-01-08 00:00:00,58
2014-01-09 00:00:00,106
2014-01-10 00:00:00,126
2014-01-11 00:00:00,100
2014-01-12 00:00:00,152
2014-01-13 00:00:00,264
2014-01-14 00:00:00,338
2014-01-15 00:00:00,140
2014-01-16 00:00:00,264
2014-01-17 00:00:00,219
2014-01-18 00:00:00,174
2014-01-19 00:00:00,129
2014-01-20 00:00:00,84
2014-01-21 00:00:00,134
2014-01-22 00:00:00,134
2014-01-23 00:00:00,188
2014-01-24 00:00:00,1040
2014-01-25 00:00:00,817
2014-01-26 00:00:00,594
2014-01-27 00:00:00,372
2014-01-28 00:00:00,368
2014-01-29 00:00:00,982
2014-01-30 00:00:00,548
2014-01-31 00:00:00,1108
2014-02-01 00:00:00,624
2014-02-02 00:00:00,608
2014-02-03 00:00:00,567
2014-02-04 00:00:00,498
2014-02-05 00:00:00,342
2014-02-06 00:00:00,486
2014-02-07 00:00:00,1152
2014-02-08 00:00:00,141
2014-02-09 00:00:00,546
2014-02-10 00:00:00,951
2014-02-11 00:00:00,1587
2014-02-12 00:00:00,192
2014-02-13 00:00:00,699
2014-02-14 00:00:00,447
2014-02-15 00:00:00,840
2014-02-16 00:00:00,1152
2014-02-17 00:00:00,99
2014-02-18 00:00:00,325
2014-02-19 00:00:00,551
2014-02-20 00:00:00,777
2014-02-21 00:00:00,381
2014-02-22 00:00:00,873
2014-02-23 00:00:00,1227
2014-02-24 00:00:00,159
2014-02-25 00:00:00,405
2014-02-26 00:00:00,652
2014-02-27 00:00:00,899
2014-02-28 00:00:00,1146
2014-03-01 00:00:00,1393
2014-03-02 00:00:00,1640
2014-03-03 00:00:00,1887
2014-03-04 00:00:00,405
