Date,Count,Unnamed: 0.1
2013-09-24,22,9.0
2013-09-25,28,8.0
2013-09-26,21,
2013-09-27,19,
2013-09-28,64,
2013-09-29,21,
2013-09-30,36,
2013-10-01,11,
2013-10-02,41,
2013-10-03,19,
2013-10-04,67,3.0
2013-10-05,37,2.0
2013-10-06,27,1.0
2013-10-07,90,0.0
2013-10-08,23,7.0
2013-10-09,65,6.0
2013-10-10,84,4.0
2013-10-11,52,5.0
2013-10-12,32,
2013-10-13,32,
2013-10-14,96,
2013-10-15,2,
2013-10-18,17,
2013-10-19,67,
2013-10-20,16,
2013-10-21,41,
2013-10-22,57,
2013-10-23,46,
2013-10-24,7,
2013-10-25,26,
2013-10-26,53,
2013-10-27,21,
2013-10-28,98,
2013-10-29,47,
2013-10-30,64,
2013-10-31,62,
2013-11-01,28,
2013-11-02,36,
2013-11-03,42,
2013-11-04,23,
2013-11-05,2,
2013-11-06,37,
2013-11-07,18,
2013-11-08,100,
2013-11-09,30,
2013-11-10,25,
2013-11-11,29,
2013-11-12,141,
2013-11-13,104,
2013-11-14,54,
2013-11-15,19,
2013-11-16,75,
2013-11-17,159,
2013-11-18,5,
2013-11-19,18,
2013-11-20,146,
2013-11-22,19,
2013-11-23,59,
2013-11-24,63,
2013-11-25,81,
2013-11-26,68,
2013-11-27,15,
2013-11-28,67,
2013-11-29,27,
2013-11-30,58,
2013-12-01,16,
2013-12-02,29,
2013-12-03,37,
2013-12-04,39,
2013-12-05,32,
2013-12-06,42,
2013-12-07,30,
2013-12-08,22,
2013-12-09,111,
2013-12-10,80,
2013-12-11,40,
2013-12-12,66,
2013-12-13,53,
2013-12-14,38,
2013-12-15,186,
2013-12-16,33,
2013-12-17,33,
2013-12-18,25,
2013-12-19,44,
2013-12-23,18,
2013-12-24,31,
2013-12-25,17,
2013-12-26,58,
2013-12-27,14,
2014-01-03,22,
2014-01-04,27,
2014-01-05,20,
2014-01-06,18,
2014-01-07,22,
2014-01-08,23,
2014-01-09,205,
2014-01-10,128,
2014-01-11,324,
2014-01-12,114,
2014-01-13,37,
2014-01-14,32,
2014-01-15,26,
2014-01-16,44,
2014-01-20,35,
2014-01-21,48,
2014-01-22,45,
2014-01-23,67,
2014-01-24,55,
2014-01-25,26,
2014-01-27,35,
2014-01-28,36,
2014-01-29,48,
2014-01-30,29,
2014-01-31,53,
2014-02-01,33,
2014-02-02,44,
2014-02-03,24,
2014-02-04,38,
2014-02-05,13,
2014-02-06,46,
2014-02-07,57,
2014-02-08,77,
2014-02-10,16,
2014-02-11,164,
2014-02-12,36,
2014-02-13,63,
2014-02-14,49,
2014-02-15,167,
2014-02-16,35,
2014-02-17,24,
2014-02-19,2,
2014-02-20,15,
2014-02-21,49,
2014-02-22,31,
2014-02-23,25,
2014-02-24,47,
2014-02-25,75,
2014-02-26,8,
2014-02-27,11,
2014-02-28,6,
2014-03-01,47,
2014-03-02,36,
2014-03-03,29,
2014-03-04,115,
2014-03-05,28,
2014-03-06,42,
2014-03-07,65,
2014-03-10,122,
2014-03-11,236,
2014-03-12,278,
2014-03-13,218,
2014-03-14,198,
2014-03-15,860,
2014-03-16,258,
2014-03-17,308,
2014-03-18,33,
2014-03-21,38,
2014-03-22,78,
2014-03-23,66,
2014-03-24,57,
2014-03-25,66,
2014-03-26,25,
2014-03-27,109,
2014-03-28,39,
2014-03-29,116,
2014-03-30,106,
2014-03-31,78,
2014-04-01,42,
2014-04-02,73,
2014-04-03,115,
2014-04-04,33,
2014-04-05,36,
2014-04-06,39,
2014-04-08,58,
2014-04-09,129,
2014-04-10,178,
2014-04-11,49,
2014-04-14,70,
2014-04-16,172,
2014-04-17,1826,
2014-04-18,1049,
2014-04-19,47,
2014-04-23,141,
2014-04-24,242,
2014-04-25,193,
2014-04-26,889,
2014-04-27,85,
2014-04-28,159,
2014-04-29,212,
2014-04-30,120,
2014-05-01,121,
2014-05-02,164,
2014-05-03,66,
2014-05-04,462,
2014-05-05,73,
2014-05-06,113,
2014-05-07,130,
2014-05-08,301,
2014-05-09,211,
2014-05-11,3,
2014-05-14,2,
2014-05-16,12,
2014-05-20,52,
2014-05-22,634,
2014-05-23,506,
2014-05-24,398,
2014-05-25,115,
2014-05-26,109,
2014-05-27,130,
2014-05-28,101,
2014-05-29,225,
2014-05-30,301,
2014-05-31,199,
2014-06-01,340,
2014-06-02,194,
2014-06-03,89,
2014-06-04,156,
2014-06-05,100,
2014-06-06,350,
2014-06-07,241,
2014-06-08,145,
2014-06-09,272,
2014-06-10,256,
2014-06-11,286,
2014-06-12,426,
2014-06-13,211,
2014-06-14,153,
2014-06-15,126,
2014-06-16,57,
2014-06-17,8,
2014-06-18,3,
2014-09-15,197,
2014-09-16,152,
2014-09-17,172,
2014-09-18,172,
2014-09-19,224,
2014-09-20,11,
2014-09-23,212,
2014-09-24,1205,
2014-09-25,922,
2014-09-26,375,
2014-09-27,799,
2014-09-28,316,
2014-09-29,143,
2014-09-30,185,
2014-10-01,287,
2014-10-07,120,
2014-10-08,107,
2014-10-09,162,
2014-10-10,359,
2014-10-11,435,
2014-10-14,72,
2014-10-15,450,
2014-10-16,358,
2014-10-17,568,
2014-10-18,1044,
2014-10-19,394,
2014-10-21,115,
2014-10-22,326,
2014-10-23,175,
2014-10-24,65,
2014-10-25,137,
2014-10-26,56,
2014-10-27,85,
2014-10-28,42,
2014-10-29,75,
