Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,20,9.0
2013-09-25 00:00:00,157,8.0
2013-09-26 00:00:00,137,
2013-09-27 00:00:00,116,
2013-09-28 00:00:00,202,
2013-09-29 00:00:00,2584,
2013-09-30 00:00:00,1944,
2013-10-01 00:00:00,331,
2013-10-02 00:00:00,498,
2013-10-03 00:00:00,340,
2013-10-04 00:00:00,183,3.0
2013-10-05 00:00:00,149,2.0
2013-10-06 00:00:00,171,1.0
2013-10-07 00:00:00,93,0.0
2013-10-08 00:00:00,239,7.0
2013-10-09 00:00:00,203,6.0
2013-10-10 00:00:00,442,4.0
2013-10-11 00:00:00,804,5.0
2013-10-12 00:00:00,5657,
2013-10-13 00:00:00,820,
2013-10-14 00:00:00,656,
2013-10-15 00:00:00,1070,
2013-10-16 00:00:00,1485,
2013-10-17 00:00:00,1899,
2013-10-18 00:00:00,2314,
2013-10-19 00:00:00,21606,
2013-10-20 00:00:00,11768,
2013-10-21 00:00:00,4172,
2013-10-22 00:00:00,4473,
2013-10-23 00:00:00,1560,
2013-10-24 00:00:00,146,
2013-10-25 00:00:00,535,
2013-10-26 00:00:00,2244,
2013-10-27 00:00:00,950,
2013-10-28 00:00:00,346,
2013-10-29 00:00:00,501,
2013-10-30 00:00:00,674,
2013-10-31 00:00:00,317,
2013-11-01 00:00:00,235,
2013-11-02 00:00:00,136,
2013-11-03 00:00:00,281,
2013-11-04 00:00:00,264,
2013-11-05 00:00:00,17,
2013-11-06 00:00:00,99,
2013-11-07 00:00:00,130,
2013-11-08 00:00:00,491,
2013-11-09 00:00:00,275,
2013-11-10 00:00:00,543,
2013-11-11 00:00:00,163,
2013-11-12 00:00:00,140,
2013-11-13 00:00:00,228,
2013-11-14 00:00:00,245,
2013-11-15 00:00:00,65,
2013-11-16 00:00:00,236,
2013-11-17 00:00:00,668,
2013-11-18 00:00:00,8,
2013-11-19 00:00:00,39,
2013-11-20 00:00:00,332,
2013-11-21 00:00:00,252,
2013-11-22 00:00:00,172,
2013-11-23 00:00:00,92,
2013-11-24 00:00:00,649,
2013-11-25 00:00:00,418,
2013-11-26 00:00:00,425,
2013-11-27 00:00:00,141,
