Date,Count,Unnamed: 0.1
2013-09-25,4,
2013-09-26,2,
2013-09-27,4,
2013-09-28,8,
2013-09-29,3,
2013-09-30,1,
2013-10-01,1,
2013-10-02,2,
2013-10-03,2,
2013-10-04,1,3.0
2013-10-05,11,2.0
2013-10-06,5,1.0
2013-10-08,3,4.0
2013-10-10,2,0.0
2013-10-11,2,
2013-10-12,9,
2013-10-13,5,
2013-10-18,10,
2013-10-19,28,
2013-10-20,4,
2013-10-21,3,
2013-10-22,1,
2013-10-23,2,
2013-10-24,1,
2013-10-25,8,
2013-10-26,1,
2013-10-27,4,
2013-10-28,2,
2013-10-29,1,
2013-10-30,2,
2013-11-01,5,
2013-11-02,3,
2013-11-03,4,
2013-11-04,2,
2013-11-05,1,
2013-11-06,2,
2013-11-07,1,
2013-11-08,10,
2013-11-09,7,
2013-11-10,4,
2013-11-12,1,
2013-11-13,9,
2013-11-14,1,
2013-11-15,1,
2013-11-16,5,
2013-11-19,1,
2013-11-20,1,
2013-11-23,4,
2013-11-24,1,
2013-11-25,1,
2013-11-29,1,
2013-12-02,2,
2013-12-04,4,
2013-12-05,3,
2013-12-06,3,
2013-12-07,5,
2013-12-10,3,
2013-12-11,4,
2013-12-12,1,
2013-12-13,5,
2013-12-14,3,
2013-12-15,3,
2013-12-17,6,
2013-12-18,1,
2013-12-19,1,
2013-12-23,1,
2013-12-24,1,
2014-01-03,1,
2014-01-04,1,
2014-01-05,3,
2014-01-07,3,
2014-01-08,1,
2014-01-09,1,
2014-01-11,2,
2014-01-12,1,
2014-01-13,1,
2014-01-15,1,
2014-01-16,2,
2014-01-20,2,
2014-01-21,2,
2014-01-22,2,
2014-01-23,2,
2014-01-24,4,
2014-01-28,1,
2014-01-29,1,
2014-01-31,2,
2014-02-03,5,
2014-02-05,1,
2014-02-06,2,
2014-02-08,5,
2014-02-10,4,
2014-02-11,3,
2014-02-12,3,
2014-02-13,7,
2014-02-15,3,
2014-02-16,5,
2014-02-20,1,
2014-02-21,5,
2014-02-22,2,
2014-02-24,6,
2014-02-25,4,
2014-02-26,1,
2014-02-27,1,
2014-02-28,1,
2014-03-01,1,
2014-03-02,2,
2014-03-03,1,
2014-03-04,1,
2014-03-05,3,
2014-03-06,9,
2014-03-10,6,
2014-03-12,2,
2014-03-13,12,
2014-03-14,4,
2014-03-15,2,
2014-03-16,4,
2014-03-17,2,
2014-03-21,1,
2014-03-22,1,
2014-03-23,4,
2014-03-25,1,
2014-03-26,7,
2014-03-27,4,
2014-03-28,4,
2014-03-29,2,
2014-03-30,6,
2014-04-02,2,
2014-04-04,4,
2014-04-05,2,
2014-04-06,2,
2014-04-09,1,
2014-04-16,1,
2014-04-17,4,
2014-04-18,35,
2014-04-19,20,
2014-04-23,2,
2014-04-24,15,
2014-04-25,5,
2014-04-26,4,
2014-04-27,2,
2014-04-28,2,
2014-04-29,7,
2014-04-30,2,
2014-05-01,3,
2014-05-02,10,
2014-05-03,22,
2014-05-04,3,
2014-05-05,1,
2014-05-06,6,
2014-05-07,6,
2014-05-08,7,
2014-05-09,1,
2014-05-22,1,
2014-05-24,5,
2014-05-25,5,
2014-05-27,2,
2014-05-28,1,
2014-05-29,1,
2014-05-30,2,
2014-06-01,3,
2014-06-02,2,
2014-06-03,3,
2014-06-06,13,
2014-06-07,1,
2014-06-08,4,
2014-06-09,2,
2014-06-11,18,
2014-06-12,14,
2014-06-14,2,
2014-06-15,6,
2014-06-16,2,
2014-06-17,2,
2014-09-15,2,
2014-09-16,5,
2014-09-17,2,
2014-09-18,5,
2014-09-19,9,
2014-09-23,3,
2014-09-24,4,
2014-09-25,13,
2014-09-26,10,
2014-09-27,9,
2014-09-28,19,
2014-09-29,3,
2014-09-30,9,
2014-10-01,1,
2014-10-08,4,
2014-10-09,6,
2014-10-10,8,
2014-10-11,93,
2014-10-14,9,
2014-10-15,9,
2014-10-16,24,
2014-10-17,12,
2014-10-18,28,
2014-10-19,14,
2014-10-21,7,
2014-10-22,10,
2014-10-23,8,
2014-10-24,12,
2014-10-25,16,
2014-10-26,5,
2014-10-27,10,
2014-10-28,8,
2014-10-29,3,
