Date,Count,Unnamed: 0.1
2013-09-24,648,9.0
2013-09-25,499,8.0
2013-09-26,511,
2013-09-27,336,
2013-09-28,650,
2013-09-29,405,
2013-09-30,618,
2013-10-01,818,
2013-10-02,705,
2013-10-03,238,
2013-10-04,625,3.0
2013-10-05,566,2.0
2013-10-06,472,1.0
2013-10-07,1495,0.0
2013-10-08,612,7.0
2013-10-09,565,6.0
2013-10-10,578,4.0
2013-10-11,537,5.0
2013-10-12,514,
2013-10-13,1058,
2013-10-14,2357,
2013-10-15,45,
2013-10-18,441,
2013-10-19,537,
2013-10-20,1722,
2013-10-21,2295,
2013-10-22,1710,
2013-10-23,1878,
2013-10-24,486,
2013-10-25,651,
2013-10-26,731,
2013-10-27,831,
2013-10-28,1705,
2013-10-29,1898,
2013-10-30,1415,
2013-10-31,12225,
2013-11-01,1700,
2013-11-02,4711,
2013-11-03,2196,
2013-11-04,871,
2013-11-05,448,
2013-11-06,609,
2013-11-07,787,
2013-11-08,799,
2013-11-09,518,
2013-11-10,624,
2013-11-11,631,
2013-11-12,1022,
2013-11-13,921,
2013-11-14,698,
2013-11-15,439,
2013-11-16,827,
2013-11-17,638,
2013-11-18,91,
2013-11-19,87,
2013-11-20,571,
2013-11-22,198,
2013-11-23,653,
2013-11-24,1118,
2013-11-25,686,
2013-11-26,560,
2013-11-27,562,
2013-11-28,985,
2013-11-29,518,
2013-11-30,378,
2013-12-01,298,
2013-12-02,426,
2013-12-03,358,
2013-12-04,462,
2013-12-05,390,
2013-12-06,1041,
2013-12-07,804,
2013-12-08,1095,
2013-12-09,928,
2013-12-10,715,
2013-12-11,1077,
2013-12-12,986,
2013-12-13,839,
2013-12-14,930,
2013-12-15,2829,
2013-12-16,1704,
2013-12-17,969,
2013-12-18,1017,
2013-12-19,673,
2013-12-20,50,
2013-12-22,26,
2013-12-23,688,
2013-12-24,448,
2013-12-25,692,
2013-12-26,766,
2013-12-27,294,
2014-01-03,614,
2014-01-04,500,
2014-01-05,413,
2014-01-06,853,
2014-01-07,477,
2014-01-08,796,
2014-01-09,887,
2014-01-10,447,
2014-01-11,555,
2014-01-12,360,
2014-01-13,344,
2014-01-14,464,
2014-01-15,557,
2014-01-16,337,
2014-01-20,334,
2014-01-21,1501,
2014-01-22,563,
2014-01-23,465,
2014-01-24,397,
2014-01-25,229,
2014-01-27,625,
2014-01-28,726,
2014-01-29,371,
2014-01-30,516,
2014-01-31,606,
2014-02-01,685,
2014-02-02,415,
2014-02-03,279,
2014-02-04,264,
2014-02-05,408,
2014-02-06,553,
2014-02-07,443,
2014-02-08,221,
2014-02-10,212,
2014-02-11,441,
2014-02-12,729,
2014-02-13,840,
2014-02-14,567,
2014-02-15,548,
2014-02-16,985,
2014-02-17,166,
2014-02-19,59,
2014-02-20,707,
2014-02-21,972,
2014-02-22,1220,
2014-02-23,540,
2014-02-24,611,
2014-02-25,913,
2014-02-26,388,
2014-02-27,256,
2014-02-28,251,
2014-03-01,454,
2014-03-02,410,
2014-03-03,539,
2014-03-04,509,
2014-03-05,633,
2014-03-06,904,
2014-03-07,588,
2014-03-09,78,
2014-03-10,1962,
2014-03-11,1178,
2014-03-12,2848,
2014-03-13,1584,
2014-03-14,1258,
2014-03-15,2012,
2014-03-16,2310,
2014-03-17,1470,
2014-03-18,210,
2014-03-21,500,
2014-03-22,577,
2014-03-23,854,
2014-03-24,738,
2014-03-25,811,
2014-03-26,1401,
2014-03-27,2465,
2014-03-28,2587,
2014-03-29,1088,
2014-03-30,630,
2014-03-31,814,
2014-04-01,849,
2014-04-02,1284,
2014-04-03,1263,
2014-04-04,1468,
2014-04-05,1243,
2014-04-06,987,
2014-04-08,609,
2014-04-09,780,
2014-04-10,1342,
2014-04-11,744,
2014-04-14,1228,
2014-04-16,4301,
2014-04-17,5163,
2014-04-18,4564,
2014-04-19,906,
2014-04-23,3287,
2014-04-24,3967,
2014-04-25,3871,
2014-04-26,4195,
2014-04-27,2332,
2014-04-28,2091,
2014-04-29,1953,
2014-04-30,1943,
2014-05-01,2843,
2014-05-02,7228,
2014-05-03,4054,
2014-05-04,2492,
2014-05-05,1906,
2014-05-06,1860,
2014-05-07,2705,
2014-05-08,1901,
2014-05-09,1227,
2014-05-10,4,
2014-05-11,2,
2014-05-12,4,
2014-05-13,58,
2014-05-14,140,
2014-05-15,4,
2014-05-16,32,
2014-05-17,6,
2014-05-18,2,
2014-05-19,2,
2014-05-20,153,
2014-05-22,1792,
2014-05-23,2435,
2014-05-24,1963,
2014-05-25,2342,
2014-05-26,2796,
2014-05-27,2046,
2014-05-28,2284,
2014-05-29,4317,
2014-05-30,2829,
2014-05-31,3969,
2014-06-01,5003,
2014-06-02,5284,
2014-06-03,1805,
2014-06-04,1316,
2014-06-05,838,
2014-06-06,2043,
2014-06-07,1498,
2014-06-08,2441,
2014-06-09,4229,
2014-06-10,5094,
2014-06-11,3370,
2014-06-12,3428,
2014-06-13,3222,
2014-06-14,1748,
2014-06-15,2174,
2014-06-16,560,
2014-06-17,199,
2014-06-18,10,
2014-09-15,1377,
2014-09-16,1775,
2014-09-17,1668,
2014-09-18,2209,
2014-09-19,2309,
2014-09-20,216,
2014-09-23,950,
2014-09-24,1948,
2014-09-25,2069,
2014-09-26,2697,
2014-09-27,2463,
2014-09-28,3829,
2014-09-29,2501,
2014-09-30,2243,
2014-10-01,831,
2014-10-07,1136,
2014-10-08,2138,
2014-10-09,1570,
