Date,Count,Unnamed: 0.1
2013-09-24,5,3.0
2013-10-04,1,2.0
2013-10-05,3,1.0
2013-10-08,2,0.0
2013-10-11,1,
2013-10-18,1,
2013-10-19,1,
2013-10-21,1,
2013-10-22,1,
2013-10-26,1,
2013-10-28,2,
2013-10-29,1,
2013-10-30,1,
2013-11-01,2,
2013-11-02,2,
2013-11-07,10,
2013-11-08,20,
2013-11-09,106,
2013-11-10,2,
2013-11-11,4,
2013-11-23,1,
2013-11-24,1,
2013-11-25,2,
2013-11-29,1,
2013-11-30,16,
2013-12-01,3,
2013-12-04,1,
2013-12-06,2,
2013-12-08,2,
2013-12-10,1,
2013-12-11,1,
2013-12-26,6,
2014-01-09,1,
2014-01-10,1,
2014-01-11,5,
2014-01-12,1,
2014-01-13,33,
2014-01-14,23,
2014-01-15,19,
2014-01-16,8,
2014-01-20,3,
2014-01-21,12,
2014-01-22,5,
2014-01-23,2,
2014-01-25,1,
2014-01-30,2,
2014-01-31,26,
2014-02-01,6,
2014-02-02,2,
2014-02-11,1,
2014-02-16,4,
2014-02-24,10,
2014-02-25,4,
2014-03-13,2,
2014-03-22,1,
2014-03-25,1,
2014-03-26,3,
2014-03-27,3,
2014-03-31,2,
2014-04-01,1,
2014-04-04,39,
2014-04-05,103,
2014-04-06,10,
2014-04-11,2,
2014-04-14,4,
2014-04-16,2,
2014-04-17,2,
2014-04-23,5,
2014-04-24,3,
2014-04-25,6,
2014-04-26,18,
2014-04-27,11,
2014-04-29,1,
2014-05-03,11,
2014-05-29,2,
2014-06-01,2,
2014-06-03,1,
2014-06-04,1,
2014-06-05,2,
2014-06-06,2,
2014-06-07,2,
2014-06-10,4,
2014-06-18,6,
2014-09-23,16,
2014-09-26,3,
2014-10-07,3,
