Date,Count
2013-09-24 00:00:00,234
2013-09-25 00:00:00,521
2013-09-26 00:00:00,562
2013-09-27 00:00:00,324
2013-09-28 00:00:00,701
2013-09-29 00:00:00,486
2013-09-30 00:00:00,647
2013-10-01 00:00:00,233
2013-10-02 00:00:00,554
2013-10-03 00:00:00,425
2013-10-04 00:00:00,297
2013-10-05 00:00:00,368
2013-10-06 00:00:00,687
2013-10-07 00:00:00,432
2013-10-08 00:00:00,603
2013-10-09 00:00:00,547
2013-10-10 00:00:00,492
2013-10-11 00:00:00,915
2013-10-12 00:00:00,919
2013-10-13 00:00:00,654
2013-10-14 00:00:00,924
2013-10-15 00:00:00,823
2013-10-16 00:00:00,722
2013-10-17 00:00:00,621
2013-10-18 00:00:00,520
2013-10-19 00:00:00,336
2013-10-20 00:00:00,389
2013-10-21 00:00:00,478
2013-10-22 00:00:00,552
2013-10-23 00:00:00,590
2013-10-24 00:00:00,301
2013-10-25 00:00:00,1486
2013-10-26 00:00:00,819
2013-10-27 00:00:00,665
2013-10-28 00:00:00,525
2013-10-29 00:00:00,648
2013-10-30 00:00:00,813
2013-10-31 00:00:00,844
2013-11-01 00:00:00,9171
2013-11-02 00:00:00,1743
2013-11-03 00:00:00,4065
2013-11-04 00:00:00,2706
2013-11-05 00:00:00,260
2013-11-06 00:00:00,1708
2013-11-07 00:00:00,792
2013-11-08 00:00:00,717
2013-11-09 00:00:00,436
2013-11-10 00:00:00,416
2013-11-11 00:00:00,711
2013-11-12 00:00:00,1019
2013-11-13 00:00:00,595
2013-11-14 00:00:00,1464
2013-11-15 00:00:00,400
2013-11-16 00:00:00,1432
2013-11-17 00:00:00,1550
2013-11-18 00:00:00,780
2013-11-19 00:00:00,17832
2013-11-20 00:00:00,10010
2013-11-21 00:00:00,5159
2013-11-22 00:00:00,309
2013-11-23 00:00:00,579
2013-11-24 00:00:00,484
2013-11-25 00:00:00,765
2013-11-26 00:00:00,531
2013-11-27 00:00:00,897
2013-11-28 00:00:00,787
2013-11-29 00:00:00,519
2013-11-30 00:00:00,894
2013-12-01 00:00:00,393
2013-12-02 00:00:00,341
2013-12-03 00:00:00,535
2013-12-04 00:00:00,1414
2013-12-05 00:00:00,765
2013-12-06 00:00:00,1926
2013-12-07 00:00:00,849
2013-12-08 00:00:00,836
2013-12-09 00:00:00,1174
2013-12-10 00:00:00,812
2013-12-11 00:00:00,559
2013-12-12 00:00:00,1148
2013-12-13 00:00:00,596
2013-12-14 00:00:00,523
2013-12-15 00:00:00,398
2013-12-16 00:00:00,644
2013-12-17 00:00:00,508
2013-12-18 00:00:00,701
2013-12-19 00:00:00,837
2013-12-20 00:00:00,561
2013-12-21 00:00:00,285
2013-12-22 00:00:00,10
2013-12-23 00:00:00,748
2013-12-24 00:00:00,262
2013-12-25 00:00:00,282
2013-12-26 00:00:00,398
2013-12-27 00:00:00,366
2013-12-28 00:00:00,334
2013-12-29 00:00:00,302
2013-12-30 00:00:00,270
2013-12-31 00:00:00,238
2014-01-01 00:00:00,206
2014-01-02 00:00:00,174
2014-01-03 00:00:00,142
2014-01-04 00:00:00,433
2014-01-05 00:00:00,485
2014-01-06 00:00:00,431
2014-01-07 00:00:00,318
2014-01-08 00:00:00,44629
2014-01-09 00:00:00,108828
2014-01-10 00:00:00,104436
2014-01-11 00:00:00,109328
2014-01-12 00:00:00,123788
2014-01-13 00:00:00,120260
2014-01-14 00:00:00,114944
2014-01-15 00:00:00,112138
2014-01-16 00:00:00,103326
2014-01-17 00:00:00,95596
2014-01-18 00:00:00,87867
2014-01-19 00:00:00,80137
2014-01-20 00:00:00,72408
2014-01-21 00:00:00,122120
2014-01-22 00:00:00,113374
2014-01-23 00:00:00,112592
2014-01-24 00:00:00,111818
2014-01-25 00:00:00,31990
2014-01-26 00:00:00,49642
2014-01-27 00:00:00,67294
2014-01-28 00:00:00,125090
2014-01-29 00:00:00,105610
2014-01-30 00:00:00,65094
2014-01-31 00:00:00,108270
2014-02-01 00:00:00,116838
2014-02-02 00:00:00,105990
2014-02-03 00:00:00,120159
2014-02-04 00:00:00,114531
2014-02-05 00:00:00,94422
2014-02-06 00:00:00,182952
2014-02-07 00:00:00,191214
2014-02-08 00:00:00,127953
2014-02-09 00:00:00,113899
2014-02-10 00:00:00,99846
2014-02-11 00:00:00,70584
2014-02-12 00:00:00,86949
2014-02-13 00:00:00,156327
2014-02-14 00:00:00,145197
2014-02-15 00:00:00,152592
2014-02-16 00:00:00,164661
2014-02-17 00:00:00,56226
2014-02-18 00:00:00,70087
2014-02-19 00:00:00,83948
2014-02-20 00:00:00,97809
2014-02-21 00:00:00,179028
2014-02-22 00:00:00,162294
2014-02-23 00:00:00,169179
2014-02-24 00:00:00,68091
2014-02-25 00:00:00,66111
2014-02-26 00:00:00,64132
2014-02-27 00:00:00,62153
2014-02-28 00:00:00,60174
2014-03-01 00:00:00,58195
2014-03-02 00:00:00,56216
2014-03-03 00:00:00,54237
2014-03-04 00:00:00,35320
