Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,284,9.0
2013-09-25 00:00:00,219,8.0
2013-09-26 00:00:00,182,
2013-09-27 00:00:00,136,
2013-09-28 00:00:00,435,
2013-09-29 00:00:00,247,
2013-09-30 00:00:00,441,
2013-10-01 00:00:00,62,
2013-10-02 00:00:00,205,
2013-10-03 00:00:00,192,
2013-10-04 00:00:00,180,3.0
2013-10-05 00:00:00,665,2.0
2013-10-06 00:00:00,475,1.0
2013-10-07 00:00:00,252,0.0
2013-10-08 00:00:00,237,7.0
2013-10-09 00:00:00,531,6.0
2013-10-10 00:00:00,297,4.0
2013-10-11 00:00:00,253,5.0
2013-10-12 00:00:00,222,
2013-10-13 00:00:00,191,
2013-10-14 00:00:00,745,
2013-10-15 00:00:00,596,
2013-10-16 00:00:00,447,
2013-10-17 00:00:00,298,
2013-10-18 00:00:00,149,
2013-10-19 00:00:00,1237,
2013-10-20 00:00:00,325,
2013-10-21 00:00:00,227,
2013-10-22 00:00:00,225,
2013-10-23 00:00:00,169,
2013-10-24 00:00:00,90,
2013-10-25 00:00:00,206,
2013-10-26 00:00:00,337,
2013-10-27 00:00:00,175,
2013-10-28 00:00:00,237,
2013-10-29 00:00:00,309,
2013-10-30 00:00:00,329,
2013-10-31 00:00:00,164,
2013-11-01 00:00:00,827,
2013-11-02 00:00:00,194,
2013-11-03 00:00:00,2319,
2013-11-04 00:00:00,784,
2013-11-05 00:00:00,76,
2013-11-06 00:00:00,189,
2013-11-07 00:00:00,225,
2013-11-08 00:00:00,277,
2013-11-09 00:00:00,1070,
2013-11-10 00:00:00,283,
2013-11-11 00:00:00,212,
2013-11-12 00:00:00,260,
2013-11-13 00:00:00,210,
2013-11-14 00:00:00,202,
2013-11-15 00:00:00,130,
2013-11-16 00:00:00,235,
2013-11-17 00:00:00,201,
2013-11-18 00:00:00,3,
2013-11-19 00:00:00,56,
2013-11-20 00:00:00,511,
2013-11-21 00:00:00,489,
2013-11-22 00:00:00,467,
2013-11-23 00:00:00,445,
2013-11-24 00:00:00,3649,
2013-11-25 00:00:00,1162,
2013-11-26 00:00:00,257,
2013-11-27 00:00:00,175,
2013-11-28 00:00:00,177,
2013-11-29 00:00:00,326,
2013-11-30 00:00:00,2449,
2013-12-01 00:00:00,521,
2013-12-02 00:00:00,683,
2013-12-03 00:00:00,225,
2013-12-04 00:00:00,220,
2013-12-05 00:00:00,231,
2013-12-06 00:00:00,177,
2013-12-07 00:00:00,371,
2013-12-08 00:00:00,134,
2013-12-09 00:00:00,114,
2013-12-10 00:00:00,132,
2013-12-11 00:00:00,171,
2013-12-12 00:00:00,119,
2013-12-13 00:00:00,188,
2013-12-14 00:00:00,269,
2013-12-15 00:00:00,278,
2013-12-16 00:00:00,418,
2013-12-17 00:00:00,1495,
2013-12-18 00:00:00,345,
2013-12-19 00:00:00,587,
2013-12-20 00:00:00,501,
2013-12-21 00:00:00,416,
2013-12-22 00:00:00,330,
2013-12-23 00:00:00,245,
2013-12-24 00:00:00,167,
2013-12-25 00:00:00,89,
2013-12-26 00:00:00,407,
2013-12-27 00:00:00,480,
2013-12-28 00:00:00,554,
2013-12-29 00:00:00,627,
2013-12-30 00:00:00,701,
2013-12-31 00:00:00,774,
2014-01-01 00:00:00,848,
2014-01-02 00:00:00,921,
2014-01-03 00:00:00,995,
2014-01-04 00:00:00,547,
2014-01-05 00:00:00,167,
2014-01-06 00:00:00,159,
2014-01-07 00:00:00,294,
2014-01-08 00:00:00,227,
2014-01-09 00:00:00,287,
2014-01-10 00:00:00,474,
2014-01-11 00:00:00,1116,
2014-01-12 00:00:00,247,
2014-01-13 00:00:00,252,
2014-01-14 00:00:00,219,
2014-01-15 00:00:00,168,
2014-01-16 00:00:00,178,
2014-01-17 00:00:00,174,
2014-01-18 00:00:00,171,
2014-01-19 00:00:00,167,
2014-01-20 00:00:00,164,
2014-01-21 00:00:00,253,
2014-01-22 00:00:00,308,
2014-01-23 00:00:00,290,
2014-01-24 00:00:00,329,
2014-01-25 00:00:00,322,
2014-01-26 00:00:00,315,
2014-01-27 00:00:00,308,
2014-01-28 00:00:00,2522,
2014-01-29 00:00:00,2234,
2014-01-30 00:00:00,412,
2014-01-31 00:00:00,655,
2014-02-01 00:00:00,538,
2014-02-02 00:00:00,207,
2014-02-03 00:00:00,228,
2014-02-04 00:00:00,101,
2014-02-05 00:00:00,94,
2014-02-06 00:00:00,135,
2014-02-07 00:00:00,284,
2014-02-08 00:00:00,288,
2014-02-09 00:00:00,220,
2014-02-10 00:00:00,152,
2014-02-11 00:00:00,373,
2014-02-12 00:00:00,302,
2014-02-13 00:00:00,203,
2014-02-14 00:00:00,96,
2014-02-15 00:00:00,253,
2014-02-16 00:00:00,218,
2014-02-17 00:00:00,8,
2014-02-18 00:00:00,40,
2014-02-19 00:00:00,72,
2014-02-20 00:00:00,105,
2014-02-21 00:00:00,170,
2014-02-22 00:00:00,406,
2014-02-23 00:00:00,229,
2014-02-24 00:00:00,184,
2014-02-25 00:00:00,156,
2014-02-26 00:00:00,257,
2014-02-27 00:00:00,14,
2014-02-28 00:00:00,98,
2014-03-01 00:00:00,394,
2014-03-02 00:00:00,432,
2014-03-03 00:00:00,196,
2014-03-04 00:00:00,256,
2014-03-05 00:00:00,231,
2014-03-06 00:00:00,174,
2014-03-07 00:00:00,222,
2014-03-08 00:00:00,145,
2014-03-09 00:00:00,68,
2014-03-10 00:00:00,436,
2014-03-11 00:00:00,352,
2014-03-12 00:00:00,350,
2014-03-13 00:00:00,398,
2014-03-14 00:00:00,574,
2014-03-15 00:00:00,1332,
2014-03-16 00:00:00,746,
2014-03-17 00:00:00,394,
2014-03-18 00:00:00,74,
2014-03-19 00:00:00,103,
2014-03-20 00:00:00,133,
2014-03-21 00:00:00,163,
2014-03-22 00:00:00,4259,
2014-03-23 00:00:00,807,
2014-03-24 00:00:00,290,
2014-03-25 00:00:00,189,
2014-03-26 00:00:00,211,
2014-03-27 00:00:00,208,
2014-03-28 00:00:00,240,
2014-03-29 00:00:00,593,
2014-03-30 00:00:00,229,
2014-03-31 00:00:00,202,
2014-04-01 00:00:00,337,
2014-04-02 00:00:00,186,
2014-04-03 00:00:00,193,
2014-04-04 00:00:00,275,
2014-04-05 00:00:00,349,
2014-04-06 00:00:00,261,
2014-04-07 00:00:00,186,
2014-04-08 00:00:00,111,
2014-04-09 00:00:00,412,
2014-04-10 00:00:00,228,
2014-04-11 00:00:00,211,
2014-04-12 00:00:00,172,
2014-04-13 00:00:00,133,
2014-04-14 00:00:00,94,
2014-04-15 00:00:00,287,
2014-04-16 00:00:00,481,
2014-04-17 00:00:00,569,
2014-04-18 00:00:00,519,
2014-04-19 00:00:00,14,
2014-04-20 00:00:00,193,
2014-04-21 00:00:00,373,
2014-04-22 00:00:00,553,
2014-04-23 00:00:00,733,
2014-04-24 00:00:00,103,
2014-04-25 00:00:00,131,
2014-04-26 00:00:00,159,
2014-04-27 00:00:00,187,
2014-04-28 00:00:00,216,
2014-04-29 00:00:00,368,
2014-04-30 00:00:00,491,
2014-05-01 00:00:00,503,
2014-05-02 00:00:00,735,
2014-05-03 00:00:00,3793,
2014-05-04 00:00:00,4652,
2014-05-05 00:00:00,823,
2014-05-06 00:00:00,1148,
2014-05-07 00:00:00,889,
2014-05-08 00:00:00,641,
2014-05-09 00:00:00,462,
2014-05-10 00:00:00,1,
2014-05-11 00:00:00,3,
2014-05-12 00:00:00,2,
2014-05-13 00:00:00,16,
2014-05-14 00:00:00,10,
2014-05-15 00:00:00,2,
2014-05-16 00:00:00,6,
2014-05-17 00:00:00,24,
2014-05-18 00:00:00,43,
2014-05-19 00:00:00,62,
2014-05-20 00:00:00,81,
2014-05-21 00:00:00,292,
2014-05-22 00:00:00,503,
2014-05-23 00:00:00,884,
2014-05-24 00:00:00,963,
2014-05-25 00:00:00,823,
2014-05-26 00:00:00,378,
2014-05-27 00:00:00,798,
2014-05-28 00:00:00,782,
2014-05-29 00:00:00,819,
2014-05-30 00:00:00,659,
2014-05-31 00:00:00,1009,
2014-06-01 00:00:00,980,
2014-06-02 00:00:00,513,
2014-06-03 00:00:00,1491,
2014-06-04 00:00:00,200,
2014-06-05 00:00:00,302,
2014-06-06 00:00:00,740,
2014-06-07 00:00:00,469,
2014-06-08 00:00:00,454,
2014-06-09 00:00:00,51,
