Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,961,9.0
2013-09-25 00:00:00,1903,8.0
2013-09-26 00:00:00,1838,
2013-09-27 00:00:00,1297,
2013-09-28 00:00:00,1989,
2013-09-29 00:00:00,2119,
2013-09-30 00:00:00,2138,
2013-10-01 00:00:00,1206,
2013-10-02 00:00:00,2178,
2013-10-03 00:00:00,2057,
2013-10-04 00:00:00,1936,3.0
2013-10-05 00:00:00,2667,2.0
2013-10-06 00:00:00,2051,1.0
2013-10-07 00:00:00,1892,0.0
2013-10-08 00:00:00,2304,7.0
2013-10-09 00:00:00,1740,6.0
2013-10-10 00:00:00,1909,4.0
2013-10-11 00:00:00,1863,5.0
2013-10-12 00:00:00,2056,
2013-10-13 00:00:00,2466,
2013-10-14 00:00:00,2183,
2013-10-15 00:00:00,1934,
2013-10-16 00:00:00,1685,
2013-10-17 00:00:00,1436,
2013-10-18 00:00:00,1187,
2013-10-19 00:00:00,1960,
2013-10-20 00:00:00,2585,
2013-10-21 00:00:00,1836,
2013-10-22 00:00:00,2228,
2013-10-23 00:00:00,1653,
2013-10-24 00:00:00,591,
2013-10-25 00:00:00,1753,
2013-10-26 00:00:00,2159,
2013-10-27 00:00:00,3318,
2013-10-28 00:00:00,2970,
2013-10-29 00:00:00,1880,
2013-10-30 00:00:00,2386,
2013-10-31 00:00:00,2267,
2013-11-01 00:00:00,1964,
2013-11-02 00:00:00,2491,
2013-11-03 00:00:00,2168,
2013-11-04 00:00:00,2581,
2013-11-05 00:00:00,969,
2013-11-06 00:00:00,2649,
2013-11-07 00:00:00,2178,
2013-11-08 00:00:00,3286,
2013-11-09 00:00:00,2787,
2013-11-10 00:00:00,2329,
2013-11-11 00:00:00,2528,
2013-11-12 00:00:00,3080,
2013-11-13 00:00:00,3552,
2013-11-14 00:00:00,2686,
2013-11-15 00:00:00,1264,
2013-11-16 00:00:00,2055,
2013-11-17 00:00:00,2098,
2013-11-18 00:00:00,295,
2013-11-19 00:00:00,762,
2013-11-20 00:00:00,3124,
2013-11-21 00:00:00,3464,
2013-11-22 00:00:00,3804,
2013-11-23 00:00:00,4145,
2013-11-24 00:00:00,2806,
2013-11-25 00:00:00,2838,
2013-11-26 00:00:00,3242,
2013-11-27 00:00:00,1556,
2013-11-28 00:00:00,6074,
2013-11-29 00:00:00,5156,
2013-11-30 00:00:00,2747,
2013-12-01 00:00:00,1624,
2013-12-02 00:00:00,3040,
2013-12-03 00:00:00,1945,
2013-12-04 00:00:00,3107,
2013-12-05 00:00:00,5802,
2013-12-06 00:00:00,3989,
2013-12-07 00:00:00,3395,
2013-12-08 00:00:00,2553,
2013-12-09 00:00:00,3109,
